;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[CC_ANNE];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;30869.377;0.068828571;0.098062;0;0.206485714;0.206485714;0.206485714;0.025887;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.090116834;0.25;0.3448;0.3448;0.3448;0.048209;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.087247819;0.27;0.3148;0.3148;0.3148;0.035062;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10387139;0.25;0;0;0;-0.08448;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.112528774;0.27;0;0;0;-0.11212;
Renewable;Biofuel;BIODIESEL_BE;1.00E+15;0;0.112528774;0.27;0;0;0;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06015058;0.26;0.3115;0.3115;0.3115;0.035315;
Non-renewable;Biofuel;LFO_RE_BE;1.00E+15;0.2;0.12030116;0.26;0;0;0;0.00E+00;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.050157079;0.2;0.2666;0.2666;0.2666;0.05547;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.150471237;0.2;0;0;0;-0.13163;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0;0.150471237;0.2;0;0;0;0;
Renewable;Biomass;WOOD;23400;0.0118;0.034609349;0.39;0.0118;0.0118;0.0118;-0.3219;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.006072235;0.39;0.0118;0.0118;0.0118;-0.41876;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017901636;0.36;0.4014;0.4014;0.4014;0.03071;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0039;0.0039;0.0039;0.00086;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.024342872;0.26;0.1501;0.1501;0.1501;0;
Non-renewable;Other non-renewable;H2;1.00E+15;0.345642508;0.093203627;0;0.36380236;0.36380236;0.36380236;0.054105;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.176007962;0;0;0;0;0.057451;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.176007962;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.107350297;0;0.285;0.285;0.285;0.463983;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.111582868;0.24570329;0.35;0.35;0.35;0.06744;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.074537957;0;0;0;0;0.079212;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.074537957;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.10387139;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.10387139;0.24570329;0;0;0;-0.09605;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
