Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ECO];[LU];[MD];[ECO];[LU];[MD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;666;12.2;881.57;20;1;0;1;0;1.00E+15;147858.8263;30727.32816;0.372861007;1.677855357;0.100035364;2.98408E-07;678.7783657;0.02933063;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;865;18.9;949.7;20;1;0;1;0;1.00E+15;141646.2704;29436.26391;0.357194578;2.314513016;0.137993511;4.11639E-07;650.2582654;0.253460057;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.0004;0;20;1;0;1;0;1.00E+15;1710.924966;273.6854464;0.001107059;0;0;0;66.49162005;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;630.24;58.1587;0;25;0.86;0;1;0;1.00E+15;75917.43509;15776.80548;0.191443771;0;0;0;348.5156334;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;4977.27;123.552;0;40;1;0;1;0;1.00E+15;25374.76589;13049.20522;0.022429698;8.797926896;0.109436466;3.21339E-07;863.1709629;-0.975376733;
Storage;Electricity storage;Batteries;BATT_LI;156.66;0.2422;61.3;15;1;0;1;0;1.00E+15;8915.625675;1010.268932;0.027602726;0;0;0;68.77326878;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1472.71;100.411;0;15;0.85;0;1;0;1.00E+15;4265.251602;10910.47419;0.00575808;14.87913589;0.744656825;5.7504E-07;67.9352623;0.61418745;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;1764;26.95;0;20;1;0;1;0;1.00E+15;339205.5441;70492.10607;0.855387019;14.00331012;0.689631065;7.8345E-07;1557.197434;0.569380184;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;912.22;12.6364;0;20;0.85;0;1;0;1.00E+15;78639.24223;60855.30127;0.100476314;4.4484123;0.509315395;2.2315E-07;1437.444828;0.831690481;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;79;3.81944;0;40;0.11416;0;1;0;1.00E+15;1413.003963;343.4501687;0.001294192;0.001328704;0.000191867;1.50084E-10;26.3381373;0.026980401;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;79;3.81944;0;40;0.11416;0;1;0;1.00E+15;1413.003963;343.4501687;0.001294192;0.001425297;0.000191867;1.50084E-10;26.3381373;0.031000171;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;78.5;3.81944;0;40;0.11416;0;1;0;1.00E+15;1413.003963;343.4501687;0.001294192;0.0008944;0.000191867;1.50084E-10;26.3381373;0.029938306;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;627.96;30.5556;0;15;0.2968;0;1;0;1.00E+15;17837.21786;4276.459819;0.0351496;0.027023879;9.26E-05;8.76539E-10;164.0515377;0.066852731;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;631.97;30.5556;0;15;0.2968;0;1;0;1.00E+15;17814.51023;4178.741329;0.036126659;0.026535516;9.26E-05;8.76539E-10;159.5423972;0.068264597;
