;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[Einv];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0;0.104928;0;0.123;0.206485714;0.206485714;0.023254474;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.09404786;0.25;0.281;0.3448;0.3448;0.047024182;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.09105369;0.27;0.21;0.3148;0.3148;0.033918439;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10014511;0.25;0.316;0;0;-0.094244524;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.10875568;0.27;0.432;0;0;-0.120333531;
Renewable;Biofuel;BIODIESEL_BE;1.00E+15;0;0.10875568;0.27;0;0;0;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06868162;0.26;0.204;0.3115;0.3115;0.034196735;
Non-renewable;Biofuel;LFO_RE_BE;1.00E+15;0.2;0.13736324;0.26;0;0;0;0;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.05329867;0.2;0.0608;0.2666;0.2666;0.054202992;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.10430636;0.2;1.564922607;0;0;-0.140514801;
Renewable;Biofuel;GAS_RE_BE;1.00E+15;0;0.10430636;0.2;0;0;0;0;
Renewable;Biomass;WOOD;23400;0.0282;0.0282;0.39;0.0491;0.0118;0.0118;-0.322879896;
Renewable;Biofuel;WOOD_PRODUCTION;0;0.0754;0.0754;0.39;0.0491;0.0118;0.0118;-0.343798141;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00622964;0.39;0.0559;0.0118;0.0118;-0.420102011;
Non-renewable;Fossil fuel;COAL;0;0.4014;0.01814538;0.36;0.121;0.4014;0.4014;0.027707516;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.00387646;0;0.0434;0.0039;0.0039;0.000589189;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02497388;0.26;0.0577;0.1501;0.1501;0;
Non-renewable;Other non-renewable;H2;1.00E+15;0.33656258;0.0955067;0;0.083;0.36380236;0.36380236;0.385335801;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.10063038;0;1.470625162;0;0;0.052793024;
Renewable;Biofuel;H2_RE_BE;1.00E+15;0;0.10063038;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.11407418;0;0.065;0.285;0.285;0.435942082;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.11645027;0.24570329;0.0798;0.35;0.35;0.064714905;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.07089528;0;2.207318004;0;0;0.070327122;
Renewable;Biofuel;AMMONIA_RE_BE;1.00E+15;0;0.07089528;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.10014511;0.24570329;2.661021217;0;0;-0.10249631;
Renewable;Biofuel;METHANOL_RE_BE;1.00E+15;0;0.10014511;0.24570329;0;0;0;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
