Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;687;12.5;881.57;20;1;0;1;0;1.00E+15;16.32114167;30496.65141;638.0618251;0.000110342;0.098566647;0.011531295;778.049286;0;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_HVC;893;19.5;949.7;20;1;0;1;0;1.00E+15;15.6353794;29215.27946;611.2525038;0.000152211;0.135967493;0.015906814;745.3581384;0.468426748;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0.01;0.000397;0;20;1;0;1;0;1.00E+15;0.521300244;273.1599474;37.0394786;0;0;0;68.51866505;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;664.24;61.29681022;0;25;0.86;0;1;0;1.00E+15;8.38001521;15658.36556;327.6099127;0;0;0;399.4858314;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5099.09;126.576;0;40;1;0;1;0;1.00E+15;4.49195513;13572.41822;475.7742531;3.5298E-05;0.109866897;0.004395346;1004.519837;-0.974651529;
Storage;Electricity storage;Batteries;BATT_LI;253.55;0.391997682;61.3;15;1;0;1;0;1.00E+15;1.339506216;977.3624462;334.4290098;0;0;0;75.40549979;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0;0;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis;BIO_HYDROLYSIS;1552.18;105.8285286;0;15;0.85;0;1;0;1.00E+15;0.804764821;10689.13879;33.2780816;0.00033588;0.746827215;0.041917004;83.90962164;0.614941758;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;2268;34.65;0;20;1;0;1;0;1.00E+15;37.44261929;69962.90646;1463.788899;0.000354787;0.727722195;0.060612668;1784.936605;0.599877013;
Synthetic fuels;Synthetic fuels;Biomass methanation;BIOMETHANATION;961.44;13.31818182;0;20;0.85;0;1;0;1.00E+15;11.23250466;61449.2289;782.9369421;9.2049E-05;0.282156859;0.009198986;1736.083743;0.840868424;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;77.15;3.819444444;0;40;0.11416;0;1;0;1.00E+15;0.2389637;333.3485249;15.30381283;0.000332268;0.000188279;6.76165E-06;28.92260412;0.028524248;
