Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000061	0.000032	0.000000
CCGT_AMMONIA	0.000056	0.000030	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2484.710874	587.931175	0.000000
WIND_ONSHORE	433.047558	120.960000	0.000000
WIND_OFFSHORE	1242.837166	207.665972	0.000000
HYDRO_RIVER	19.393253	5.801149	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	465.428066	619.874465	0.000000
IND_COGEN_WOOD	0.000053	0.000040	0.000000
IND_COGEN_WASTE	0.000048	0.000037	0.000000
IND_BOILER_GAS	30.109531	8.993144	0.000000
IND_BOILER_WOOD	0.000072	0.000021	0.000000
IND_BOILER_OIL	0.000090	0.000029	0.000000
IND_BOILER_COAL	0.000048	0.000014	0.000000
IND_BOILER_WASTE	3.416139	1.018526	0.000000
IND_DIRECT_ELEC	124.448676	7.532932	0.000000
DHN_HP_ELEC	135.912854	95.490384	0.000000
DHN_COGEN_GAS	0.000068	0.000041	0.000000
DHN_COGEN_WOOD	0.000040	0.000030	0.000000
DHN_COGEN_WASTE	0.000042	0.000032	0.000000
DHN_COGEN_WET_BIOMASS	0.000025	0.000042	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000049	0.000032	0.000000
DHN_BOILER_GAS	0.000016	0.000005	0.000000
DHN_BOILER_WOOD	0.000020	0.000006	0.000000
DHN_BOILER_OIL	0.000012	0.000004	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000011	0.000000	0.000000
DEC_HP_ELEC	611.589690	399.651332	0.000000
DEC_THHP_GAS	0.000119	0.000060	0.000000
DEC_COGEN_GAS	0.000089	0.000098	0.000000
DEC_COGEN_OIL	0.000066	0.000070	0.000000
DEC_ADVCOGEN_GAS	0.000116	0.000037	0.000000
DEC_ADVCOGEN_H2	0.000118	0.000038	0.000000
DEC_BOILER_GAS	0.000106	0.000048	0.000000
DEC_BOILER_WOOD	0.000090	0.000047	0.000000
