Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	4.182547	2.194847	0.000000
CCGT_AMMONIA	57.555707	30.203121	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834651	431.792262	0.000000
WIND_ONSHORE	407.572700	113.844999	0.000000
WIND_OFFSHORE	1162.532775	194.247592	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	139.309666	185.537097	0.000000
IND_COGEN_WOOD	215.527213	163.497619	0.000000
IND_COGEN_WASTE	0.000015	0.000012	0.000000
IND_BOILER_GAS	6.815826	2.035765	0.000000
IND_BOILER_WOOD	0.000025	0.000008	0.000000
IND_BOILER_OIL	0.000016	0.000005	0.000000
IND_BOILER_COAL	0.000111	0.000033	0.000000
IND_BOILER_WASTE	21.797495	6.498960	0.000000
IND_DIRECT_ELEC	228.219908	13.814232	0.000000
DHN_HP_ELEC	100.916956	70.902352	0.000000
DHN_COGEN_GAS	55.880087	33.851890	0.000000
DHN_COGEN_WOOD	0.000014	0.000011	0.000000
DHN_COGEN_WASTE	0.000014	0.000010	0.000000
DHN_COGEN_WET_BIOMASS	0.000009	0.000015	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000015	0.000010	0.000000
DHN_BOILER_GAS	0.000004	0.000001	0.000000
DHN_BOILER_WOOD	0.000006	0.000002	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000	0.000000
DEC_HP_ELEC	539.640649	352.636964	0.000000
DEC_THHP_GAS	0.000151	0.000076	0.000000
DEC_COGEN_GAS	0.000032	0.000036	0.000000
DEC_COGEN_OIL	0.000021	0.000022	0.000000
DEC_ADVCOGEN_GAS	0.000054	0.000017	0.000000
DEC_ADVCOGEN_H2	0.000096	0.000031	0.000000
DEC_BOILER_GAS	0.000028	0.000013	0.000000
DEC_BOILER_WOOD	0.000029	0.000015	0.000000
DEC_BOILER_OIL	0.000021	0.000019	0.000000
