TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000574	0.000015	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001524	0.961540	0.048263	0.000137
CCGT_AMMONIA	0.000310	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000217	0.630000	0.048263	0.000074
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	29044.699775	331.692704	25.000000	0.000000	33.384712	59.200000	0.000000	0.462420	1.000000	0.117920	1.000000	0.048263	69487.941901
WIND_ONSHORE	10400.000000	120.960000	30.000000	0.000000	10.000000	10.000000	0.000000	0.269920	1.000000	0.229792	1.000000	0.041639	6228.500000
WIND_OFFSHORE	29847.779996	207.666000	30.000000	0.000000	6.000000	6.000000	0.000000	0.261309	1.000000	0.370769	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.006351	1.000000	0.470140	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	11100.839513	713.551626	25.000000	0.000000	7.883951	Infinity	0.000000	0.789988	1.000000	0.850000	0.850000	0.048263	8075.688679
IND_COGEN_WOOD	0.000496	0.000018	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001635	0.850000	0.048263	0.000076
IND_COGEN_WASTE	0.000397	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000127	0.850000	0.048263	0.000088
IND_BOILER_GAS	697.897598	13.982670	17.000000	0.000000	11.850868	Infinity	0.000000	0.164926	1.000000	0.118054	0.950000	0.067080	146.002690
IND_BOILER_WOOD	0.000313	0.000006	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.002456	0.900000	0.067080	0.000078
IND_BOILER_OIL	0.000332	0.000007	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.001331	0.950000	0.067080	0.000075
IND_BOILER_COAL	0.000336	0.000007	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.002265	0.900000	0.067080	0.000141
IND_BOILER_WASTE	56.711783	1.134229	17.000000	0.000000	0.492375	Infinity	0.000000	0.045086	1.000000	0.776755	0.900000	0.067080	14.214874
IND_DIRECT_ELEC	0.001277	0.000006	15.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.003371	0.950000	0.074944	0.000006
DHN_HP_ELEC	2712.270644	91.970919	25.000000	0.000000	7.867127	Infinity	0.000000	1.000000	1.000000	0.680883	0.950000	0.048263	1375.095098
DHN_COGEN_GAS	0.003132	0.000092	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.014331	0.850000	0.048263	0.001225
DHN_COGEN_WOOD	0.000296	0.000011	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000399	0.850000	0.048263	0.000045
DHN_COGEN_WASTE	0.000366	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000104	0.850000	0.048263	0.000081
DHN_COGEN_WET_BIOMASS	0.000206	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000473	0.750000	0.048263	0.000154
DHN_COGEN_BIO_HYDROLYSIS	0.000218	0.000011	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000077	0.850000	0.074944	0.000031
DHN_BOILER_GAS	0.000090	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001002	0.950000	0.067080	0.000019
DHN_BOILER_WOOD	0.000108	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000545	0.900000	0.067080	0.000027
DHN_BOILER_OIL	0.000067	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000510	0.950000	0.067080	0.000015
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000191	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000278	1.000000	0.041639	0.000117
DEC_HP_ELEC	8572.601096	357.432270	18.000000	0.000000	17.422569	Infinity	0.000000	0.895420	1.000000	0.448235	1.000000	0.063806	2872.807484
DEC_THHP_GAS	642.786572	18.786944	20.000000	0.000000	2.036197	Infinity	0.000000	0.104580	1.000000	0.447942	1.000000	0.058246	777.684602
DEC_COGEN_GAS	0.000656	0.000042	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001353	1.000000	0.058246	0.000477
DEC_COGEN_OIL	0.000448	0.000027	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000514	1.000000	0.058246	0.000351
DEC_ADVCOGEN_GAS	0.000983	0.000018	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000377	1.000000	0.058246	0.000298
DEC_ADVCOGEN_H2	0.000890	0.000017	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000290	1.000000	0.058246	0.000270
DEC_BOILER_GAS	0.000596	0.000018	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001187	1.000000	0.067080	0.000079
DEC_BOILER_WOOD	0.000486	0.000017	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000753	1.000000	0.067080	0.000022
DEC_BOILER_OIL	0.000452	0.000027	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000661	1.000000	0.067080	0.000067
DEC_SOLAR	0.002281	0.000025	20.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001892	1.000000	0.058246	0.000702
DEC_DIRECT_ELEC	0.000792	0.000003	15.000000	0.000000	0.000020	Infinity	0.000000	0.000000	1.000000	0.000643	1.000000	0.074944	0.000029
TRAMWAY_TROLLEY	4725.034431	94.500689	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000062	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000308	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000084	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000305	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	5918.608615	295.930969	15.000000	0.000000	9.685014	Infinity	0.000000	0.333072	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000279	0.000011	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001339	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.002131	0.000093	15.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.009169	0.296800	0.074944	0.000000
TRAIN_PUB	17337.826294	625.727764	40.000000	0.000000	11.512348	Infinity	0.000000	0.366928	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	17652.482299	1008.017262	10.000000	0.000000	42.000719	Infinity	0.250000	0.250000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000024	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000023	0.051370	0.108434	0.000000
CAR_NG	0.000049	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000067	0.051370	0.108434	0.000000
CAR_METHANOL	0.000031	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000043	0.051370	0.108434	0.000000
CAR_HEV	0.000026	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000036	0.051370	0.108434	0.000000
CAR_PHEV	0.012744	0.000949	10.000000	0.000000	0.000028	Infinity	0.000000	0.000000	1.000000	0.008283	0.051370	0.108434	0.000000
CAR_BEV	54663.502521	1260.021265	10.000000	0.000000	126.002126	Infinity	0.000000	0.750000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000042	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000131	0.051370	0.108434	0.000000
