Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	0.001457
CCGT_AMMONIA	0.000000	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	650.038252	0.000000	0.000000
WIND_ONSHORE	133.608581	0.000000	2.238803
WIND_OFFSHORE	118.263257	0.000000	3.181651
HYDRO_RIVER	3.051277	0.000000	0.009874
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	111.350218	0.000000	23962.570292
IND_COGEN_WOOD	0.000000	0.000000	0.003156
IND_COGEN_WASTE	0.000000	0.000000	0.000115
IND_BOILER_GAS	7.074366	0.000000	2807.186721
IND_BOILER_WOOD	0.000000	0.000000	0.000923
IND_BOILER_OIL	0.000003	0.000000	0.000471
IND_BOILER_COAL	0.000006	0.000000	0.000579
IND_BOILER_WASTE	1.299549	0.000000	179.247940
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	28.628671	0.000000	581.208884
DHN_COGEN_GAS	3.528928	0.000000	1157.364194
DHN_COGEN_WOOD	0.000000	0.000000	0.000199
DHN_COGEN_WASTE	0.000000	0.000000	0.000099
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.003800
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000185
DHN_BOILER_GAS	0.000000	0.000000	0.000136
DHN_BOILER_WOOD	0.000000	0.000000	0.000134
DHN_BOILER_OIL	0.000000	0.000000	0.000135
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000006	0.000000	0.000000
DEC_HP_ELEC	105.303514	0.000000	1337.464589
DEC_THHP_GAS	0.000273	0.000000	0.013935
DEC_COGEN_GAS	0.000000	0.000000	0.001187
DEC_COGEN_OIL	0.000001	0.000000	0.001285
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.001361
DEC_ADVCOGEN_H2	0.000001	0.000000	0.000005
DEC_BOILER_GAS	0.000001	0.000000	0.000453
DEC_BOILER_WOOD	0.000000	0.000000	0.001669
DEC_BOILER_OIL	0.000000	0.000000	0.001035
DEC_SOLAR	0.000010	0.000000	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TRAMWAY_TROLLEY	6.777616	0.000000	0.000000
BUS_COACH_DIESEL	0.000012	0.000000	0.000240
BUS_COACH_HYDIESEL	0.000019	0.000000	0.000270
BUS_COACH_CNG_STOICH	105.666705	0.000000	1668.721257
BUS_COACH_FC_HYBRIDH2	0.000067	0.000000	0.000091
BUS_COACH_ELECTRIC	0.000306	0.000000	0.000199
TRAIN_PUB	16.452211	0.000000	3.533581
CAR_GASOLINE	678.056803	0.000000	2674.948768
CAR_DIESEL	0.000009	0.000000	0.000077
CAR_NG	0.000008	0.000000	0.000077
CAR_METHANOL	0.000001	0.000000	0.000053
