source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,1.86,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,72.54,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,47.44,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Oil,NSC,6.07,Naphtha,#8B008B,TWh
Elec,NSC,0.07,Electricity,#00BFFF,TWh
Heat HT,NSC,0.06,Heat HT,#DC143C,TWh
NSC,HVC,3.34,HVC,#00FFFF,TWh
Methanol,MTO,47.21,Methanol,#CC0066,TWh
Heat HT,MTO,12.55,Heat HT,#DC143C,TWh
MTO,HVC,38.04,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Gasoline,Gasoline,0.26,Gasoline,#808080,TWh
Gasoline,Mob priv,-9.39,Gasoline,#808080,TWh
Imp. Diesel,Diesel,12.70,Diesel,#D3D3D3,TWh
Diesel,Freight,12.70,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,223.58,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,11.63,GAS,#FFD700,TWh
Gas,Mob public,6.07,GAS,#FFD700,TWh
Gas,Freight,3.13,GAS,#FFD700,TWh
Gas,CHP,138.55,GAS,#FFD700,TWh
Gas,Boilers,14.91,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,40.70,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,30.43,Solar,#FFFF00,TWh
Waste,Boilers,0.65,Waste,#808000,TWh
Imp. Oil,Oil,3.21,Oil,#8B008B,TWh
Wood,H2 prod,11.94,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,11.63,GAS,#FFD700,TWh
Elec,Mob priv,9.13,Electricity,#00BFFF,TWh
Elec,Mob public,3.38,Electricity,#00BFFF,TWh
Elec,Freight,4.77,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.54,Electricity,#00BFFF,TWh
Elec,Curt.,0.19,Electricity,#00BFFF,TWh
Elec,Elec demand,96.28,Electricity,#00BFFF,TWh
Solar,Curt.,0.18,Solar,#FFFF00,TWh
Wind,Curt.,2.26,Wind,#27AE34,TWh
Elec,Storage,1.34,Electricity,#00BFFF,TWh
Storage,Elec demand,1.00,Electricity,#00BFFF,TWh
Elec,HPs,36.24,Electricity,#00BFFF,TWh
H2 prod,H2,5.16,H2,#FF00FF,TWh
CHP,Elec,61.40,Electricity,#00BFFF,TWh
CHP,DHN,2.92,Heat LT,#FA8072,TWh
CHP,Heat HT,60.38,Heat HT,#DC143C,TWh
HPs,Dec. sto,9.74,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,66.09,Heat LT,#FA8072,TWh
HPs,DHN,43.89,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,9.37,Heat LT,#FA8072,TWh
Boilers,Heat HT,14.36,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,38.73,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.73,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,5.58,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
