Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000129	0.000000	-0.002630
CCGT_AMMONIA	0.000066	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	7255.622766	0.000000	0.000000
WIND_ONSHORE	3347.582866	0.000000	87.790929
WIND_OFFSHORE	1078.850442	0.000000	122.986030
HYDRO_RIVER	36.234858	0.000000	-7.738584
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	802.067112	0.000000	1266.872621
IND_COGEN_WOOD	0.000172	0.000000	0.000037
IND_COGEN_WASTE	0.000034	0.000000	0.000022
IND_BOILER_GAS	35.780074	0.000000	0.000000
IND_BOILER_WOOD	0.001172	0.000000	0.000034
IND_BOILER_OIL	0.000050	0.000000	0.000000
IND_BOILER_COAL	0.001469	0.000000	0.000202
IND_BOILER_WASTE	91.430976	0.000000	69.786070
IND_DIRECT_ELEC	0.000005	0.000000	0.000000
DHN_HP_ELEC	184.550275	0.000000	12.500337
DHN_COGEN_GAS	0.000200	0.000000	0.000271
DHN_COGEN_WOOD	0.000034	0.000000	0.000006
DHN_COGEN_WASTE	0.000083	0.000000	0.000018
DHN_COGEN_WET_BIOMASS	0.002005	0.000000	0.000567
DHN_COGEN_BIO_HYDROLYSIS	0.000102	0.000000	0.000697
DHN_BOILER_GAS	0.000018	0.000000	0.000000
DHN_BOILER_WOOD	0.000121	0.000000	0.000002
DHN_BOILER_OIL	0.000008	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000854	0.000000	0.000000
DEC_HP_ELEC	314.735047	0.000000	13.259394
DEC_THHP_GAS	1356.902051	0.000000	0.000000
DEC_COGEN_GAS	0.000214	0.000000	0.000074
DEC_COGEN_OIL	0.000176	0.000000	0.000005
DEC_ADVCOGEN_GAS	0.000324	0.000000	0.000218
DEC_ADVCOGEN_H2	0.000285	0.000000	0.000202
DEC_BOILER_GAS	0.000177	0.000000	0.000000
DEC_BOILER_WOOD	0.001656	0.000000	0.000002
DEC_BOILER_OIL	0.000147	0.000000	0.000000
DEC_SOLAR	0.001119	0.000000	0.000000
DEC_DIRECT_ELEC	0.000033	0.000000	0.000000
TRAMWAY_TROLLEY	78.587424	0.000000	0.000000
BUS_COACH_DIESEL	0.000121	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000077	0.000000	0.000000
BUS_COACH_CNG_STOICH	5563.724314	0.000000	4.725848
BUS_COACH_FC_HYBRIDH2	0.000093	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000263	0.000000	0.000000
TRAIN_PUB	0.000028	0.000000	0.000000
CAR_GASOLINE	0.000039	0.000000	0.000009
CAR_DIESEL	0.000027	0.000000	0.000006
CAR_NG	0.000037	0.000000	0.000008
CAR_METHANOL	0.000024	0.000000	0.000006
CAR_HEV	0.000028	0.000000	0.000006
