Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000022	0.000012	0.000000
CCGT_AMMONIA	0.000014	0.000008	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2264.742773	535.884858	0.000000
WIND_ONSHORE	424.557327	118.588235	0.000000
WIND_OFFSHORE	1216.069995	203.193194	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	346.441549	461.402143	0.000000
IND_COGEN_WOOD	41.721517	31.649681	0.000000
IND_COGEN_WASTE	0.000018	0.000014	0.000000
IND_BOILER_GAS	16.747798	5.002249	0.000000
IND_BOILER_WOOD	0.000113	0.000034	0.000000
IND_BOILER_OIL	0.000024	0.000008	0.000000
IND_BOILER_COAL	0.000028	0.000008	0.000000
IND_BOILER_WASTE	18.134336	5.406775	0.000000
IND_DIRECT_ELEC	306.190696	18.533854	0.000000
DHN_HP_ELEC	126.397952	88.804364	0.000000
DHN_COGEN_GAS	0.000036	0.000022	0.000000
DHN_COGEN_WOOD	0.000013	0.000010	0.000000
DHN_COGEN_WASTE	0.000016	0.000013	0.000000
DHN_COGEN_WET_BIOMASS	0.000008	0.000014	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000013	0.000009	0.000000
DHN_BOILER_GAS	0.000005	0.000001	0.000000
DHN_BOILER_WOOD	0.000006	0.000002	0.000000
DHN_BOILER_OIL	0.000004	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000004	0.000000	0.000000
DEC_HP_ELEC	571.423040	373.407158	0.000000
DEC_THHP_GAS	0.000062	0.000031	0.000000
DEC_COGEN_GAS	0.000028	0.000031	0.000000
DEC_COGEN_OIL	0.000022	0.000023	0.000000
DEC_ADVCOGEN_GAS	0.000046	0.000015	0.000000
DEC_ADVCOGEN_H2	199.320191	63.774405	0.000000
DEC_BOILER_GAS	0.000042	0.000019	0.000000
DEC_BOILER_WOOD	0.000030	0.000016	0.000000
DEC_BOILER_OIL	0.000029	0.000026	0.000000
DEC_SOLAR	0.000100	0.000019	0.000000
DEC_DIRECT_ELEC	0.000061	0.000004	0.000000
TRAMWAY_TROLLEY	200.519408	96.312832	0.000000
BUS_COACH_DIESEL	0.000003	0.000002	0.000000
BUS_COACH_HYDIESEL	0.000005	0.000003	0.000000
BUS_COACH_CNG_STOICH	0.000008	0.000005	0.000000
BUS_COACH_FC_HYBRIDH2	0.000016	0.000007	0.000000
BUS_COACH_ELECTRIC	274.143619	185.221528	0.000000
TRAIN_PUB	804.880968	869.007877	0.000000
CAR_GASOLINE	1339.699866	698.595891	0.000000
CAR_DIESEL	0.000003	0.000001	0.000000
CAR_NG	0.000004	0.000002	0.000000
CAR_METHANOL	0.000003	0.000001	0.000000
CAR_HEV	0.000003	0.000002	0.000000
CAR_PHEV	0.001418	0.000974	0.000000
CAR_BEV	6505.905303	1421.162996	0.000000
CAR_FUEL_CELL	0.000006	0.000001	0.000000
TRAIN_FREIGHT	25.344572	15.163445	0.000000
BOAT_FREIGHT_DIESEL	0.000163	0.000242	0.000000
BOAT_FREIGHT_NG	67.209292	99.837000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	583.887119	385.723351	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	824.854038	332.503088	0.000000
TRUCK_ELEC	0.000001	0.000001	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	17.060143	5.726583	0.000000
SYN_METHANOLATION	0.000037	0.000018	0.000000
METHANE_TO_METHANOL	118.292278	107.171945	0.000000
BIOMASS_TO_METHANOL	0.000025	0.000007	0.000000
OIL_TO_HVC	0.000030	0.000003	0.000000
GAS_TO_HVC	0.000033	0.000014	0.000000
