source,target,realValue,layerID,layerColor,layerUnit
Prod. Ammonia RE,Ammonia,10.56,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.56,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,10.27,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,15.43,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,10.09,Methanol,#CC0066,TWh
Wood,Gasifi. to Methanol,22.83,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.47,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,5.17,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,14.56,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.60,Methanol,#CC0066,TWh
Methanol,MTO,31.88,Methanol,#CC0066,TWh
Heat HT,MTO,8.48,Heat HT,#DC143C,TWh
MTO,HVC,25.68,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.85,HVC,#00FFFF,TWh
Imp. Gas,Gas,114.92,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,16.45,GAS,#FFD700,TWh
Gas,Mob public,13.49,GAS,#FFD700,TWh
Gas,Freight,3.09,GAS,#FFD700,TWh
Gas,Elec,2.33,GAS,#FFD700,TWh
Gas,CHP,85.95,GAS,#FFD700,TWh
Gas,Boilers,11.04,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,40.82,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,H2 prod,40.93,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,10.11,Electricity,#00BFFF,TWh
Elec,Mob public,1.34,Electricity,#00BFFF,TWh
Elec,Freight,7.91,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.05,Electricity,#00BFFF,TWh
Elec,Curt.,0.51,Electricity,#00BFFF,TWh
Elec,Elec demand,85.68,Electricity,#00BFFF,TWh
Solar,Curt.,0.56,Solar,#FFFF00,TWh
Wind,Curt.,2.14,Wind,#27AE34,TWh
Elec,Storage,21.78,Electricity,#00BFFF,TWh
Storage,Elec demand,19.48,Electricity,#00BFFF,TWh
Elec,HPs,32.36,Electricity,#00BFFF,TWh
Elec,HT sto,0.11,Electricity,#00BFFF,TWh
HT sto,Heat HT,0.11,Heat HT,#DC143C,TWh
Elec,Heat HT,1.00,Electricity,#00BFFF,TWh
H2 prod,H2,18.21,H2,#FF00FF,TWh
H2,Freight,4.77,H2,#FF00FF,TWh
CHP,Elec,37.82,Electricity,#00BFFF,TWh
CHP,Heat HT,39.54,Heat HT,#DC143C,TWh
HPs,Dec. sto,10.40,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,62.30,Heat LT,#FA8072,TWh
HPs,DHN,40.02,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,9.98,Heat LT,#FA8072,TWh
Boilers,Heat HT,24.83,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,35.77,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.26,Heat LT,#FA8072,TWh
DHN,DHN Sto,7.16,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,6.68,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,56.71,Heat HT,#DC143C,TWh
