source,target,realValue,layerID,layerColor,layerUnit
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
H2,Haber-Bosch,11.52,H2,#FF00FF,TWh
Elec,Haber-Bosch,1.25,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,1.37,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,10.20,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,0.03,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,78.21,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,51.15,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Oil,NSC,3.51,Naphtha,#8B008B,TWh
Elec,NSC,0.04,Electricity,#00BFFF,TWh
Heat HT,NSC,0.03,Heat HT,#DC143C,TWh
NSC,HVC,1.93,HVC,#00FFFF,TWh
Methanol,MTO,48.96,Methanol,#CC0066,TWh
Heat HT,MTO,13.02,Heat HT,#DC143C,TWh
MTO,HVC,39.45,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Gas,Gas,229.67,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,16.45,GAS,#FFD700,TWh
Gas,Mob public,5.93,GAS,#FFD700,TWh
Gas,Freight,3.13,GAS,#FFD700,TWh
Gas,H2 prod,17.93,GAS,#FFD700,TWh
Gas,CHP,121.25,GAS,#FFD700,TWh
Gas,HPs,2.71,GAS,#FFD700,TWh
Gas,Boilers,16.96,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,38.64,Wind,#27AE34,TWh
Hydro River,Elec,0.46,Hydro River,#0000FF,TWh
Solar,Elec,46.94,Solar,#FFFF00,TWh
Waste,Boilers,10.93,Waste,#808000,TWh
Wood,H2 prod,9.36,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,8.55,Electricity,#00BFFF,TWh
Elec,Mob public,3.41,Electricity,#00BFFF,TWh
Elec,Freight,10.94,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.90,Electricity,#00BFFF,TWh
Elec,Curt.,1.70,Electricity,#00BFFF,TWh
Elec,Elec demand,96.50,Electricity,#00BFFF,TWh
Solar,Curt.,1.17,Solar,#FFFF00,TWh
Wind,Curt.,4.33,Wind,#27AE34,TWh
Elec,Storage,1.05,Electricity,#00BFFF,TWh
Storage,Elec demand,0.78,Electricity,#00BFFF,TWh
Elec,HPs,34.47,Electricity,#00BFFF,TWh
Elec,Electrolyser,0.71,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,0.13,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,0.66,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.01,Heat LT,#FA8072,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,17.85,H2,#FF00FF,TWh
CHP,Elec,54.01,Electricity,#00BFFF,TWh
CHP,DHN,4.45,Heat LT,#FA8072,TWh
CHP,Heat HT,50.66,Heat HT,#DC143C,TWh
HPs,Dec. sto,16.41,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,60.28,Heat LT,#FA8072,TWh
HPs,DHN,41.06,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,15.17,Heat LT,#FA8072,TWh
Boilers,Heat HT,24.69,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,31.94,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,12.60,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,12.38,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
