TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.001070	0.000027	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005587	0.961540	0.048263	0.000255
CCGT_AMMONIA	0.000422	0.000011	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000201	0.630000	0.048263	0.000101
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	39047.727713	445.928052	25.000000	0.000000	44.882446	59.200000	0.000000	0.536996	1.000000	0.115574	1.000000	0.048263	93419.668844
WIND_ONSHORE	10400.000001	120.960000	30.000000	0.000000	10.000000	10.000000	0.000000	0.230727	1.000000	0.222877	1.000000	0.041639	6228.500000
WIND_OFFSHORE	29847.779996	207.666000	30.000000	0.000000	6.000000	6.000000	0.000000	0.226676	1.000000	0.364939	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005601	1.000000	0.470473	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	9412.101461	605.001117	25.000000	0.000000	6.684589	Infinity	0.000000	0.674291	1.000000	0.850000	0.850000	0.048263	6847.157922
IND_COGEN_WOOD	0.000575	0.000021	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001417	0.850000	0.048263	0.000088
IND_COGEN_WASTE	0.000554	0.000020	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000267	0.850000	0.048263	0.000122
IND_BOILER_GAS	633.819198	12.698832	17.000000	0.000000	10.762764	Infinity	0.000000	0.187950	1.000000	0.147152	0.950000	0.067080	132.597258
IND_BOILER_WOOD	0.000437	0.000009	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.002078	0.900000	0.067080	0.000110
IND_BOILER_OIL	0.000403	0.000009	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.000881	0.950000	0.067080	0.000091
IND_BOILER_COAL	0.000678	0.000014	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.008250	0.900000	0.067080	0.000284
IND_BOILER_WASTE	183.797753	3.675933	17.000000	0.000000	1.595744	Infinity	0.000000	0.131847	1.000000	0.696232	0.900000	0.067080	46.069119
IND_DIRECT_ELEC	195.451385	0.886648	15.000000	0.000000	0.588107	Infinity	0.000000	0.005911	1.000000	0.084701	0.950000	0.074944	0.864517
DHN_HP_ELEC	2347.584642	79.604710	25.000000	0.000000	6.809330	Infinity	0.000000	0.881409	1.000000	0.672538	0.950000	0.048263	1190.202807
DHN_COGEN_GAS	1235.388826	36.120135	25.000000	0.000000	0.984774	Infinity	0.000000	0.118591	1.000000	0.625689	0.850000	0.048263	483.405740
DHN_COGEN_WOOD	0.000399	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000515	0.850000	0.048263	0.000061
DHN_COGEN_WASTE	0.000502	0.000019	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000214	0.850000	0.048263	0.000111
DHN_COGEN_WET_BIOMASS	0.000326	0.000027	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000698	0.750000	0.048263	0.000243
DHN_COGEN_BIO_HYDROLYSIS	0.000290	0.000014	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000154	0.850000	0.074944	0.000041
DHN_BOILER_GAS	0.000099	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001051	0.950000	0.067080	0.000021
DHN_BOILER_WOOD	0.000141	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000685	0.900000	0.067080	0.000035
DHN_BOILER_OIL	0.000075	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000518	0.950000	0.067080	0.000017
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000259	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000388	1.000000	0.041639	0.000158
DEC_HP_ELEC	9213.801538	384.166948	18.000000	0.000000	18.725716	Infinity	0.000000	0.961002	1.000000	0.449280	1.000000	0.063806	3087.683391
DEC_THHP_GAS	239.510157	7.000245	20.000000	0.000000	0.758712	Infinity	0.000000	0.038998	1.000000	0.449979	1.000000	0.058246	289.774817
DEC_COGEN_GAS	0.001109	0.000071	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002633	1.000000	0.058246	0.000807
DEC_COGEN_OIL	0.000614	0.000038	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000541	1.000000	0.058246	0.000482
DEC_ADVCOGEN_GAS	0.001659	0.000031	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000780	1.000000	0.058246	0.000502
DEC_ADVCOGEN_H2	0.001175	0.000022	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000243	1.000000	0.058246	0.000356
DEC_BOILER_GAS	0.000740	0.000022	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001499	1.000000	0.067080	0.000098
DEC_BOILER_WOOD	0.000681	0.000024	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001033	1.000000	0.067080	0.000031
DEC_BOILER_OIL	0.000575	0.000035	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000824	1.000000	0.067080	0.000085
DEC_SOLAR	0.003541	0.000039	20.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.002904	1.000000	0.058246	0.001089
DEC_DIRECT_ELEC	0.000885	0.000004	15.000000	0.000000	0.000022	Infinity	0.000000	0.000000	1.000000	0.000858	1.000000	0.074944	0.000033
TRAMWAY_TROLLEY	4725.034457	94.500689	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000182	0.000009	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000902	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000167	0.000007	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000609	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3650.292290	182.514946	15.000000	0.000000	5.973216	Infinity	0.000000	0.205421	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000048	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000608	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000111	0.000005	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001037	0.296800	0.074944	0.000000
TRAIN_PUB	23369.473558	843.411866	40.000000	0.000000	15.517373	Infinity	0.000000	0.494578	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500004	1200.000000	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000055	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000075	0.051370	0.108434	0.000000
CAR_NG	0.000074	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000105	0.051370	0.108434	0.000000
CAR_METHANOL	0.000042	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000061	0.051370	0.108434	0.000000
CAR_HEV	0.000035	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000052	0.051370	0.108434	0.000000
CAR_PHEV	0.017595	0.001311	10.000000	0.000000	0.000039	Infinity	0.000000	0.000000	1.000000	0.011502	0.051370	0.108434	0.000000
CAR_BEV	51193.170727	1180.028369	10.000000	0.000000	118.002837	Infinity	0.000000	0.702386	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000054	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000219	0.051370	0.108434	0.000000
