Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.002727	0.001431	0.000000
CCGT_AMMONIA	0.000013	0.000007	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2066.902282	489.069493	0.000000
WIND_ONSHORE	433.047506	120.959986	0.000000
WIND_OFFSHORE	1242.837137	207.665968	0.000000
HYDRO_RIVER	19.393259	5.801151	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	262.710379	349.887485	0.000000
IND_COGEN_WOOD	0.000101	0.000077	0.000000
IND_COGEN_WASTE	0.000205	0.000156	0.000000
IND_BOILER_GAS	38.202834	11.410460	0.000000
IND_BOILER_WOOD	0.000301	0.000090	0.000000
IND_BOILER_OIL	0.000637	0.000204	0.000000
IND_BOILER_COAL	0.000691	0.000206	0.000000
IND_BOILER_WASTE	23.654006	7.052471	0.000000
IND_DIRECT_ELEC	74.460046	4.507098	0.000000
DHN_HP_ELEC	101.136746	71.057199	0.000000
DHN_COGEN_GAS	126.453494	76.605180	0.000000
DHN_COGEN_WOOD	0.000006	0.000004	0.000000
DHN_COGEN_WASTE	0.000166	0.000127	0.000000
DHN_COGEN_WET_BIOMASS	0.000228	0.000385	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000051	0.000033	0.000000
DHN_BOILER_GAS	0.000136	0.000040	0.000000
DHN_BOILER_WOOD	0.000071	0.000021	0.000000
DHN_BOILER_OIL	0.000051	0.000016	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000143	0.000004	0.000000
DEC_HP_ELEC	610.938044	399.225506	0.000000
DEC_THHP_GAS	0.017075	0.008568	0.000000
DEC_COGEN_GAS	0.000964	0.001064	0.000000
DEC_COGEN_OIL	0.001767	0.001862	0.000000
DEC_ADVCOGEN_GAS	0.001593	0.000510	0.000000
DEC_ADVCOGEN_H2	0.000148	0.000047	0.000000
DEC_BOILER_GAS	0.001591	0.000712	0.000000
DEC_BOILER_WOOD	0.000326	0.000170	0.000000
DEC_BOILER_OIL	0.000936	0.000837	0.000000
DEC_SOLAR	0.002166	0.000413	0.000000
DEC_DIRECT_ELEC	0.002306	0.000134	0.000000
TRAMWAY_TROLLEY	196.746015	94.500409	0.000000
BUS_COACH_DIESEL	0.000138	0.000092	0.000000
BUS_COACH_HYDIESEL	0.000413	0.000220	0.000000
BUS_COACH_CNG_STOICH	266.344030	177.694846	0.000000
BUS_COACH_FC_HYBRIDH2	0.000119	0.000061	0.000000
BUS_COACH_ELECTRIC	0.000171	0.000100	0.000000
TRAIN_PUB	789.737309	852.657684	0.000000
CAR_GASOLINE	2278.690038	1200.000004	0.000000
CAR_DIESEL	0.000121	0.000061	0.000000
CAR_NG	0.000171	0.000088	0.000000
CAR_METHANOL	0.000169	0.000089	0.000000
CAR_HEV	0.000113	0.000083	0.000000
CAR_PHEV	0.063898	0.043902	0.000000
CAR_BEV	5551.046954	1180.019350	0.000000
CAR_FUEL_CELL	0.000142	0.000019	0.000000
TRAIN_FREIGHT	24.636890	14.740044	0.000000
BOAT_FREIGHT_DIESEL	0.000015	0.000023	0.000000
BOAT_FREIGHT_NG	0.000021	0.000031	0.000000
BOAT_FREIGHT_METHANOL	64.882680	97.049598	0.000000
TRUCK_DIESEL	945.628471	630.888941	0.000000
TRUCK_METHANOL	0.000410	0.000273	0.000000
TRUCK_FUEL_CELL	0.000876	0.000287	0.000000
TRUCK_ELEC	422.552025	300.572877	0.000000
TRUCK_NG	0.000035	0.000024	0.000000
HABER_BOSCH	0.003918	0.001315	0.000000
SYN_METHANOLATION	0.000058	0.000028	0.000000
METHANE_TO_METHANOL	0.000700	0.000634	0.000000
BIOMASS_TO_METHANOL	0.000391	0.000103	0.000000
OIL_TO_HVC	0.000267	0.000024	0.000000
GAS_TO_HVC	0.000929	0.000399	0.000000
METHANOL_TO_HVC	191.812272	296.384005	0.000000
ADLIBIO_TO_HVC	0.001284	0.000479	0.000000
PHS	8.400321	0.000000	0.000000
BATT_LI	0.009152	0.000189	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.004036	0.000485	0.000000
TS_DEC_HP_ELEC	65.941715	7.925664	0.000000
TS_DEC_THHP_GAS	0.004348	0.000523	0.000000
TS_DEC_COGEN_GAS	0.004067	0.000489	0.000000
TS_DEC_COGEN_OIL	0.003973	0.000478	0.000000
TS_DEC_ADVCOGEN_GAS	0.004023	0.000484	0.000000
TS_DEC_ADVCOGEN_H2	0.004012	0.000482	0.000000
TS_DEC_BOILER_GAS	0.004085	0.000491	0.000000
TS_DEC_BOILER_WOOD	0.003706	0.000445	0.000000
TS_DEC_BOILER_OIL	0.004063	0.000488	0.000000
TS_DHN_DAILY	0.002592	0.000222	0.000000
TS_DHN_SEASONAL	18.669107	2.119134	0.000000
TS_HIGH_TEMP	55.575400	12.324303	0.000000
GAS_STORAGE	0.677608	0.620964	0.000000
H2_STORAGE	1.428124	1.544813	0.000000
DIESEL_STORAGE	0.018999	0.012949	0.000000
GASOLINE_STORAGE	0.253823	0.173004	0.000000
LFO_STORAGE	0.022465	0.015312	0.000000
AMMONIA_STORAGE	0.000033	0.000022	0.000000
METHANOL_STORAGE	0.000001	0.000001	0.000000
CO2_STORAGE	0.057721	0.013862	0.000000
ADLIBIO_TO_FUEL	56.105918	17.588811	0.000000
AMMONIA_TO_H2	0.000050	0.000096	0.000000
ATM_CCS	0.000175	0.000130	0.000000
BIO_HYDROLYSIS	293.198906	266.737771	0.000000
BIOMETHANATION	0.032555	0.007742	0.000000
DHN	171.273922	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000004	0.000005	0.000000
GRID	2131.316002	0.000000	0.000000
H2_BIOMASS	49.158793	71.755731	0.000000
H2_ELECTROLYSIS	0.002195	0.000805	0.000000
INDUSTRY_CCS	0.000248	0.000184	0.000000
REDIFUEL	0.000135	0.000062	0.000000
SMR	0.009927	0.018981	0.000000
SYN_METHANATION	0.000049	0.000375	0.000000
AMMONIA	0.000000	0.000000	-0.003254
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	1118.702702
BIODIESEL	0.000000	0.000000	0.001519
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.001126
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.001431
DIESEL	0.000000	0.000000	897.338192
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	1756.919827
GAS	0.000000	0.000000	4420.181975
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000006
GASOLINE	0.000000	0.000000	0.007627
H2	0.000000	0.000000	0.000019
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	485.367224
LFO	0.000000	0.000000	0.004461
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	1904.712433
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.001305
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	372.916394
WET_BIOMASS	0.000000	0.000000	205.595295
WOOD	0.000000	0.000000	767.519913
WOOD_PRODUCTION	0.000000	0.000000	176.506383
