Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.005493	0.000000	-0.309066
CCGT_AMMONIA	0.000032	0.000000	0.000046
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	11832.998570	0.000000	0.000000
WIND_ONSHORE	3347.582482	0.000000	84.413410
WIND_OFFSHORE	1078.850275	0.000000	119.933270
HYDRO_RIVER	36.234855	0.000000	-7.566743
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	390.674666	0.000000	603.811254
IND_COGEN_WOOD	0.000208	0.000000	0.000096
IND_COGEN_WASTE	0.000414	0.000000	0.000319
IND_BOILER_GAS	33.262395	0.000000	0.000000
IND_BOILER_WOOD	0.003071	0.000000	0.000031
IND_BOILER_OIL	0.000596	0.000000	0.000000
IND_BOILER_COAL	0.016824	0.000000	0.001007
IND_BOILER_WASTE	254.252393	0.000000	169.149415
IND_DIRECT_ELEC	2.233975	0.000000	0.000000
DHN_HP_ELEC	145.915999	0.000000	8.862553
DHN_COGEN_GAS	195.904416	0.000000	294.921423
DHN_COGEN_WOOD	0.000007	0.000000	0.000094
DHN_COGEN_WASTE	0.000335	0.000000	0.000199
DHN_COGEN_WET_BIOMASS	0.016195	0.000000	0.007348
DHN_COGEN_BIO_HYDROLYSIS	0.000143	0.000000	0.004179
DHN_BOILER_GAS	0.000118	0.000000	0.000000
DHN_BOILER_WOOD	0.000705	0.000000	0.000018
DHN_BOILER_OIL	0.000047	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.007478	0.000000	0.000000
DEC_HP_ELEC	648.833757	0.000000	27.364715
DEC_THHP_GAS	0.125765	0.000000	0.000000
DEC_COGEN_GAS	0.002243	0.000000	0.001025
DEC_COGEN_OIL	0.004435	0.000000	0.000503
DEC_ADVCOGEN_GAS	0.003923	0.000000	0.003834
DEC_ADVCOGEN_H2	0.000365	0.000000	0.001146
DEC_BOILER_GAS	0.002924	0.000000	0.000000
DEC_BOILER_WOOD	0.007416	0.000000	0.000030
DEC_BOILER_OIL	0.001915	0.000000	0.000000
DEC_SOLAR	0.060949	0.000000	0.000000
DEC_DIRECT_ELEC	0.000575	0.000000	0.000000
TRAMWAY_TROLLEY	78.587194	0.000000	0.000000
