Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000077	0.000000	0.012529
CCGT_AMMONIA	0.000004	0.000000	0.000006
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1163.056544	0.000000	0.000000
WIND_ONSHORE	133.608579	0.000000	2.125321
WIND_OFFSHORE	118.263228	0.000000	2.998398
HYDRO_RIVER	3.051277	0.000000	0.009470
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	57.373321	0.000000	12090.673004
IND_COGEN_WOOD	0.000007	0.000000	0.002571
IND_COGEN_WASTE	0.000007	0.000000	0.001333
IND_BOILER_GAS	4.993093	0.000000	3119.387444
IND_BOILER_WOOD	0.000037	0.000000	0.002611
IND_BOILER_OIL	0.000016	0.000000	0.004301
IND_BOILER_COAL	0.000075	0.000000	0.002847
IND_BOILER_WASTE	11.655724	0.000000	4737.148709
IND_DIRECT_ELEC	0.236962	0.000000	0.000000
DHN_HP_ELEC	31.659068	0.000000	468.285986
DHN_COGEN_GAS	11.581297	0.000000	4538.411125
DHN_COGEN_WOOD	0.000000	0.000000	0.001499
DHN_COGEN_WASTE	0.000004	0.000000	0.001178
DHN_COGEN_WET_BIOMASS	0.000086	0.000000	0.003386
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000573
DHN_BOILER_GAS	0.000004	0.000000	0.001299
DHN_BOILER_WOOD	0.000006	0.000000	0.001252
DHN_BOILER_OIL	0.000001	0.000000	0.001106
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000074	0.000000	0.000000
DEC_HP_ELEC	133.103657	0.000000	1353.616669
DEC_THHP_GAS	0.001503	0.000000	0.050589
DEC_COGEN_GAS	0.000065	0.000000	0.003592
DEC_COGEN_OIL	0.000104	0.000000	0.009298
DEC_ADVCOGEN_GAS	0.000044	0.000000	0.002673
DEC_ADVCOGEN_H2	0.000010	0.000000	0.000012
DEC_BOILER_GAS	0.000041	0.000000	0.001683
DEC_BOILER_WOOD	0.000021	0.000000	0.002638
DEC_BOILER_OIL	0.000028	0.000000	0.002055
DEC_SOLAR	0.000817	0.000000	0.000000
DEC_DIRECT_ELEC	0.000008	0.000000	0.000000
TRAMWAY_TROLLEY	6.777613	0.000000	0.000000
BUS_COACH_DIESEL	0.000043	0.000000	0.000698
BUS_COACH_HYDIESEL	0.000016	0.000000	0.000251
BUS_COACH_CNG_STOICH	70.532059	0.000000	1113.864060
BUS_COACH_FC_HYBRIDH2	0.000025	0.000000	0.000037
BUS_COACH_ELECTRIC	0.000337	0.000000	0.000178
TRAIN_PUB	20.546126	0.000000	4.412863
CAR_GASOLINE	807.192494	0.000000	3184.409402
CAR_DIESEL	0.000008	0.000000	0.000089
CAR_NG	0.000019	0.000000	0.000101
CAR_METHANOL	0.000011	0.000000	0.000107
CAR_HEV	0.000007	0.000000	0.000070
CAR_PHEV	0.003887	0.000000	0.002117
