source,target,realValue,layerID,layerColor,layerUnit
Ammonia,Non-energy demand,9.88,Ammonia,#000ECD,TWh
H2,Haber-Bosch,11.16,H2,#FF00FF,TWh
Elec,Haber-Bosch,1.21,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,1.32,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,9.88,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,2.99,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.49,Methanol,#CC0066,TWh
Methanol,Freight,1.50,Methanol,#CC0066,TWh
Oil,NSC,72.87,Naphtha,#8B008B,TWh
Elec,NSC,0.85,Electricity,#00BFFF,TWh
Heat HT,NSC,0.69,Heat HT,#DC143C,TWh
NSC,HVC,40.08,HVC,#00FFFF,TWh
HVC,Non-energy demand,40.08,HVC,#00FFFF,TWh
Imp. Gasoline,Gasoline,17.48,Gasoline,#808080,TWh
Gasoline,Mob priv,-17.48,Gasoline,#808080,TWh
Imp. Diesel,Diesel,39.31,Diesel,#D3D3D3,TWh
Diesel,Mob priv,18.64,Diesel,#D3D3D3,TWh
Diesel,Mob public,4.50,Diesel,#D3D3D3,TWh
Diesel,Freight,16.16,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,117.35,Gas,#FFD700,TWh
Gas Prod,Gas,0.00,GAS,#FFD700,TWh
Gas,Mob priv,0.05,GAS,#FFD700,TWh
Gas,Mob public,0.18,GAS,#FFD700,TWh
Gas,Freight,1.47,GAS,#FFD700,TWh
Gas,H2 prod,15.23,GAS,#FFD700,TWh
Gas,CHP,22.37,GAS,#FFD700,TWh
Gas,Boilers,78.04,GAS,#FFD700,TWh
Electricity,Elec,4.36,Electricity,#00BFFF,TWh
Uranium,Elec,104.65,Nuclear,#FFC0CB,TWh
Wind,Elec,17.08,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Coal,Elec,5.77,Coal,#A0522D,TWh
Coal,Boilers,21.99,Coal,#A0522D,TWh
Solar,Elec,5.72,Solar,#FFFF00,TWh
Solar,Dec. sto,0.02,Solar,#FFFF00,TWh
Solar,Heat LT Dec,0.23,Solar,#FFFF00,TWh
Waste,CHP,9.45,Waste,#808000,TWh
Imp. Oil,Oil,147.98,Oil,#8B008B,TWh
Oil,Boilers,75.11,Oil,#8B008B,TWh
Wood be.,Wood,15.19,Wood,#CD853F,TWh
Wood,CHP,0.78,Wood,#CD853F,TWh
Wood,Boilers,14.41,Wood,#CD853F,TWh
Elec,Mob priv,0.12,Electricity,#00BFFF,TWh
Gasoline,Mob priv,17.05,GASOLINE,#8080800,TWh
Elec,Mob public,1.06,Electricity,#00BFFF,TWh
Elec,Freight,1.23,Electricity,#00BFFF,TWh
Elec,Exp & Loss,3.98,Electricity,#00BFFF,TWh
Elec,Curt.,0.48,Electricity,#00BFFF,TWh
Elec,Elec demand,73.56,Electricity,#00BFFF,TWh
Wind,Curt.,0.38,Wind,#27AE34,TWh
Elec,Storage,1.67,Electricity,#00BFFF,TWh
Storage,Elec demand,1.21,Electricity,#00BFFF,TWh
Elec,HPs,0.54,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,11.16,H2,#FF00FF,TWh
CHP,Elec,12.43,Electricity,#00BFFF,TWh
CHP,Dec. sto,0.32,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,0.54,Heat LT,#FA8072,TWh
CHP,DHN,5.00,Heat LT,#FA8072,TWh
CHP,Heat HT,8.53,Heat HT,#DC143C,TWh
HPs,Dec. sto,0.30,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,1.05,Heat LT,#FA8072,TWh
HPs,DHN,0.33,Heat LT,#FA8072,TWh
Boilers,Dec. sto,14.65,Heat LT,#FA8072,TWh
Boilers,Heat LT Dec,105.40,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,14.41,Heat LT,#FA8072,TWh
Boilers,DHN,0.91,Heat LT,#FA8072,TWh
Boilers,Heat HT,51.57,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,5.34,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.38,Heat LT,#FA8072,TWh
DHN,DHN Sto,1.85,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,1.66,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,59.41,Heat HT,#DC143C,TWh
