Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000142	0.000000	-0.000031
CCGT_AMMONIA	0.000026	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	12944.831421	0.000000	0.000000
WIND_ONSHORE	3347.582880	0.000000	84.411185
WIND_OFFSHORE	1078.850443	0.000000	120.119715
HYDRO_RIVER	36.234859	0.000000	-7.419437
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	328.551249	0.000000	516.471837
IND_COGEN_WOOD	0.000024	0.000000	0.000002
IND_COGEN_WASTE	0.000018	0.000000	0.000003
IND_BOILER_GAS	29.081198	0.000000	0.000000
IND_BOILER_WOOD	0.000117	0.000000	0.000000
IND_BOILER_OIL	0.000011	0.000000	0.000000
IND_BOILER_COAL	0.000266	0.000000	0.000009
IND_BOILER_WASTE	214.556194	0.000000	139.645587
IND_DIRECT_ELEC	3.298465	0.000000	0.000000
DHN_HP_ELEC	129.429240	0.000000	7.451141
DHN_COGEN_GAS	268.259550	0.000000	407.513538
DHN_COGEN_WOOD	0.000009	0.000000	0.000001
DHN_COGEN_WASTE	0.000016	0.000000	0.000002
DHN_COGEN_WET_BIOMASS	0.000383	0.000000	0.000068
DHN_COGEN_BIO_HYDROLYSIS	0.000026	0.000000	0.000073
DHN_BOILER_GAS	0.000002	0.000000	0.000000
DHN_BOILER_WOOD	0.000041	0.000000	0.000000
DHN_BOILER_OIL	0.000002	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000581	0.000000	0.000000
DEC_HP_ELEC	652.548110	0.000000	27.546160
DEC_THHP_GAS	0.001514	0.000000	0.000000
DEC_COGEN_GAS	0.000059	0.000000	0.000017
DEC_COGEN_OIL	0.000043	0.000000	0.000003
DEC_ADVCOGEN_GAS	0.000086	0.000000	0.000053
DEC_ADVCOGEN_H2	0.000081	0.000000	0.000052
DEC_BOILER_GAS	0.000038	0.000000	0.000000
DEC_BOILER_WOOD	0.000418	0.000000	0.000000
DEC_BOILER_OIL	0.000032	0.000000	0.000000
DEC_SOLAR	0.003000	0.000000	0.000000
DEC_DIRECT_ELEC	0.000006	0.000000	0.000000
TRAMWAY_TROLLEY	78.587427	0.000000	0.000000
BUS_COACH_DIESEL	0.000004	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000003	0.000000	0.000000
BUS_COACH_CNG_STOICH	1589.631306	0.000000	1.350239
BUS_COACH_FC_HYBRIDH2	0.000047	0.000000	0.000000
BUS_COACH_ELECTRIC	0.005598	0.000000	0.000004
TRAIN_PUB	424.321967	0.000000	0.000000
CAR_GASOLINE	6191.681729	0.000000	1255.705380
CAR_DIESEL	0.000002	0.000000	0.000000
CAR_NG	0.000007	0.000000	0.000001
CAR_METHANOL	0.000006	0.000000	0.000001
CAR_HEV	0.000005	0.000000	0.000001
CAR_PHEV	0.002900	0.000000	0.000251
CAR_BEV	28993.423539	0.000000	3402.315879
CAR_FUEL_CELL	0.000034	0.000000	0.000002
TRAIN_FREIGHT	247.342362	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000098	0.000000	0.000002
BOAT_FREIGHT_METHANOL	210.053614	0.000000	4.680948
TRUCK_DIESEL	6467.159741	0.000000	0.282055
TRUCK_METHANOL	0.000006	0.000000	0.000000
TRUCK_FUEL_CELL	0.000006	0.000000	0.000000
TRUCK_ELEC	5756.385572	0.000000	0.282055
TRUCK_NG	0.000006	0.000000	0.000000
HABER_BOSCH	0.006086	0.000000	0.000074
SYN_METHANOLATION	0.000370	0.000000	0.000016
METHANE_TO_METHANOL	0.000005	0.000000	0.000005
BIOMASS_TO_METHANOL	0.000280	0.000000	0.000051
OIL_TO_HVC	0.001360	0.000000	0.000000
GAS_TO_HVC	897.374914	0.000000	0.000000
METHANOL_TO_HVC	5742.750355	0.000000	0.000000
ADLIBIO_TO_HVC	1069.105502	0.000000	791.048564
PHS	6016.701661	0.000000	0.000000
BATT_LI	0.000625	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.003163	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000320	0.000000	0.000000
TS_DEC_HP_ELEC	506.467784	0.000000	0.000000
TS_DEC_THHP_GAS	0.000356	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000319	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000316	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000319	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000318	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000319	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000318	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000318	0.000000	0.000000
TS_DHN_DAILY	0.001556	0.000000	0.000000
