Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000561	0.000294	0.000000
CCGT_AMMONIA	0.000024	0.000013	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2198.441047	520.194136	0.000000
WIND_ONSHORE	433.047554	120.959999	0.000000
WIND_OFFSHORE	1242.836990	207.665943	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	283.931539	378.150618	0.000000
IND_COGEN_WOOD	0.000057	0.000044	0.000000
IND_COGEN_WASTE	0.000038	0.000029	0.000000
IND_BOILER_GAS	37.951975	11.335533	0.000000
IND_BOILER_WOOD	0.000077	0.000023	0.000000
IND_BOILER_OIL	0.000111	0.000036	0.000000
IND_BOILER_COAL	0.000115	0.000034	0.000000
IND_BOILER_WASTE	23.337307	6.958047	0.000000
IND_DIRECT_ELEC	87.209649	5.278837	0.000000
DHN_HP_ELEC	107.078665	75.231904	0.000000
DHN_COGEN_GAS	109.945834	66.604885	0.000000
DHN_COGEN_WOOD	0.000001	0.000001	0.000000
DHN_COGEN_WASTE	0.000023	0.000017	0.000000
DHN_COGEN_WET_BIOMASS	0.000036	0.000060	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000006	0.000004	0.000000
DHN_BOILER_GAS	0.000027	0.000008	0.000000
DHN_BOILER_WOOD	0.000014	0.000004	0.000000
DHN_BOILER_OIL	0.000010	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000019	0.000001	0.000000
DEC_HP_ELEC	611.578882	399.644270	0.000000
DEC_THHP_GAS	0.001860	0.000933	0.000000
DEC_COGEN_GAS	0.000200	0.000221	0.000000
DEC_COGEN_OIL	0.000298	0.000314	0.000000
DEC_ADVCOGEN_GAS	0.000329	0.000105	0.000000
DEC_ADVCOGEN_H2	0.000071	0.000023	0.000000
DEC_BOILER_GAS	0.000247	0.000110	0.000000
DEC_BOILER_WOOD	0.000048	0.000025	0.000000
DEC_BOILER_OIL	0.000154	0.000137	0.000000
DEC_SOLAR	0.000383	0.000073	0.000000
DEC_DIRECT_ELEC	0.000340	0.000020	0.000000
TRAMWAY_TROLLEY	196.746473	94.500629	0.000000
BUS_COACH_DIESEL	0.000164	0.000109	0.000000
BUS_COACH_HYDIESEL	0.000083	0.000044	0.000000
BUS_COACH_CNG_STOICH	266.346732	177.696648	0.000000
BUS_COACH_FC_HYBRIDH2	0.000087	0.000045	0.000000
BUS_COACH_ELECTRIC	0.001041	0.000607	0.000000
TRAIN_PUB	789.737026	852.657379	0.000000
CAR_GASOLINE	2278.690032	1200.000001	0.000000
CAR_DIESEL	0.000024	0.000012	0.000000
CAR_NG	0.000053	0.000027	0.000000
CAR_METHANOL	0.000030	0.000016	0.000000
CAR_HEV	0.000019	0.000014	0.000000
CAR_PHEV	0.009828	0.006752	0.000000
CAR_BEV	5551.083249	1180.027065	0.000000
CAR_FUEL_CELL	0.000032	0.000004	0.000000
TRAIN_FREIGHT	24.636892	14.740045	0.000000
BOAT_FREIGHT_DIESEL	0.000004	0.000006	0.000000
BOAT_FREIGHT_NG	0.000027	0.000040	0.000000
BOAT_FREIGHT_METHANOL	64.882631	97.049526	0.000000
TRUCK_DIESEL	945.628396	630.888890	0.000000
TRUCK_METHANOL	0.000009	0.000006	0.000000
TRUCK_FUEL_CELL	0.000739	0.000242	0.000000
TRUCK_ELEC	422.553636	300.574023	0.000000
TRUCK_NG	0.000012	0.000008	0.000000
HABER_BOSCH	6.357277	2.133949	0.000000
SYN_METHANOLATION	0.000002	0.000001	0.000000
METHANE_TO_METHANOL	0.000205	0.000186	0.000000
BIOMASS_TO_METHANOL	0.000028	0.000007	0.000000
OIL_TO_HVC	0.000036	0.000003	0.000000
