Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000051	0.000027	0.000000
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2044.800737	483.837952	0.000000
WIND_ONSHORE	416.067097	116.216471	0.000000
WIND_OFFSHORE	1189.300087	198.720375	0.000000
HYDRO_RIVER	19.393260	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	355.842925	473.924967	0.000000
IND_COGEN_WOOD	0.000096	0.000073	0.000000
IND_COGEN_WASTE	0.000012	0.000009	0.000000
IND_BOILER_GAS	34.209828	10.217825	0.000000
IND_BOILER_WOOD	0.000131	0.000039	0.000000
IND_BOILER_OIL	0.010420	0.003341	0.000000
IND_BOILER_COAL	0.000241	0.000072	0.000000
IND_BOILER_WASTE	21.063417	6.280084	0.000000
IND_DIRECT_ELEC	136.806998	8.280986	0.000000
DHN_HP_ELEC	126.108446	88.602634	0.000000
DHN_COGEN_GAS	0.000373	0.000226	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000008	0.000006	0.000000
DHN_COGEN_WET_BIOMASS	0.000022	0.000037	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	0.000000
DHN_BOILER_GAS	0.000015	0.000005	0.000000
DHN_BOILER_WOOD	0.000008	0.000002	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	550.293030	359.594949	0.000000
DEC_THHP_GAS	0.000249	0.000125	0.000000
DEC_COGEN_GAS	0.000060	0.000066	0.000000
DEC_COGEN_OIL	0.000453	0.000477	0.000000
DEC_ADVCOGEN_GAS	0.000115	0.000037	0.000000
DEC_ADVCOGEN_H2	167.868015	53.711039	0.000000
DEC_BOILER_GAS	0.000195	0.000087	0.000000
DEC_BOILER_WOOD	0.000008	0.000004	0.000000
DEC_BOILER_OIL	0.000135	0.000120	0.000000
DEC_SOLAR	0.003296	0.000628	0.000000
DEC_DIRECT_ELEC	0.000321	0.000019	0.000000
TRAMWAY_TROLLEY	203.739695	97.859590	0.000000
BUS_COACH_DIESEL	0.000037	0.000024	0.000000
BUS_COACH_HYDIESEL	0.000045	0.000024	0.000000
BUS_COACH_CNG_STOICH	0.000031	0.000021	0.000000
BUS_COACH_FC_HYBRIDH2	351.566530	188.195468	0.000000
BUS_COACH_ELECTRIC	0.000126	0.000075	0.000000
TRAIN_PUB	817.807953	882.964788	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000016	0.000008	0.000000
CAR_NG	0.000024	0.000012	0.000000
CAR_METHANOL	0.000017	0.000009	0.000000
CAR_HEV	0.000018	0.000013	0.000000
CAR_PHEV	0.008986	0.006144	0.000000
CAR_BEV	7893.392043	1739.742798	0.000000
CAR_FUEL_CELL	0.000027	0.000004	0.000000
TRAIN_FREIGHT	26.189628	15.669035	0.000000
BOAT_FREIGHT_DIESEL	0.000107	0.000157	0.000000
BOAT_FREIGHT_NG	0.000035	0.000051	0.000000
BOAT_FREIGHT_METHANOL	70.434435	103.165914	0.000000
TRUCK_DIESEL	312.451263	204.111112	0.000000
TRUCK_METHANOL	0.000002	0.000001	0.000000
TRUCK_FUEL_CELL	1380.996316	470.055224	0.000000
TRUCK_ELEC	0.000011	0.000008	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	10.377065	3.483273	0.000000
SYN_METHANOLATION	0.000006	0.000003	0.000000
METHANE_TO_METHANOL	0.000344	0.000312	0.000000
BIOMASS_TO_METHANOL	0.000076	0.000020	0.000000
OIL_TO_HVC	0.000014	0.000001	0.000000
GAS_TO_HVC	0.000391	0.000168	0.000000
METHANOL_TO_HVC	185.440213	286.537179	0.000000
ADLIBIO_TO_HVC	0.000510	0.000191	0.000000
