Name	C_inv	C_maint	C_op
NUCLEAR	729.684680	610.380747	0.000000
CCGT	0.000000	0.000000	0.000000
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	317.769648	75.190310	0.000000
WIND_ONSHORE	70.639054	19.731066	0.000000
WIND_OFFSHORE	227.216249	37.965605	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	2534.189436	1130.656723	0.000000
IND_COGEN_GAS	194.414801	258.927967	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	200.556592	153.191859	0.000000
IND_BOILER_GAS	32.982016	9.850822	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	19.027115	6.100697	0.000000
IND_BOILER_COAL	26.263688	7.830324	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	3.152796	2.215097	0.000000
DHN_COGEN_GAS	27.441579	16.624058	0.000000
DHN_COGEN_WOOD	10.352435	7.853329	0.000000
DHN_COGEN_WASTE	27.593424	21.076784	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	1.432181	0.427753	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.323858	0.103839	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	18.536000	12.112496	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	27.444177	30.286850	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	222.653467	99.598125	0.000000
DEC_BOILER_WOOD	164.002459	85.549154	0.000000
DEC_BOILER_OIL	245.418907	219.443277	0.000000
DEC_SOLAR	21.111510	4.021505	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	12.309585	5.912500	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	47.282294	33.352582	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	252.152911	177.882198	0.000000
TRAIN_PUB	253.634417	273.842115	0.000000
CAR_GASOLINE	4548.803245	2579.416049	0.000000
CAR_DIESEL	5913.173809	3243.722424	0.000000
CAR_NG	10.980753	5.984725	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	186.871031	135.653587	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	236.060641	24.936368	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	8.412004	5.032831	0.000000
BOAT_FREIGHT_DIESEL	21.472513	34.585429	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	28.463563	45.845800	0.000000
TRUCK_DIESEL	1469.650998	1055.774000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	83.727922	59.062333	0.000000
HABER_BOSCH	19.223800	6.452832	0.000000
SYN_METHANOLATION	0.000000	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000	0.000000
OIL_TO_HVC	163.579402	11.604118	0.000000
GAS_TO_HVC	211.578933	109.596389	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	0.000000
PHS	9.912088	0.000000	0.000000
BATT_LI	11.100149	0.228984	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000	0.000000
H2_STORAGE	0.000000	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000000	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000	0.000000
ATM_CCS	0.000000	0.000000	0.000000
BIO_HYDROLYSIS	470.041456	427.619999	0.000000
BIOMETHANATION	68.186508	16.216555	0.000000
DHN	28.313838	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
GRID	1614.427663	0.000000	0.000000
H2_BIOMASS	124.326649	181.476350	0.000000
H2_ELECTROLYSIS	0.000000	0.000033	0.000000
INDUSTRY_CCS	0.000015	0.000011	0.000000
REDIFUEL	0.000000	0.000000	0.000000
SMR	58.818428	112.461864	0.000000
SYN_METHANATION	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000000	-0.028575
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	1207.714436
BIODIESEL	0.000000	0.000000	2475.883488
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	331.888162
DIESEL	0.000000	0.000000	1760.761791
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	50072.851879
GASOLINE	0.000000	0.000000	1504.100217
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	3512.420788
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	923.126107
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	423.163977
WASTE	0.000000	0.000000	171.954501
WET_BIOMASS	0.000000	0.000000	194.575323
WOOD	0.000000	0.000000	667.112736
WOOD_PRODUCTION	0.000000	0.000000	0.000000
