source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,9.97,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
H2,Haber-Bosch,0.26,H2,#FF00FF,TWh
Elec,Haber-Bosch,0.03,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,0.03,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,0.23,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,65.14,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Methanol,Freight,18.05,Methanol,#CC0066,TWh
Methanol,MTO,51.36,Methanol,#CC0066,TWh
Heat HT,MTO,13.65,Heat HT,#DC143C,TWh
MTO,HVC,41.38,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,12.28,Diesel,#D3D3D3,TWh
Diesel,Freight,12.28,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,135.02,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,13.92,GAS,#FFD700,TWh
Gas,Mob public,12.96,GAS,#FFD700,TWh
Gas,H2 prod,3.32,GAS,#FFD700,TWh
Gas,CHP,98.97,GAS,#FFD700,TWh
Gas,HPs,21.86,GAS,#FFD700,TWh
Gas,Boilers,11.83,GAS,#FFD700,TWh
Electricity,Elec,26.70,Electricity,#00BFFF,TWh
Wind,Elec,39.22,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,33.09,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,H2 prod,7.12,Wood,#CD853F,TWh
Wood be.,Wood,23.40,Wood,#CD853F,TWh
Wood,Adlibio to fuel,16.28,Wood,#CD853F,TWh
H2,Adlibio to fuel,6.67,H2,#FF00FF,TWh
Adlibio to fuel,Gasoline,9.74,GASOLINE,#8080800,TWh
Adlibio to fuel,Heat HT,12.45,HEAT_HIGH_T,#DC143C,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,13.92,GAS,#FFD700,TWh
Biomethanation,Elec,0.74,Electricity,#00BFFF,TWh
Elec,Mob priv,9.77,Electricity,#00BFFF,TWh
Gasoline,Mob priv,9.74,GASOLINE,#8080800,TWh
Elec,Mob public,1.89,Electricity,#00BFFF,TWh
Elec,Freight,1.50,Electricity,#00BFFF,TWh
Elec,Exp & Loss,6.79,Electricity,#00BFFF,TWh
Elec,Curt.,0.30,Electricity,#00BFFF,TWh
Elec,Elec demand,96.49,Electricity,#00BFFF,TWh
Solar,Curt.,0.29,Solar,#FFFF00,TWh
Wind,Curt.,3.74,Wind,#27AE34,TWh
Elec,Storage,1.06,Electricity,#00BFFF,TWh
Storage,Elec demand,0.79,Electricity,#00BFFF,TWh
Elec,HPs,25.24,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,1.47,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.26,H2,#FF00FF,TWh
H2 sto.,H2,0.22,H2,#FF00FF,TWh
H2 prod,H2,5.24,H2,#FF00FF,TWh
CHP,Elec,44.58,Electricity,#00BFFF,TWh
CHP,DHN,6.90,Heat LT,#FA8072,TWh
CHP,Heat HT,37.59,Heat HT,#DC143C,TWh
HPs,Dec. sto,13.12,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,63.32,Heat LT,#FA8072,TWh
HPs,DHN,39.94,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,12.13,Heat LT,#FA8072,TWh
Boilers,Heat HT,25.56,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,32.80,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,11.73,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,11.51,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
