Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000096	0.000000	-0.001600
CCGT_AMMONIA	0.000031	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	11735.172348	0.000000	0.000000
WIND_ONSHORE	3347.582858	0.000000	84.406399
WIND_OFFSHORE	1078.850439	0.000000	119.924822
HYDRO_RIVER	36.234858	0.000000	-7.620997
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	434.568081	0.000000	677.451640
IND_COGEN_WOOD	0.000025	0.000000	0.000004
IND_COGEN_WASTE	0.000013	0.000000	0.000004
IND_BOILER_GAS	37.005540	0.000000	0.000000
IND_BOILER_WOOD	0.000083	0.000000	0.000001
IND_BOILER_OIL	0.000009	0.000000	0.000000
IND_BOILER_COAL	0.000292	0.000000	0.000018
IND_BOILER_WASTE	257.687175	0.000000	171.066974
IND_DIRECT_ELEC	1.362393	0.000000	0.000000
DHN_HP_ELEC	142.000054	0.000000	8.690332
DHN_COGEN_GAS	208.742580	0.000000	308.479803
DHN_COGEN_WOOD	0.000000	0.000000	0.000001
DHN_COGEN_WASTE	0.000011	0.000000	0.000004
DHN_COGEN_WET_BIOMASS	0.000409	0.000000	0.000117
DHN_COGEN_BIO_HYDROLYSIS	0.000018	0.000000	0.000113
DHN_BOILER_GAS	0.000002	0.000000	0.000000
DHN_BOILER_WOOD	0.000021	0.000000	0.000000
DHN_BOILER_OIL	0.000002	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000196	0.000000	0.000000
DEC_HP_ELEC	648.801277	0.000000	27.364665
DEC_THHP_GAS	0.002337	0.000000	0.000000
DEC_COGEN_GAS	0.000049	0.000000	0.000016
DEC_COGEN_OIL	0.000034	0.000000	0.000002
DEC_ADVCOGEN_GAS	0.000081	0.000000	0.000063
DEC_ADVCOGEN_H2	0.000049	0.000000	0.000040
DEC_BOILER_GAS	0.000036	0.000000	0.000000
DEC_BOILER_WOOD	0.000256	0.000000	0.000000
DEC_BOILER_OIL	0.000029	0.000000	0.000000
DEC_SOLAR	0.000930	0.000000	0.000000
DEC_DIRECT_ELEC	0.000007	0.000000	0.000000
TRAMWAY_TROLLEY	78.587425	0.000000	0.000000
BUS_COACH_DIESEL	0.000023	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000019	0.000000	0.000000
BUS_COACH_CNG_STOICH	1589.635681	0.000000	1.350242
BUS_COACH_FC_HYBRIDH2	0.000021	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000071	0.000000	0.000000
TRAIN_PUB	424.321963	0.000000	0.000000
CAR_GASOLINE	2080.440465	0.000000	421.924188
CAR_DIESEL	0.000005	0.000000	0.000002
CAR_NG	0.000007	0.000000	0.000002
CAR_METHANOL	0.000006	0.000000	0.000002
CAR_HEV	0.000006	0.000000	0.000002
CAR_PHEV	0.002827	0.000000	0.000247
CAR_BEV	37150.627869	0.000000	4359.546258
CAR_FUEL_CELL	0.000017	0.000000	0.000002
TRAIN_FREIGHT	247.342361	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000000
BOAT_FREIGHT_NG	0.000001	0.000000	0.000000
BOAT_FREIGHT_METHANOL	210.053710	0.000000	4.680950
TRUCK_DIESEL	4111.766935	0.000000	0.259492
TRUCK_METHANOL	0.000033	0.000000	0.000000
TRUCK_FUEL_CELL	0.000307	0.000000	0.000000
TRUCK_ELEC	6216.917314	0.000000	0.304621
TRUCK_NG	0.000021	0.000000	0.000000
HABER_BOSCH	0.001640	0.000000	0.000025
SYN_METHANOLATION	0.000053	0.000000	0.000012
METHANE_TO_METHANOL	0.000003	0.000000	0.000003
BIOMASS_TO_METHANOL	0.000195	0.000000	0.000087
OIL_TO_HVC	0.002684	0.000000	0.000000
GAS_TO_HVC	241.806951	0.000000	0.000000
METHANOL_TO_HVC	6473.225783	0.000000	0.000000
ADLIBIO_TO_HVC	338.626651	0.000000	257.637886
PHS	6016.700928	0.000000	0.000000
BATT_LI	0.000293	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.003084	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000331	0.000000	0.000000
TS_DEC_HP_ELEC	429.232790	0.000000	0.000000
TS_DEC_THHP_GAS	0.000393	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000332	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000331	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000331	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000330	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000332	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000332	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000331	0.000000	0.000000
TS_DHN_DAILY	0.002140	0.000000	0.000000
TS_DHN_SEASONAL	4002.100906	0.000000	0.000000
TS_HIGH_TEMP	218.465532	0.000000	0.000000
GAS_STORAGE	993.316559	0.000000	0.000000
H2_STORAGE	0.002113	0.000000	0.000000
DIESEL_STORAGE	0.012080	0.000000	0.000000
GASOLINE_STORAGE	7.361457	0.000000	0.000000
LFO_STORAGE	0.010444	0.000000	0.000000
AMMONIA_STORAGE	0.019540	0.000000	0.000000
METHANOL_STORAGE	0.177069	0.000000	0.000000
CO2_STORAGE	0.000631	0.000000	0.000000
ADLIBIO_TO_FUEL	773.452895	0.000000	362.215955
AMMONIA_TO_H2	0.000119	0.000000	0.000000
ATM_CCS	0.000008	0.000000	0.000009
BIO_HYDROLYSIS	1665.700445	0.000000	12093.166033
BIOMETHANATION	101.542099	0.000000	30.214532
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000003	0.000000	0.000062
GRID	866.306084	0.000000	0.000000
H2_BIOMASS	273.776940	0.000000	21.870905
H2_ELECTROLYSIS	10.162435	0.000000	0.295338
INDUSTRY_CCS	0.000000	0.000000	0.000003
