source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,53.47,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Gas,OCM,0.34,Gas,#FFD700,TWh
Elec,OCM,0.06,Electricity,#00BFFF,TWh
OCM,HVC,0.12,HVC,#00FFFF,TWh
Methanol,MTO,48.80,Methanol,#CC0066,TWh
Heat HT,MTO,12.98,Heat HT,#DC143C,TWh
MTO,HVC,39.32,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,8.99,Diesel,#D3D3D3,TWh
Diesel,Freight,8.99,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,111.87,Gas,#FFD700,TWh
Gas Prod,Gas sto.,1.05,GAS,#FFD700,TWh
Gas sto.,Gas,1.03,GAS,#FFD700,TWh
Gas Prod,Gas,15.35,GAS,#FFD700,TWh
Gas,Mob public,4.05,GAS,#FFD700,TWh
Gas,CHP,104.67,GAS,#FFD700,TWh
Gas,Boilers,19.18,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,38.67,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,50.76,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,H2 prod,11.23,Wood,#CD853F,TWh
Wood be.,Wood,23.40,Wood,#CD853F,TWh
Wood,Adlibio to fuel,6.28,Wood,#CD853F,TWh
H2,Adlibio to fuel,2.57,H2,#FF00FF,TWh
Adlibio to fuel,Gasoline,3.76,GASOLINE,#8080800,TWh
Adlibio to fuel,Heat HT,4.80,HEAT_HIGH_T,#DC143C,TWh
Wood,Adlibio to hvc,5.89,Wood,#CD853F,TWh
H2,Adlibio to hvc,2.41,H2,#FF00FF,TWh
Adlibio to hvc,HVC,1.94,HVC,#00FFFF,TWh
Adlibio to hvc,Heat HT,4.47,HEAT_HIGH_T,#DC143C,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.40,GAS,#FFD700,TWh
Biomethanation,Elec,1.54,Electricity,#00BFFF,TWh
Elec,Mob priv,10.95,Electricity,#00BFFF,TWh
Gasoline,Mob priv,3.76,GASOLINE,#8080800,TWh
Elec,Mob public,3.87,Electricity,#00BFFF,TWh
Elec,Freight,6.57,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.79,Electricity,#00BFFF,TWh
Elec,Curt.,1.71,Electricity,#00BFFF,TWh
Elec,Elec demand,96.51,Electricity,#00BFFF,TWh
Solar,Curt.,1.57,Solar,#FFFF00,TWh
Wind,Curt.,4.30,Wind,#27AE34,TWh
Elec,Storage,1.04,Electricity,#00BFFF,TWh
Storage,Elec demand,0.77,Electricity,#00BFFF,TWh
Elec,HPs,33.65,Electricity,#00BFFF,TWh
Elec,HT sto,6.51,Electricity,#00BFFF,TWh
HT sto,Heat HT,6.44,Heat HT,#DC143C,TWh
Elec,Heat HT,-4.76,Electricity,#00BFFF,TWh
Elec,Electrolyser,0.14,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,0.02,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,0.13,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.00,Heat LT,#FA8072,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,4.99,H2,#FF00FF,TWh
CHP,Elec,48.21,Electricity,#00BFFF,TWh
CHP,DHN,14.39,Heat LT,#FA8072,TWh
CHP,Heat HT,31.60,Heat HT,#DC143C,TWh
HPs,Dec. sto,16.09,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,60.55,Heat LT,#FA8072,TWh
HPs,DHN,32.42,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,14.90,Heat LT,#FA8072,TWh
Boilers,Heat HT,32.38,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,34.82,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,9.65,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,9.49,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
