source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,56.61,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Methanol,Freight,0.98,Methanol,#CC0066,TWh
Methanol,MTO,51.36,Methanol,#CC0066,TWh
Heat HT,MTO,13.65,Heat HT,#DC143C,TWh
MTO,HVC,41.38,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,19.71,Diesel,#D3D3D3,TWh
Diesel,Freight,19.71,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,124.10,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.01,GAS,#FFD700,TWh
Gas sto.,Gas,0.01,GAS,#FFD700,TWh
Gas Prod,Gas,14.72,GAS,#FFD700,TWh
Gas,Mob public,8.57,GAS,#FFD700,TWh
Gas,CHP,101.35,GAS,#FFD700,TWh
Gas,HPs,16.72,GAS,#FFD700,TWh
Gas,Boilers,12.18,GAS,#FFD700,TWh
Electricity,Elec,26.70,Electricity,#00BFFF,TWh
Wind,Elec,39.28,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,30.95,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,14.73,GAS,#FFD700,TWh
Biomethanation,Elec,1.00,Electricity,#00BFFF,TWh
Elec,Mob priv,5.27,Electricity,#00BFFF,TWh
Elec,Mob public,2.96,Electricity,#00BFFF,TWh
Elec,Freight,1.50,Electricity,#00BFFF,TWh
Elec,Exp & Loss,6.74,Electricity,#00BFFF,TWh
Elec,Curt.,0.29,Electricity,#00BFFF,TWh
Elec,Elec demand,96.42,Electricity,#00BFFF,TWh
Solar,Curt.,0.22,Solar,#FFFF00,TWh
Wind,Curt.,3.68,Wind,#27AE34,TWh
Elec,Storage,1.15,Electricity,#00BFFF,TWh
Storage,Elec demand,0.86,Electricity,#00BFFF,TWh
Elec,HPs,28.34,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,9.03,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
CHP,Elec,45.32,Electricity,#00BFFF,TWh
CHP,DHN,4.86,Heat LT,#FA8072,TWh
CHP,Heat HT,41.03,Heat HT,#DC143C,TWh
HPs,Dec. sto,13.33,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,63.13,Heat LT,#FA8072,TWh
HPs,DHN,42.03,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,12.33,Heat LT,#FA8072,TWh
Boilers,Heat HT,25.89,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,31.87,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,12.68,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,12.44,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
