Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000196	0.000000	-0.007226
CCGT_AMMONIA	0.000003	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	13124.123933	0.000000	0.000000
WIND_ONSHORE	3347.582785	0.000000	84.341655
WIND_OFFSHORE	1078.850439	0.000000	118.742776
HYDRO_RIVER	36.234859	0.000000	-7.428612
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	517.028602	0.000000	794.144059
IND_COGEN_WOOD	0.000011	0.000000	0.000003
IND_COGEN_WASTE	0.000017	0.000000	0.000005
IND_BOILER_GAS	33.425186	0.000000	0.000000
IND_BOILER_WOOD	0.000143	0.000000	0.000001
IND_BOILER_OIL	0.000019	0.000000	0.000000
IND_BOILER_COAL	0.000546	0.000000	0.000019
IND_BOILER_WASTE	245.769092	0.000000	161.603211
IND_DIRECT_ELEC	3.191775	0.000000	0.000000
DHN_HP_ELEC	173.055694	0.000000	10.934361
DHN_COGEN_GAS	99.847987	0.000000	129.746381
DHN_COGEN_WOOD	0.000000	0.000000	0.000001
DHN_COGEN_WASTE	0.000011	0.000000	0.000004
DHN_COGEN_WET_BIOMASS	0.000498	0.000000	0.000123
DHN_COGEN_BIO_HYDROLYSIS	0.000008	0.000000	0.000136
DHN_BOILER_GAS	0.000005	0.000000	0.000000
DHN_BOILER_WOOD	0.000024	0.000000	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000249	0.000000	0.000000
DEC_HP_ELEC	649.869607	0.000000	27.418861
DEC_THHP_GAS	0.003092	0.000000	0.000000
DEC_COGEN_GAS	0.000084	0.000000	0.000029
DEC_COGEN_OIL	0.000117	0.000000	0.000012
DEC_ADVCOGEN_GAS	0.000131	0.000000	0.000098
DEC_ADVCOGEN_H2	0.000117	0.000000	0.000171
DEC_BOILER_GAS	0.000082	0.000000	0.000000
DEC_BOILER_WOOD	0.000268	0.000000	0.000001
DEC_BOILER_OIL	0.000060	0.000000	0.000000
DEC_SOLAR	0.001299	0.000000	0.000000
DEC_DIRECT_ELEC	0.000015	0.000000	0.000000
TRAMWAY_TROLLEY	78.587420	0.000000	0.000000
BUS_COACH_DIESEL	0.000041	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000048	0.000000	0.000000
BUS_COACH_CNG_STOICH	1589.352222	0.000000	1.350002
BUS_COACH_FC_HYBRIDH2	0.000060	0.000000	0.000000
BUS_COACH_ELECTRIC	0.349990	0.000000	0.000241
TRAIN_PUB	424.321955	0.000000	0.000000
CAR_GASOLINE	6191.681711	0.000000	1255.705329
CAR_DIESEL	0.000013	0.000000	0.000006
CAR_NG	0.000015	0.000000	0.000006
CAR_METHANOL	0.000013	0.000000	0.000006
CAR_HEV	0.000010	0.000000	0.000005
CAR_PHEV	0.006047	0.000000	0.000545
CAR_BEV	28993.420385	0.000000	3402.315513
CAR_FUEL_CELL	0.000031	0.000000	0.000007
TRAIN_FREIGHT	247.342361	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000008	0.000000	0.000000
BOAT_FREIGHT_NG	0.000019	0.000000	0.000000
BOAT_FREIGHT_METHANOL	210.053691	0.000000	4.680950
TRUCK_DIESEL	6467.159741	0.000000	0.408140
TRUCK_METHANOL	0.000003	0.000000	0.000000
TRUCK_FUEL_CELL	1233.283027	0.000000	0.057135
TRUCK_ELEC	2017.120520	0.000000	0.098836
