TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.004677	0.000118	25.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.015385	0.961540	0.048263	0.001113
CCGT_AMMONIA	0.000098	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000749	0.630000	0.048263	0.000023
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	44575.384203	509.054314	25.000000	0.000000	51.236074	59.200000	0.000000	0.567582	1.000000	0.114317	1.000000	0.048263	106644.301081
WIND_ONSHORE	10399.999415	120.959993	30.000000	0.000000	9.999999	10.000000	0.000000	0.215707	1.000000	0.222599	1.000000	0.041639	6228.499650
WIND_OFFSHORE	29847.779856	207.665999	30.000000	0.000000	6.000000	6.000000	0.000000	0.211636	1.000000	0.363997	1.000000	0.041639	3737.099982
HYDRO_RIVER	580.165796	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005075	1.000000	0.455425	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	7174.732727	461.185138	25.000000	0.000000	5.095582	Infinity	0.000000	0.523941	1.000000	0.839903	0.850000	0.048263	5219.506848
IND_COGEN_WOOD	0.000441	0.000016	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.004023	0.850000	0.048263	0.000067
IND_COGEN_WASTE	0.000404	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000501	0.850000	0.048263	0.000089
IND_BOILER_GAS	587.210908	11.765016	17.000000	0.000000	9.971318	Infinity	0.000000	0.221491	1.000000	0.181444	0.950000	0.067080	122.846636
IND_BOILER_WOOD	0.000844	0.000017	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.004214	0.900000	0.067080	0.000212
IND_BOILER_OIL	0.000624	0.000013	17.000000	0.000000	0.000011	Infinity	0.000000	0.000000	1.000000	0.004408	0.950000	0.067080	0.000140
IND_BOILER_COAL	0.000829	0.000017	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.006511	0.900000	0.067080	0.000347
IND_BOILER_WASTE	346.540292	6.930765	17.000000	0.000000	3.008685	Infinity	0.000000	0.197421	1.000000	0.535992	0.900000	0.067080	86.860724
IND_DIRECT_ELEC	1090.878490	4.948676	15.000000	0.000000	3.282417	Infinity	0.000000	0.057147	1.000000	0.142212	0.950000	0.074944	4.825153
DHN_HP_ELEC	2453.926762	83.210686	25.000000	0.000000	7.117783	Infinity	0.000000	0.861927	1.000000	0.647446	0.950000	0.048263	1244.117237
DHN_COGEN_GAS	1412.105077	41.286942	25.000000	0.000000	1.125641	Infinity	0.000000	0.138073	1.000000	0.655823	0.850000	0.048263	552.554536
DHN_COGEN_WOOD	0.000041	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001061	0.850000	0.048263	0.000006
DHN_COGEN_WASTE	0.000339	0.000013	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000355	0.850000	0.048263	0.000075
DHN_COGEN_WET_BIOMASS	0.000355	0.000029	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001067	0.750000	0.048263	0.000265
DHN_COGEN_BIO_HYDROLYSIS	0.000116	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000118	0.850000	0.074944	0.000017
DHN_BOILER_GAS	0.000163	0.000003	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.002580	0.950000	0.067080	0.000034
DHN_BOILER_WOOD	0.000137	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001450	0.900000	0.067080	0.000034
DHN_BOILER_OIL	0.000060	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001298	0.950000	0.067080	0.000013
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000254	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000619	1.000000	0.041639	0.000155
DEC_HP_ELEC	9574.465042	399.204714	18.000000	0.000000	19.458713	Infinity	0.000000	0.999997	1.000000	0.449619	1.000000	0.063806	3208.547152
DEC_THHP_GAS	0.015212	0.000445	20.000000	0.000000	0.000048	Infinity	0.000000	0.000002	1.000000	0.218503	1.000000	0.058246	0.018404
DEC_COGEN_GAS	0.001282	0.000082	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003422	1.000000	0.058246	0.000933
DEC_COGEN_OIL	0.001906	0.000117	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.006077	1.000000	0.058246	0.001496
DEC_ADVCOGEN_GAS	0.001904	0.000035	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001047	1.000000	0.058246	0.000577
DEC_ADVCOGEN_H2	0.001512	0.000028	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001567	1.000000	0.058246	0.000458
DEC_BOILER_GAS	0.001618	0.000049	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.003401	1.000000	0.067080	0.000215
DEC_BOILER_WOOD	0.000403	0.000014	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002109	1.000000	0.067080	0.000018
DEC_BOILER_OIL	0.000802	0.000048	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.002860	1.000000	0.067080	0.000119
DEC_SOLAR	0.002118	0.000023	20.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.002084	1.000000	0.058246	0.000652
DEC_DIRECT_ELEC	0.002037	0.000009	15.000000	0.000000	0.000051	Infinity	0.000000	0.000000	1.000000	0.005247	1.000000	0.074944	0.000075
TRAMWAY_TROLLEY	4725.033667	94.500673	30.000000	0.000000	7.560054	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000305	0.000015	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001660	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000382	0.000015	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001661	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3439.761352	171.988380	15.000000	0.000000	5.628711	Infinity	0.000000	0.193574	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000554	0.000021	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004518	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	133.519732	5.839164	15.000000	0.000000	0.186853	Infinity	0.000000	0.006426	1.000000	0.296801	0.296800	0.074944	0.000000
TRAIN_PUB	23625.649958	852.657355	40.000000	0.000000	15.687474	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500005	1200.000000	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000084	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000253	0.051370	0.108434	0.000000
CAR_NG	0.000113	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000291	0.051370	0.108434	0.000000
CAR_METHANOL	0.000095	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000233	0.051370	0.108434	0.000000
CAR_HEV	0.000078	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000250	0.051370	0.108434	0.000000
CAR_PHEV	0.041338	0.003080	10.000000	0.000000	0.000091	Infinity	0.000000	0.000000	1.000000	0.028204	0.051370	0.108434	0.000000
CAR_BEV	51193.154434	1180.027993	10.000000	0.000000	118.002799	Infinity	0.000000	0.702386	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000112	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000344	0.051370	0.108434	0.000000
