Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000031	0.000000	0.004912
CCGT_AMMONIA	0.000001	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1138.149989	0.000000	0.000000
WIND_ONSHORE	133.608572	0.000000	2.126892
WIND_OFFSHORE	118.263260	0.000000	3.016855
HYDRO_RIVER	3.051277	0.000000	0.009497
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	69.971386	0.000000	14878.970099
IND_COGEN_WOOD	0.000003	0.000000	0.002086
IND_COGEN_WASTE	0.000004	0.000000	0.000605
IND_BOILER_GAS	5.182272	0.000000	3217.522942
IND_BOILER_WOOD	0.000027	0.000000	0.001605
IND_BOILER_OIL	0.000006	0.000000	0.001086
IND_BOILER_COAL	0.000036	0.000000	0.002316
IND_BOILER_WASTE	11.610023	0.000000	4746.739235
IND_DIRECT_ELEC	0.222142	0.000000	0.000000
DHN_HP_ELEC	35.016697	0.000000	534.607100
DHN_COGEN_GAS	7.178998	0.000000	2566.473391
DHN_COGEN_WOOD	0.000000	0.000000	0.000605
DHN_COGEN_WASTE	0.000003	0.000000	0.000428
DHN_COGEN_WET_BIOMASS	0.000041	0.000000	0.002083
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000296
DHN_BOILER_GAS	0.000001	0.000000	0.000459
DHN_BOILER_WOOD	0.000004	0.000000	0.000552
DHN_BOILER_OIL	0.000001	0.000000	0.000320
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000042	0.000000	0.000000
DEC_HP_ELEC	132.957261	0.000000	1351.898850
DEC_THHP_GAS	0.000716	0.000000	0.024037
DEC_COGEN_GAS	0.000024	0.000000	0.001190
DEC_COGEN_OIL	0.000039	0.000000	0.003194
DEC_ADVCOGEN_GAS	0.000015	0.000000	0.000854
DEC_ADVCOGEN_H2	0.000012	0.000000	0.000008
DEC_BOILER_GAS	0.000018	0.000000	0.000619
DEC_BOILER_WOOD	0.000012	0.000000	0.000816
DEC_BOILER_OIL	0.000010	0.000000	0.000720
DEC_SOLAR	0.000263	0.000000	0.000000
DEC_DIRECT_ELEC	0.000003	0.000000	0.000000
TRAMWAY_TROLLEY	6.777616	0.000000	0.000000
BUS_COACH_DIESEL	0.000006	0.000000	0.000108
BUS_COACH_HYDIESEL	0.000006	0.000000	0.000081
BUS_COACH_CNG_STOICH	68.266311	0.000000	1078.082660
BUS_COACH_FC_HYBRIDH2	0.000012	0.000000	0.000012
BUS_COACH_ELECTRIC	3.241075	0.000000	1.465118
TRAIN_PUB	20.546125	0.000000	4.412860
CAR_GASOLINE	807.192494	0.000000	3184.409441
CAR_DIESEL	0.000003	0.000000	0.000028
CAR_NG	0.000004	0.000000	0.000025
CAR_METHANOL	0.000004	0.000000	0.000027
CAR_HEV	0.000003	0.000000	0.000022
CAR_PHEV	0.001773	0.000000	0.000953
CAR_BEV	2866.915333	0.000000	455.304956
CAR_FUEL_CELL	0.000007	0.000000	0.000002
TRAIN_FREIGHT	28.944182	0.000000	48.205785
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000026
BOAT_FREIGHT_NG	0.000001	0.000000	0.000066
BOAT_FREIGHT_METHANOL	19.784964	0.000000	857.363971
TRUCK_DIESEL	337.456016	0.000000	3930.810716
TRUCK_METHANOL	0.000003	0.000000	0.000055
TRUCK_FUEL_CELL	113.643045	0.000000	2.026936
TRUCK_ELEC	82.176094	0.000000	1.573577
TRUCK_NG	0.000001	0.000000	0.000030
HABER_BOSCH	0.000231	0.000000	0.000016
SYN_METHANOLATION	0.000009	0.000000	0.000003
METHANE_TO_METHANOL	0.000004	0.000000	0.000014
BIOMASS_TO_METHANOL	0.000017	0.000000	0.000411
OIL_TO_HVC	0.000037	0.000000	0.000530
GAS_TO_HVC	0.000063	0.000000	0.000422
METHANOL_TO_HVC	199.452297	0.000000	0.000000
ADLIBIO_TO_HVC	0.000030	0.000000	0.000413
PHS	546.175961	0.000000	0.000000
BATT_LI	0.000154	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.001454	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000074	0.000000	0.000000
TS_DEC_HP_ELEC	17.103282	0.000000	0.000000
TS_DEC_THHP_GAS	0.000079	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000075	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000074	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000074	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000074	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000074	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000071	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000074	0.000000	0.000000
TS_DHN_DAILY	0.000350	0.000000	0.000000
TS_DHN_SEASONAL	199.808868	0.000000	0.000000
TS_HIGH_TEMP	10.177894	0.000000	0.000000
GAS_STORAGE	229.302226	0.000000	0.000000
H2_STORAGE	0.007067	0.000000	0.000000
DIESEL_STORAGE	0.002984	0.000000	0.000000
GASOLINE_STORAGE	0.881791	0.000000	0.000000
LFO_STORAGE	0.002778	0.000000	0.000000
AMMONIA_STORAGE	0.011592	0.000000	0.000000
METHANOL_STORAGE	0.012548	0.000000	0.000000
CO2_STORAGE	0.000925	0.000000	0.000000
ADLIBIO_TO_FUEL	62.458437	0.000000	347.647663
AMMONIA_TO_H2	0.000003	0.000000	0.000000
ATM_CCS	0.000002	0.000000	-0.000174
BIO_HYDROLYSIS	14.630429	0.000000	10124.415453
BIOMETHANATION	0.003873	0.000000	0.144740
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000312
GRID	23.237654	0.000000	0.000000
H2_BIOMASS	3.166267	0.000000	2.085743
H2_ELECTROLYSIS	3.253231	0.000000	0.051523
INDUSTRY_CCS	0.000000	0.000000	0.000081
REDIFUEL	0.000002	0.000000	0.000185
SMR	0.000000	0.000000	0.001805
SYN_METHANATION	0.000002	0.000000	0.000000
AMMONIA	0.000000	-0.019363	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	773.351344	0.000000
BIODIESEL	0.000000	-0.000092	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-0.000032	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000264	0.000000
DIESEL	0.000000	521.323760	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	1100.911976	0.000000
GAS	0.000000	5869.235036	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	-0.000000	0.000000
GASOLINE	0.000000	0.000163	0.000000
H2	0.000000	0.000003	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000004	0.000000
LFO	0.000000	0.000262	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	4217.345252	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-0.000047	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	-16198.328176	0.000000
WOOD	0.000000	-7496.775724	0.000000
WOOD_PRODUCTION	0.000000	-1446.316276	0.000000
