Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000001	0.000000	0.000160
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	759.380105	0.000000	0.000000
WIND_ONSHORE	153.098083	0.000000	2.389014
WIND_OFFSHORE	130.784832	0.000000	3.314296
HYDRO_RIVER	3.374216	0.000000	0.010723
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	66.982627	0.000000	13110.157768
IND_COGEN_WOOD	0.000000	0.000000	0.000022
IND_COGEN_WASTE	0.000000	0.000000	0.000026
IND_BOILER_GAS	4.892168	0.000000	1520.316051
IND_BOILER_WOOD	0.000001	0.000000	0.000028
IND_BOILER_OIL	0.000000	0.000000	0.000027
IND_BOILER_COAL	0.000002	0.000000	0.000166
IND_BOILER_WASTE	8.663318	0.000000	3287.003811
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	33.708670	0.000000	486.264253
DHN_COGEN_GAS	9.895215	0.000000	3909.753842
DHN_COGEN_WOOD	0.000000	0.000000	0.000016
DHN_COGEN_WASTE	0.000000	0.000000	0.000021
DHN_COGEN_WET_BIOMASS	0.000004	0.000000	0.000170
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000030
DHN_BOILER_GAS	0.000000	0.000000	0.000019
DHN_BOILER_WOOD	0.000000	0.000000	0.000016
DHN_BOILER_OIL	0.000000	0.000000	0.000013
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000004	0.000000	0.000000
DEC_HP_ELEC	93.947171	0.000000	908.868136
DEC_THHP_GAS	105.252849	0.000000	3140.107055
DEC_COGEN_GAS	0.000002	0.000000	0.000071
DEC_COGEN_OIL	0.000001	0.000000	0.000033
DEC_ADVCOGEN_GAS	0.000001	0.000000	0.000044
DEC_ADVCOGEN_H2	0.000001	0.000000	0.000000
DEC_BOILER_GAS	0.000001	0.000000	0.000022
DEC_BOILER_WOOD	0.000002	0.000000	0.000024
DEC_BOILER_OIL	0.000001	0.000000	0.000022
DEC_SOLAR	0.000047	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	8.725737	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000002
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000001
BUS_COACH_CNG_STOICH	269.542626	0.000000	4036.561487
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	1826.473125	0.000000	6622.370120
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000001
CAR_METHANOL	0.000000	0.000000	0.000001
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000064	0.000000	0.000028
CAR_BEV	1913.757230	0.000000	284.187070
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	31.822562	0.000000	48.205783
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000001
BOAT_FREIGHT_METHANOL	21.641275	0.000000	883.406173
TRUCK_DIESEL	491.597096	0.000000	5484.778138
TRUCK_METHANOL	10.333031	0.000000	136.082322
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000001
HABER_BOSCH	87.987589	0.000000	2.859983
SYN_METHANOLATION	0.000003	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000002	0.000000	0.000012
OIL_TO_HVC	0.000005	0.000000	0.000011
GAS_TO_HVC	0.000004	0.000000	0.000016
