Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000036	0.000019	0.000000
CCGT_AMMONIA	0.000008	0.000004	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2032.107873	480.836455	0.000000
WIND_ONSHORE	433.047526	120.959991	0.000000
WIND_OFFSHORE	1242.837287	207.665993	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	264.738741	352.588933	0.000000
IND_COGEN_WOOD	0.000016	0.000012	0.000000
IND_COGEN_WASTE	0.000011	0.000008	0.000000
IND_BOILER_GAS	38.299521	11.439338	0.000000
IND_BOILER_WOOD	0.000016	0.000005	0.000000
IND_BOILER_OIL	0.000017	0.000005	0.000000
IND_BOILER_COAL	0.000027	0.000008	0.000000
IND_BOILER_WASTE	24.041178	7.167907	0.000000
IND_DIRECT_ELEC	64.489344	3.903568	0.000000
DHN_HP_ELEC	101.416098	71.253467	0.000000
DHN_COGEN_GAS	125.537152	76.050063	0.000000
DHN_COGEN_WOOD	0.000006	0.000004	0.000000
DHN_COGEN_WASTE	0.000010	0.000007	0.000000
DHN_COGEN_WET_BIOMASS	0.000011	0.000019	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000017	0.000011	0.000000
DHN_BOILER_GAS	0.000005	0.000001	0.000000
DHN_BOILER_WOOD	0.000004	0.000001	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000008	0.000000	0.000000
DEC_HP_ELEC	610.906339	399.204787	0.000000
DEC_THHP_GAS	0.000951	0.000477	0.000000
DEC_COGEN_GAS	0.000037	0.000041	0.000000
DEC_COGEN_OIL	0.000028	0.000029	0.000000
DEC_ADVCOGEN_GAS	0.000056	0.000018	0.000000
DEC_ADVCOGEN_H2	0.000046	0.000015	0.000000
DEC_BOILER_GAS	0.000039	0.000017	0.000000
DEC_BOILER_WOOD	0.000025	0.000013	0.000000
DEC_BOILER_OIL	0.000024	0.000021	0.000000
DEC_SOLAR	0.000104	0.000020	0.000000
DEC_DIRECT_ELEC	0.000056	0.000003	0.000000
TRAMWAY_TROLLEY	196.746595	94.500687	0.000000
BUS_COACH_DIESEL	0.000008	0.000006	0.000000
BUS_COACH_HYDIESEL	0.000005	0.000003	0.000000
BUS_COACH_CNG_STOICH	266.348670	177.697941	0.000000
BUS_COACH_FC_HYBRIDH2	0.000015	0.000008	0.000000
BUS_COACH_ELECTRIC	0.000052	0.000030	0.000000
TRAIN_PUB	789.736969	852.657318	0.000000
CAR_GASOLINE	2278.690031	1200.000000	0.000000
CAR_DIESEL	0.000003	0.000002	0.000000
CAR_NG	0.000005	0.000002	0.000000
CAR_METHANOL	0.000004	0.000002	0.000000
CAR_HEV	0.000003	0.000002	0.000000
CAR_PHEV	0.002037	0.001399	0.000000
CAR_BEV	5551.089276	1180.028347	0.000000
CAR_FUEL_CELL	0.000004	0.000001	0.000000
TRAIN_FREIGHT	24.636892	14.740046	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000001	0.000000
BOAT_FREIGHT_NG	0.000013	0.000020	0.000000
BOAT_FREIGHT_METHANOL	64.882635	97.049531	0.000000
TRUCK_DIESEL	945.628395	630.888889	0.000000
TRUCK_METHANOL	0.000003	0.000002	0.000000
TRUCK_FUEL_CELL	0.000007	0.000002	0.000000
TRUCK_ELEC	422.555736	300.575516	0.000000
TRUCK_NG	0.000002	0.000001	0.000000
HABER_BOSCH	0.000064	0.000021	0.000000
SYN_METHANOLATION	0.000021	0.000010	0.000000
METHANE_TO_METHANOL	0.000022	0.000020	0.000000
BIOMASS_TO_METHANOL	0.000022	0.000006	0.000000
OIL_TO_HVC	0.000021	0.000002	0.000000
GAS_TO_HVC	0.000032	0.000014	0.000000
METHANOL_TO_HVC	191.811556	296.382898	0.000000
ADLIBIO_TO_HVC	0.000029	0.000011	0.000000
PHS	8.400078	0.000000	0.000000
BATT_LI	0.000209	0.000004	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000116	0.000014	0.000000
TS_DEC_HP_ELEC	65.732659	7.900537	0.000000
TS_DEC_THHP_GAS	0.000172	0.000021	0.000000
TS_DEC_COGEN_GAS	0.000115	0.000014	0.000000
TS_DEC_COGEN_OIL	0.000112	0.000013	0.000000
TS_DEC_ADVCOGEN_GAS	0.000120	0.000014	0.000000
TS_DEC_ADVCOGEN_H2	0.000114	0.000014	0.000000
TS_DEC_BOILER_GAS	0.000117	0.000014	0.000000
TS_DEC_BOILER_WOOD	0.000093	0.000011	0.000000
TS_DEC_BOILER_OIL	0.000117	0.000014	0.000000
TS_DHN_DAILY	0.000123	0.000011	0.000000
TS_DHN_SEASONAL	18.732617	2.126343	0.000000
TS_HIGH_TEMP	49.684343	11.017912	0.000000
GAS_STORAGE	0.514608	0.471590	0.000000
H2_STORAGE	1.400637	1.515079	0.000000
DIESEL_STORAGE	0.001003	0.000684	0.000000
GASOLINE_STORAGE	0.225009	0.153365	0.000000
LFO_STORAGE	0.001030	0.000702	0.000000
AMMONIA_STORAGE	0.000001	0.000001	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.001693	0.000406	0.000000
ADLIBIO_TO_FUEL	60.822831	19.067530	0.000000
AMMONIA_TO_H2	0.000008	0.000015	0.000000
ATM_CCS	0.000016	0.000012	0.000000
BIO_HYDROLYSIS	291.630144	265.310590	0.000000
BIOMETHANATION	0.000503	0.000120	0.000000
DHN	171.306891	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000007	0.000010	0.000000
GRID	2124.748558	0.000000	0.000000
H2_BIOMASS	67.610240	98.688797	0.000000
H2_ELECTROLYSIS	0.000102	0.000037	0.000000
INDUSTRY_CCS	0.000011	0.000008	0.000000
REDIFUEL	0.000023	0.000011	0.000000
SMR	15.328120	29.307927	0.000000
SYN_METHANATION	0.000003	0.000026	0.000000
AMMONIA	0.000000	0.000000	-0.000005
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	1118.735949
BIODIESEL	0.000000	0.000000	0.000110
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000112
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000043
DIESEL	0.000000	0.000000	897.338373
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	1756.919884
GAS	0.000000	0.000000	4657.077878
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	0.000533
H2	0.000000	0.000000	0.000001
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000184
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	1904.710909
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.000055
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	377.142912
WET_BIOMASS	0.000000	0.000000	205.595173
WOOD	0.000000	0.000000	767.519881
WOOD_PRODUCTION	0.000000	0.000000	402.488092
