Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000105	0.000000	0.025339
CCGT_AMMONIA	0.000001	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	493.616548	0.000000	0.000000
WIND_ONSHORE	175.244584	0.000000	2.692543
WIND_OFFSHORE	145.224044	0.000000	3.909021
HYDRO_RIVER	3.740008	0.000000	0.011710
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	80.588708	0.000000	13971.604691
IND_COGEN_WOOD	0.000014	0.000000	0.005794
IND_COGEN_WASTE	0.000003	0.000000	0.000249
IND_BOILER_GAS	4.792940	0.000000	1991.364710
IND_BOILER_WOOD	21.119777	0.000000	8794.510405
IND_BOILER_OIL	0.000005	0.000000	0.001566
IND_BOILER_COAL	0.000205	0.000000	0.019094
IND_BOILER_WASTE	9.596753	0.000000	4904.501407
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	44.736422	0.000000	629.812537
DHN_COGEN_GAS	3.311339	0.000000	987.141473
DHN_COGEN_WOOD	0.000000	0.000000	0.000578
DHN_COGEN_WASTE	0.000002	0.000000	0.000188
DHN_COGEN_WET_BIOMASS	0.000126	0.000000	0.010002
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	0.000299
DHN_BOILER_GAS	0.000001	0.000000	0.000142
DHN_BOILER_WOOD	0.000005	0.000000	0.000586
DHN_BOILER_OIL	0.000000	0.000000	0.000252
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000028	0.000000	0.000000
DEC_HP_ELEC	15.925354	0.000000	142.857491
DEC_THHP_GAS	361.545306	0.000000	9461.183527
DEC_COGEN_GAS	0.000015	0.000000	0.000568
DEC_COGEN_OIL	0.000014	0.000000	0.000587
DEC_ADVCOGEN_GAS	0.000010	0.000000	0.000403
DEC_ADVCOGEN_H2	0.000006	0.000000	0.000001
DEC_BOILER_GAS	0.000015	0.000000	0.000353
DEC_BOILER_WOOD	0.000013	0.000000	0.000881
DEC_BOILER_OIL	0.000007	0.000000	0.000332
DEC_SOLAR	0.000107	0.000000	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TRAMWAY_TROLLEY	10.652809	0.000000	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000006
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000006
BUS_COACH_CNG_STOICH	283.113669	0.000000	3931.465694
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000003
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	0.000002	0.000000	0.000001
CAR_GASOLINE	0.000025	0.000000	0.000090
CAR_DIESEL	0.000008	0.000000	0.000031
CAR_NG	0.000014	0.000000	0.000037
CAR_METHANOL	0.000014	0.000000	0.000051
CAR_HEV	0.000005	0.000000	0.000017
CAR_PHEV	0.001985	0.000000	0.000831
CAR_BEV	5222.767419	0.000000	734.438947
CAR_FUEL_CELL	0.000004	0.000000	0.000001
TRAIN_FREIGHT	32.880816	0.000000	44.991705
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000001
BOAT_FREIGHT_NG	0.000001	0.000000	0.000037
BOAT_FREIGHT_METHANOL	22.094773	0.000000	850.342408
TRUCK_DIESEL	0.000047	0.000000	0.000516
TRUCK_METHANOL	495.144747	0.000000	6203.951534
TRUCK_FUEL_CELL	0.000394	0.000000	0.000006
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000159	0.000000	0.001827
HABER_BOSCH	178.590862	0.000000	12.919704
SYN_METHANOLATION	0.000011	0.000000	0.000001
METHANE_TO_METHANOL	0.000001	0.000000	0.000003
BIOMASS_TO_METHANOL	0.000008	0.000000	0.000258
OIL_TO_HVC	0.000104	0.000000	0.000240
GAS_TO_HVC	0.000035	0.000000	0.000076
METHANOL_TO_HVC	289.634520	0.000000	0.000000
ADLIBIO_TO_HVC	0.000092	0.000000	0.002114
PHS	665.946164	0.000000	0.000000
BATT_LI	0.000038	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.001511	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000064	0.000000	0.000000
TS_DEC_HP_ELEC	1.607365	0.000000	0.000000
TS_DEC_THHP_GAS	10.277679	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000064	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000064	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000063	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000064	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000064	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000066	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000063	0.000000	0.000000
TS_DHN_DAILY	0.000632	0.000000	0.000000
TS_DHN_SEASONAL	330.749959	0.000000	0.000000
TS_HIGH_TEMP	0.338334	0.000000	0.000000
GAS_STORAGE	0.091137	0.000000	0.000000
H2_STORAGE	0.769811	0.000000	0.000000
DIESEL_STORAGE	0.005292	0.000000	0.000000
GASOLINE_STORAGE	0.005573	0.000000	0.000000
LFO_STORAGE	0.005004	0.000000	0.000000
AMMONIA_STORAGE	0.034513	0.000000	0.000000
METHANOL_STORAGE	0.037563	0.000000	0.000000
CO2_STORAGE	0.000924	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000029	0.000000	0.000078
AMMONIA_TO_H2	0.000005	0.000000	0.000000
ATM_CCS	0.000001	0.000000	0.000002
BIO_HYDROLYSIS	15.664732	0.000000	10141.709247
BIOMETHANATION	0.000046	0.000000	0.001700
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000206
GRID	26.326476	0.000000	0.000000
H2_BIOMASS	0.000002	0.000000	0.000002
H2_ELECTROLYSIS	0.000002	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000044
REDIFUEL	0.000002	0.000000	0.000142
SMR	0.000000	0.000000	2913.856654
SYN_METHANATION	0.000002	0.000000	0.000000
AMMONIA	0.000000	-0.002748	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.254280	0.000000
BIODIESEL	0.000000	-0.000074	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-0.000034	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.002469	0.000000
DIESEL	0.000000	0.000044	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	5002.390147	0.000000
GAS	0.000000	9314.677042	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	-0.000000	0.000000
GASOLINE	0.000000	0.000035	0.000000
H2	0.000000	0.000010	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000003	0.000000
LFO	0.000000	0.000170	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	6586.545650	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-0.000015	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
