Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000016	0.000000	-0.000420
CCGT_AMMONIA	0.000003	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	14040.497635	0.000000	0.000000
WIND_ONSHORE	3393.021409	0.000000	94.624046
WIND_OFFSHORE	1109.373944	0.000000	133.873692
HYDRO_RIVER	38.381240	0.000000	-7.563894
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	603.686902	0.000000	971.253706
IND_COGEN_WOOD	0.000008	0.000000	0.000002
IND_COGEN_WASTE	0.000003	0.000000	0.000001
IND_BOILER_GAS	33.087875	0.000000	0.000000
IND_BOILER_WOOD	0.000028	0.000000	0.000000
IND_BOILER_OIL	0.000005	0.000000	0.000000
IND_BOILER_COAL	0.000090	0.000000	0.000003
IND_BOILER_WASTE	194.731034	0.000000	125.083048
IND_DIRECT_ELEC	3.884780	0.000000	0.000000
DHN_HP_ELEC	196.162166	0.000000	12.667910
DHN_COGEN_GAS	9.734374	0.000000	15.770842
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000003	0.000000	0.000001
DHN_COGEN_WET_BIOMASS	0.000087	0.000000	0.000019
DHN_COGEN_BIO_HYDROLYSIS	0.000002	0.000000	0.000019
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000005	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000040	0.000000	0.000000
DEC_HP_ELEC	650.843555	0.000000	27.950059
DEC_THHP_GAS	0.000107	0.000000	0.000000
DEC_COGEN_GAS	0.000011	0.000000	0.000004
DEC_COGEN_OIL	0.000008	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000021	0.000000	0.000015
DEC_ADVCOGEN_H2	89.684347	0.000000	85.798051
DEC_BOILER_GAS	0.000009	0.000000	0.000000
DEC_BOILER_WOOD	0.000066	0.000000	0.000000
DEC_BOILER_OIL	0.000007	0.000000	0.000000
DEC_SOLAR	0.001934	0.000000	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TRAMWAY_TROLLEY	83.217809	0.000000	0.000000
BUS_COACH_DIESEL	0.000002	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000003	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000012	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	2005.317154	0.000000	1.432293
BUS_COACH_ELECTRIC	0.000036	0.000000	0.000000
TRAIN_PUB	435.789716	0.000000	0.000000
CAR_GASOLINE	3225.876880	0.000000	667.941279
CAR_DIESEL	0.000001	0.000000	0.000000
CAR_NG	0.000002	0.000000	0.000000
CAR_METHANOL	0.000001	0.000000	0.000000
CAR_HEV	0.000001	0.000000	0.000000
CAR_PHEV	0.000703	0.000000	0.000065
CAR_BEV	36993.097975	0.000000	4546.464593
CAR_FUEL_CELL	0.000006	0.000000	0.000001
TRAIN_FREIGHT	257.701506	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	217.836636	0.000000	4.921668
TRUCK_DIESEL	4484.326687	0.000000	0.288343
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	6587.166753	0.000000	0.317716
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.003227	0.000000	0.000068
SYN_METHANOLATION	0.000066	0.000000	0.000005
METHANE_TO_METHANOL	0.000002	0.000000	0.000001
BIOMASS_TO_METHANOL	0.000052	0.000000	0.000019
OIL_TO_HVC	0.000128	0.000000	0.000000
GAS_TO_HVC	0.000201	0.000000	0.000000
METHANOL_TO_HVC	7084.454082	0.000000	0.000000
ADLIBIO_TO_HVC	0.000112	0.000000	0.000046
PHS	6302.670791	0.000000	0.000000
BATT_LI	32.661940	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000771	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000081	0.000000	0.000000
TS_DEC_HP_ELEC	455.687819	0.000000	0.000000
TS_DEC_THHP_GAS	0.000083	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000081	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000081	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000082	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	2.550616	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000081	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000080	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000081	0.000000	0.000000
TS_DHN_DAILY	0.000453	0.000000	0.000000
TS_DHN_SEASONAL	5870.354336	0.000000	0.000000
TS_HIGH_TEMP	312.685507	0.000000	0.000000
GAS_STORAGE	0.015863	0.000000	0.000000
H2_STORAGE	5.831448	0.000000	0.000000
DIESEL_STORAGE	0.002967	0.000000	0.000000
GASOLINE_STORAGE	13.307885	0.000000	0.000000
LFO_STORAGE	0.002561	0.000000	0.000000
AMMONIA_STORAGE	0.003757	0.000000	0.000000
METHANOL_STORAGE	0.038093	0.000000	0.000000
CO2_STORAGE	0.000161	0.000000	0.000000
ADLIBIO_TO_FUEL	1176.367332	0.000000	531.961921
AMMONIA_TO_H2	0.000016	0.000000	0.000000
ATM_CCS	0.000005	0.000000	0.000005
BIO_HYDROLYSIS	1935.312835	0.000000	12288.797430
BIOMETHANATION	0.000443	0.000000	0.000142
DHN	0.000000	0.000000	0.000000
