Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	85.905590	0.000000	69.069008
CCGT	0.000008	0.000000	0.000659
CCGT_AMMONIA	0.000000	0.000000	0.000002
COAL_US	0.000013	0.000000	0.004790
COAL_IGCC	0.000009	0.000000	0.002423
PV	0.000013	0.000000	0.000000
WIND_ONSHORE	167.767400	0.000000	2.332171
WIND_OFFSHORE	0.000050	0.000000	0.000005
HYDRO_RIVER	0.000162	0.000000	0.000001
GEOTHERMAL	0.000416	0.000000	0.000000
IND_COGEN_GAS	18.118158	0.000000	2567.711350
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	19.147403	0.000000	5801.567195
IND_BOILER_GAS	3.083668	0.000000	5465.960692
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	2.110484	0.000000	4229.630569
IND_BOILER_COAL	18.671403	0.000000	9164.131388
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.102910	0.000000	0.846242
DHN_COGEN_GAS	1.063024	0.000000	283.789408
DHN_COGEN_WOOD	0.095585	0.000000	51.691376
DHN_COGEN_WASTE	0.771441	0.000000	233.743394
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.039285	0.000000	33.959598
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.001979	0.000000	2.368865
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000004	0.000000	0.000000
DEC_HP_ELEC	2.929667	0.000000	24.578120
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	8.714959	0.000000	351.364759
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	40.399494	0.000000	10406.988540
DEC_BOILER_WOOD	57.763318	0.000000	5587.536072
DEC_BOILER_OIL	47.775865	0.000000	17577.962096
DEC_SOLAR	53.014795	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	17.591572	0.000000	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000014
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	37.899500	0.000000	405.371911
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000001	0.000000	0.000012
TRAIN_PUB	19.113862	0.000000	2.753409
CAR_GASOLINE	2410.840248	0.000000	4273.427173
CAR_DIESEL	1431.352530	0.000000	3686.757281
CAR_NG	6.107511	0.000000	12.244283
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	99.571717	0.000000	191.296332
CAR_PHEV	0.001628	0.000000	0.000000
CAR_BEV	19.494622	0.000000	2.603956
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	32.381617	0.000000	39.375633
BOAT_FREIGHT_DIESEL	9.229010	0.000000	287.505707
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	12.233804	0.000000	423.761286
TRUCK_DIESEL	589.529958	0.000000	4882.475546
TRUCK_METHANOL	0.000000	0.000000	0.000025
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	335.384834	0.000000	13.693022
SYN_METHANOLATION	0.000017	0.000000	0.000010
METHANE_TO_METHANOL	0.000002	0.000000	0.000006
BIOMASS_TO_METHANOL	0.000030	0.000000	0.000937
OIL_TO_HVC	0.000145	0.000000	0.000380
GAS_TO_HVC	0.000088	0.000000	0.000345
METHANOL_TO_HVC	365.413943	0.000000	0.000000
ADLIBIO_TO_HVC	0.000055	0.000000	0.000222
PHS	982.703133	0.000000	0.000000
BATT_LI	0.000134	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.001202	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000109	0.000000	0.000000
TS_DEC_HP_ELEC	0.306295	0.000000	0.000000
TS_DEC_THHP_GAS	0.000109	0.000000	0.000000
TS_DEC_COGEN_GAS	0.441930	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000109	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000109	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000109	0.000000	0.000000
TS_DEC_BOILER_GAS	3.277361	0.000000	0.000000
TS_DEC_BOILER_WOOD	2.087560	0.000000	0.000000
TS_DEC_BOILER_OIL	6.233007	0.000000	0.000000
TS_DHN_DAILY	0.000613	0.000000	0.000000
TS_DHN_SEASONAL	100.436930	0.000000	0.000000
TS_HIGH_TEMP	0.000092	0.000000	0.000000
GAS_STORAGE	4103.630939	0.000000	0.000000
H2_STORAGE	0.003352	0.000000	0.000000
DIESEL_STORAGE	0.005531	0.000000	0.000000
GASOLINE_STORAGE	0.201261	0.000000	0.000000
LFO_STORAGE	0.004753	0.000000	0.000000
AMMONIA_STORAGE	3641.464930	0.000000	0.000000
METHANOL_STORAGE	533.218738	0.000000	0.000000
CO2_STORAGE	0.001139	0.000000	0.000000
ADLIBIO_TO_FUEL	44.879994	0.000000	164.563346
AMMONIA_TO_H2	0.000013	0.000000	0.000000
ATM_CCS	0.000002	0.000000	0.000097
BIO_HYDROLYSIS	0.000017	0.000000	0.009946
BIOMETHANATION	188.918440	0.000000	9819.677075
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000002	0.000000	0.000524
GRID	28.097861	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
H2_ELECTROLYSIS	43.482435	0.000000	2.501776
INDUSTRY_CCS	0.000000	0.000000	0.000338
REDIFUEL	0.000006	0.000000	0.000446
SMR	0.000000	0.000000	0.004144
SYN_METHANATION	0.000002	0.000000	0.000000
AMMONIA	0.000000	-0.013305	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000229	0.000000
BIODIESEL	0.000000	-0.000159	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-0.000072	0.000000
