Name	C_inv	C_maint	C_op
NUCLEAR	893.029594	747.018659	0.000000
CCGT	19.970499	10.479729	0.000000
CCGT_AMMONIA	0.000011	0.000006	0.000000
COAL_US	0.000022	0.000007	0.000000
COAL_IGCC	0.000022	0.000009	0.000000
PV	324.073407	76.682259	0.000000
WIND_ONSHORE	223.360649	62.389736	0.000000
WIND_OFFSHORE	0.000031	0.000005	0.000000
HYDRO_RIVER	19.224625	5.750707	0.000000
GEOTHERMAL	0.000008	0.000003	0.000000
IND_COGEN_GAS	64.677280	86.139308	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	68.666075	52.449404	0.000000
IND_BOILER_GAS	27.994822	8.361284	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	14.821922	4.752379	0.000000
IND_BOILER_COAL	27.736572	8.269454	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	17.501916	12.296420	0.000000
DHN_COGEN_GAS	201.003619	121.767622	0.000000
DHN_COGEN_WOOD	64.818266	49.170963	0.000000
DHN_COGEN_WASTE	147.718038	112.831891	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	7.987448	2.385631	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	1.041286	0.333869	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	11.147325	7.284319	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	17.308266	19.101059	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	153.271803	68.562078	0.000000
DEC_BOILER_WOOD	104.366605	54.441103	0.000000
DEC_BOILER_OIL	181.795884	162.554243	0.000000
DEC_SOLAR	14.735360	2.806932	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	228.391190	109.700117	0.000000
BUS_COACH_DIESEL	0.000001	0.000001	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	10.406184	7.251990	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	492.757312	532.016537	0.000000
CAR_GASOLINE	2264.209582	1260.832282	0.000000
CAR_DIESEL	2943.328378	1585.547789	0.000000
CAR_NG	10.865601	5.850508	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	89.634967	66.308279	0.000000
CAR_PHEV	0.000716	0.000474	0.000000
CAR_BEV	72.997702	10.970216	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	20.124000	12.040020	0.000000
BOAT_FREIGHT_DIESEL	334.785700	138.737415	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	28.567552	45.185258	0.000000
TRUCK_DIESEL	931.908925	657.413332	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	78.697919	54.843798	0.000000
HABER_BOSCH	63.316234	21.253447	0.000000
SYN_METHANOLATION	0.000005	0.000003	0.000000
METHANE_TO_METHANOL	24.907414	22.565818	0.000000
BIOMASS_TO_METHANOL	0.000008	0.000004	0.000000
OIL_TO_HVC	19.208117	1.753249	0.000000
GAS_TO_HVC	241.910126	103.831700	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	0.000000
PHS	8.400076	0.000000	0.000000
BATT_LI	0.000120	0.000002	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000053	0.000006	0.000000
TS_DEC_HP_ELEC	0.514786	0.061873	0.000000
TS_DEC_THHP_GAS	0.000053	0.000006	0.000000
TS_DEC_COGEN_GAS	0.574497	0.069050	0.000000
TS_DEC_COGEN_OIL	0.000053	0.000006	0.000000
TS_DEC_ADVCOGEN_GAS	0.000053	0.000006	0.000000
TS_DEC_ADVCOGEN_H2	0.000053	0.000006	0.000000
TS_DEC_BOILER_GAS	7.712494	0.926980	0.000000
TS_DEC_BOILER_WOOD	3.906792	0.469565	0.000000
TS_DEC_BOILER_OIL	1.867438	0.224451	0.000000
TS_DHN_DAILY	1.924019	0.165001	0.000000
TS_DHN_SEASONAL	3.878688	0.438904	0.000000
TS_HIGH_TEMP	0.000314	0.000070	0.000000
GAS_STORAGE	0.000016	0.000014	0.000000
H2_STORAGE	0.944635	1.021819	0.000000
DIESEL_STORAGE	0.000222	0.000151	0.000000
GASOLINE_STORAGE	0.000216	0.000147	0.000000
LFO_STORAGE	0.000263	0.000179	0.000000
AMMONIA_STORAGE	0.000001	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.001350	0.000324	0.000000
ADLIBIO_TO_FUEL	0.000000	0.000000	0.000000
AMMONIA_TO_H2	0.000004	0.000009	0.000000
ATM_CCS	0.000024	0.000018	0.000000
BIO_HYDROLYSIS	0.000009	0.000008	0.000000
BIOMETHANATION	0.000010	0.000003	0.000000
DHN	171.001771	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000003	0.000005	0.000000
GRID	1651.608884	0.000000	0.000000
H2_BIOMASS	0.000001	0.000001	0.000000
H2_ELECTROLYSIS	0.000032	0.000012	0.000000
INDUSTRY_CCS	0.000020	0.000015	0.000000
REDIFUEL	0.000011	0.000005	0.000000
SMR	54.461621	104.131456	0.000000
SYN_METHANATION	0.000005	0.000042	0.000000
AMMONIA	0.000000	0.000000	28.286785
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000001
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000001
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	338.018686
DIESEL	0.000000	0.000000	1871.349729
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	22.014363
