TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	21316.680449	452.800081	60.000000	0.000000	4.399065	Infinity	0.000000	0.320982	1.000000	0.849000	0.849000	0.025393	3114.010016
CCGT	1091.417128	27.642052	25.000000	0.000000	1.321392	Infinity	0.000000	0.019990	1.000000	0.176025	0.961540	0.048263	242.858678
CCGT_AMMONIA	0.000445	0.000011	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000087	0.630000	0.048263	0.000099
COAL_US	0.000844	0.000010	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000545	0.868000	0.036934	0.000108
COAL_IGCC	0.000811	0.000012	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000544	0.856000	0.036934	0.000080
PV	67146.750002	766.822591	25.000000	55.000000	55.000000	59.200000	0.000000	0.561117	1.000000	0.118708	1.000000	0.048263	114478.650003
WIND_ONSHORE	7076.211557	82.301840	30.000000	0.000000	6.196549	10.000000	0.000000	0.097911	1.000000	0.183852	1.000000	0.041639	3859.520796
WIND_OFFSHORE	0.000889	0.000006	30.000000	0.000000	0.000000	6.000000	0.000000	0.000000	1.000000	0.003166	1.000000	0.041639	0.000103
HYDRO_RIVER	0.002560	0.000026	40.000000	0.000000	0.000001	0.115000	0.000000	0.000000	1.000000	0.007407	1.000000	0.033427	0.000641
GEOTHERMAL	0.000151	0.000003	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002541	0.950000	0.041639	0.000429
IND_COGEN_GAS	1313.348959	84.420548	25.000000	0.000000	0.859465	Infinity	0.086000	0.086000	1.000000	0.679040	0.850000	0.048263	880.367519
IND_COGEN_WOOD	0.000002	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	1491.871712	54.998167	25.000000	0.000000	0.468713	Infinity	0.056000	0.056000	1.000000	0.810785	0.850000	0.048263	303.641741
IND_BOILER_GAS	439.984185	8.815018	17.000000	0.000000	6.225898	Infinity	0.358000	0.358000	1.000000	0.390217	0.950000	0.067080	76.703059
IND_BOILER_WOOD	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_OIL	220.416455	4.740688	17.000000	0.000000	3.348268	Infinity	0.200000	0.200000	1.000000	0.405354	0.950000	0.067080	41.250657
IND_BOILER_COAL	406.881176	8.137340	17.000000	0.000000	2.943721	Infinity	0.300000	0.300000	1.000000	0.691591	0.900000	0.067080	141.828499
IND_BOILER_WASTE	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.950000	0.074944	0.000000
DHN_HP_ELEC	276.121552	9.362930	25.000000	0.000000	0.697752	Infinity	0.044000	0.053000	1.000000	0.287380	0.950000	0.048263	121.960140
DHN_COGEN_GAS	4849.170713	141.779623	25.000000	0.000000	3.561743	Infinity	0.594000	0.594000	1.000000	0.630965	0.850000	0.048263	1748.388436
DHN_COGEN_WOOD	1053.196022	38.560168	25.000000	0.000000	0.897904	Infinity	0.066000	0.066000	1.000000	0.278097	0.850000	0.048263	148.450401
DHN_COGEN_WASTE	3156.787941	116.375656	25.000000	0.000000	0.991793	Infinity	0.141000	0.141000	1.000000	0.537873	0.850000	0.048263	642.503358
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.750000	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.850000	0.074944	0.000000
DHN_BOILER_GAS	153.092212	3.067180	17.000000	0.000000	2.166297	Infinity	0.139000	0.139000	1.000000	0.242761	0.950000	0.067080	26.688780
DHN_BOILER_WOOD	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.900000	0.067080	0.000000
DHN_BOILER_OIL	7.099570	0.152697	17.000000	0.000000	0.107847	Infinity	0.007000	0.007000	1.000000	0.245568	0.950000	0.067080	1.328675
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000003	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000073	1.000000	0.041639	0.000002
DEC_HP_ELEC	157.825502	6.580449	18.000000	0.000000	0.279446	Infinity	0.011000	0.011000	1.000000	0.433867	1.000000	0.063806	46.077848
DEC_THHP_GAS	0.000001	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000001
DEC_COGEN_GAS	267.581654	17.199838	20.000000	0.000000	0.175107	Infinity	0.007000	0.007000	1.000000	0.440611	1.000000	0.058246	179.366036
DEC_COGEN_OIL	0.000001	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000001
DEC_ADVCOGEN_GAS	0.000002	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
DEC_BOILER_GAS	2035.324090	61.072558	17.000000	0.000000	10.698718	Infinity	0.396000	0.396000	1.000000	0.407967	1.000000	0.067080	225.635960
DEC_BOILER_WOOD	1393.063128	48.744654	17.000000	0.000000	2.510340	Infinity	0.100000	0.100000	1.000000	0.439065	1.000000	0.067080	52.943076
DEC_BOILER_OIL	2420.679547	145.191903	17.000000	0.000000	14.167620	Infinity	0.484000	0.484000	1.000000	0.376539	1.000000	0.067080	298.795105
DEC_SOLAR	253.798358	2.815944	20.000000	0.000000	0.335021	Infinity	0.002000	0.002000	1.000000	0.065799	1.000000	0.058246	74.113302
DEC_DIRECT_ELEC	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	1.000000	0.074944	0.000000
TRAMWAY_TROLLEY	5485.005636	109.700113	30.000000	0.000000	8.776009	Infinity	0.050000	0.480000	1.000000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000015	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000007	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	138.852132	7.251990	15.000000	0.000000	1.898703	Infinity	0.090000	0.090000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000010	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001044	0.296800	0.074944	0.000000
TRAIN_PUB	14741.250681	532.016509	40.000000	0.000000	9.788217	Infinity	0.430000	0.430000	1.000000	0.275070	0.275070	0.033427	0.000000
