Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	21.684032	0.000000	3697.575230
CCGT	2.878215	0.000000	1.952778
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000001	0.000000	0.000020
COAL_IGCC	0.000001	0.000000	0.000018
PV	1802.337588	0.000000	0.000000
WIND_ONSHORE	58.364346	0.000000	0.794393
WIND_OFFSHORE	0.000003	0.000000	0.000000
HYDRO_RIVER	0.000005	0.000000	0.000000
GEOTHERMAL	0.000005	0.000000	0.000000
IND_COGEN_GAS	4.773183	0.000000	2.019253
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	4.910267	0.000000	309.579098
IND_BOILER_GAS	1.102615	0.000000	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.592983	0.000000	0.000000
IND_BOILER_COAL	5.617726	0.000000	5.326447
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.890032	0.000000	0.094327
DHN_COGEN_GAS	9.697597	0.000000	7.775620
DHN_COGEN_WOOD	2.248284	0.000000	38.109532
DHN_COGEN_WASTE	10.390083	0.000000	434.569404
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.383654	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.019100	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	0.495073	0.000000	0.075939
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	1.863710	0.000000	0.266948
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	13.643189	0.000000	0.000000
DEC_BOILER_WOOD	10.592925	0.000000	142.035717
DEC_BOILER_OIL	18.066793	0.000000	0.000000
DEC_SOLAR	19.093430	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	6.011475	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	32.122696	0.000000	0.088365
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	13.588076	0.000000	0.000000
CAR_GASOLINE	510.476786	0.000000	76.707729
CAR_DIESEL	651.796127	0.000000	97.961756
CAR_NG	2.439893	0.000000	0.355657
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	22.803607	0.000000	2.847619
CAR_PHEV	0.000299	0.000000	0.000000
CAR_BEV	29.585843	0.000000	1.787956
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	8.975065	0.000000	0.000000
BOAT_FREIGHT_DIESEL	3.408397	0.000000	0.057923
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	4.518108	0.000000	0.076782
TRUCK_DIESEL	227.040300	0.000000	0.085347
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	18.736636	0.000000	0.007120
HABER_BOSCH	97.533164	0.000000	4361.057388
SYN_METHANOLATION	0.000002	0.000000	0.000014
METHANE_TO_METHANOL	0.557182	0.000000	36.291823
BIOMASS_TO_METHANOL	0.000001	0.000000	0.000001
OIL_TO_HVC	30.047774	0.000000	0.000000
GAS_TO_HVC	158.177203	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	0.000000
PHS	182.545573	0.000000	0.000000
BATT_LI	0.000428	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.001333	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000018	0.000000	0.000000
TS_DEC_HP_ELEC	0.217084	0.000000	0.000000
TS_DEC_THHP_GAS	0.000018	0.000000	0.000000
