Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000127	0.000000	0.019064
CCGT_AMMONIA	0.000049	0.000000	0.000008
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1160.664160	0.000000	0.000000
WIND_ONSHORE	153.098083	0.000000	2.310342
WIND_OFFSHORE	130.784832	0.000000	3.272641
HYDRO_RIVER	3.374215	0.000000	0.010414
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	74.744724	0.000000	14629.388637
IND_COGEN_WOOD	0.000044	0.000000	0.006922
IND_COGEN_WASTE	0.000050	0.000000	0.001652
IND_BOILER_GAS	6.813261	0.000000	3259.194761
IND_BOILER_WOOD	0.000162	0.000000	0.005555
IND_BOILER_OIL	0.000045	0.000000	0.003374
IND_BOILER_COAL	0.000203	0.000000	0.004491
IND_BOILER_WASTE	9.786694	0.000000	3453.825610
IND_DIRECT_ELEC	0.000004	0.000000	0.000000
DHN_HP_ELEC	31.249417	0.000000	446.672023
DHN_COGEN_GAS	14.142155	0.000000	5189.633674
DHN_COGEN_WOOD	0.000018	0.000000	0.002949
DHN_COGEN_WASTE	0.000045	0.000000	0.001536
DHN_COGEN_WET_BIOMASS	0.000468	0.000000	0.017001
DHN_COGEN_BIO_HYDROLYSIS	0.000016	0.000000	0.003121
DHN_BOILER_GAS	0.000011	0.000000	0.003015
DHN_BOILER_WOOD	0.000053	0.000000	0.002612
DHN_BOILER_OIL	0.000009	0.000000	0.001620
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000393	0.000000	0.000000
DEC_HP_ELEC	138.004349	0.000000	1335.426165
DEC_THHP_GAS	3.748407	0.000000	111.895596
DEC_COGEN_GAS	0.000230	0.000000	0.008666
DEC_COGEN_OIL	0.000160	0.000000	0.004366
DEC_ADVCOGEN_GAS	0.000130	0.000000	0.005067
DEC_ADVCOGEN_H2	0.000101	0.000000	0.000014
DEC_BOILER_GAS	0.000099	0.000000	0.003095
DEC_BOILER_WOOD	0.000234	0.000000	0.004162
DEC_BOILER_OIL	0.000083	0.000000	0.002451
DEC_SOLAR	0.004136	0.000000	0.000000
DEC_DIRECT_ELEC	0.000017	0.000000	0.000000
TRAMWAY_TROLLEY	8.725740	0.000000	0.000000
BUS_COACH_DIESEL	0.000020	0.000000	0.000190
BUS_COACH_HYDIESEL	0.000016	0.000000	0.000132
BUS_COACH_CNG_STOICH	77.012136	0.000000	1153.302600
BUS_COACH_FC_HYBRIDH2	0.000021	0.000000	0.000008
BUS_COACH_ELECTRIC	0.000099	0.000000	0.000038
TRAIN_PUB	22.888798	0.000000	4.412859
CAR_GASOLINE	767.131549	0.000000	2781.441988
CAR_DIESEL	0.000020	0.000000	0.000078
CAR_NG	0.000036	0.000000	0.000096
CAR_METHANOL	0.000030	0.000000	0.000114
