TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.005259	0.000133	25.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.018292	0.961540	0.048263	0.001252
CCGT_AMMONIA	0.000047	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000753	0.630000	0.048263	0.000011
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	45524.688193	519.895438	25.000000	0.000000	52.327228	59.200000	0.000000	0.574403	1.000000	0.114712	1.000000	0.048263	108915.461777
WIND_ONSHORE	10399.999623	120.959996	30.000000	0.000000	10.000000	10.000000	0.000000	0.212850	1.000000	0.222430	1.000000	0.041639	6228.499774
WIND_OFFSHORE	29847.779300	207.665995	30.000000	0.000000	6.000000	6.000000	0.000000	0.207676	1.000000	0.361705	1.000000	0.041639	3737.099912
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005070	1.000000	0.460731	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	6021.424296	387.051546	25.000000	0.000000	4.276489	Infinity	0.000000	0.475187	1.000000	0.832821	0.850000	0.048263	4380.492841
IND_COGEN_WOOD	0.000425	0.000016	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002047	0.850000	0.048263	0.000065
IND_COGEN_WASTE	0.000326	0.000012	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000286	0.850000	0.048263	0.000072
IND_BOILER_GAS	569.874508	11.417674	17.000000	0.000000	9.676932	Infinity	0.000000	0.236512	1.000000	0.183185	0.950000	0.067080	119.219799
IND_BOILER_WOOD	0.000531	0.000011	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.002138	0.900000	0.067080	0.000133
IND_BOILER_OIL	0.000840	0.000018	17.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.004334	0.950000	0.067080	0.000189
IND_BOILER_COAL	0.000737	0.000015	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.003806	0.900000	0.067080	0.000308
IND_BOILER_WASTE	359.645825	7.192874	17.000000	0.000000	3.122468	Infinity	0.000000	0.222305	1.000000	0.533614	0.900000	0.067080	90.145641
IND_DIRECT_ELEC	1153.268650	5.231704	15.000000	0.000000	3.470147	Infinity	0.000000	0.065996	1.000000	0.142542	0.950000	0.074944	5.101116
DHN_HP_ELEC	2239.218060	75.930086	25.000000	0.000000	6.495005	Infinity	0.000000	0.764840	1.000000	0.629421	0.950000	0.048263	1135.261993
DHN_COGEN_GAS	2198.423722	64.277223	25.000000	0.000000	1.752444	Infinity	0.000000	0.235159	1.000000	0.717246	0.850000	0.048263	860.239808
DHN_COGEN_WOOD	0.000013	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000814	0.850000	0.048263	0.000002
DHN_COGEN_WASTE	0.000261	0.000010	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000284	0.850000	0.048263	0.000058
DHN_COGEN_WET_BIOMASS	0.000350	0.000029	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001006	0.750000	0.048263	0.000261
DHN_COGEN_BIO_HYDROLYSIS	0.000170	0.000008	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000099	0.850000	0.074944	0.000024
DHN_BOILER_GAS	0.000189	0.000004	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.002895	0.950000	0.067080	0.000040
DHN_BOILER_WOOD	0.000094	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001207	0.900000	0.067080	0.000024
DHN_BOILER_OIL	0.000120	0.000003	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001092	0.950000	0.067080	0.000027
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000295	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000651	1.000000	0.041639	0.000181
DEC_HP_ELEC	9590.230194	399.862038	18.000000	0.000000	19.490753	Infinity	0.000000	0.999997	1.000000	0.449688	1.000000	0.063806	3213.830291
DEC_THHP_GAS	0.018554	0.000542	20.000000	0.000000	0.000059	Infinity	0.000000	0.000003	1.000000	0.263574	1.000000	0.058246	0.022447
DEC_COGEN_GAS	0.001226	0.000079	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003617	1.000000	0.058246	0.000892
DEC_COGEN_OIL	0.001949	0.000120	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005723	1.000000	0.058246	0.001529
DEC_ADVCOGEN_GAS	0.001970	0.000037	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001103	1.000000	0.058246	0.000597
DEC_ADVCOGEN_H2	0.000975	0.000018	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000965	1.000000	0.058246	0.000295
DEC_BOILER_GAS	0.001428	0.000043	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.003477	1.000000	0.067080	0.000190
DEC_BOILER_WOOD	0.000453	0.000016	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001919	1.000000	0.067080	0.000021
DEC_BOILER_OIL	0.000933	0.000056	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.002236	1.000000	0.067080	0.000138
DEC_SOLAR	0.001935	0.000021	20.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001892	1.000000	0.058246	0.000595
DEC_DIRECT_ELEC	0.001678	0.000007	15.000000	0.000000	0.000042	Infinity	0.000000	0.000000	1.000000	0.004029	1.000000	0.074944	0.000062
TRAMWAY_TROLLEY	4725.033594	94.500672	30.000000	0.000000	7.560054	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000588	0.000029	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002658	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000424	0.000017	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001829	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3553.942533	177.697450	15.000000	0.000000	5.815553	Infinity	0.000000	0.199999	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000587	0.000023	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004750	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.007614	0.000333	15.000000	0.000000	0.000011	Infinity	0.000000	0.000000	1.000000	0.034220	0.296800	0.074944	0.000000
TRAIN_PUB	23625.649925	852.657354	40.000000	0.000000	15.687474	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500004	1200.000000	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000085	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000250	0.051370	0.108434	0.000000
CAR_NG	0.000106	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000288	0.051370	0.108434	0.000000
CAR_METHANOL	0.000097	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000227	0.051370	0.108434	0.000000
CAR_HEV	0.000063	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000232	0.051370	0.108434	0.000000
CAR_PHEV	0.033841	0.002521	10.000000	0.000000	0.000074	Infinity	0.000000	0.000000	1.000000	0.022826	0.051370	0.108434	0.000000
CAR_BEV	51193.159158	1180.028102	10.000000	0.000000	118.002810	Infinity	0.000000	0.702386	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000098	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000308	0.051370	0.108434	0.000000
