source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,2.41,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
H2,Haber-Bosch,8.80,H2,#FF00FF,TWh
Elec,Haber-Bosch,0.95,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,1.04,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,7.79,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,62.23,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Methanol,Freight,12.42,Methanol,#CC0066,TWh
Methanol,MTO,51.36,Methanol,#CC0066,TWh
Heat HT,MTO,13.65,Heat HT,#DC143C,TWh
MTO,HVC,41.38,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,14.14,Diesel,#D3D3D3,TWh
Diesel,Freight,14.14,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,92.63,Gas,#FFD700,TWh
Gas Prod,Gas sto.,3.25,GAS,#FFD700,TWh
Gas sto.,Gas,3.18,GAS,#FFD700,TWh
Gas Prod,Gas,10.63,GAS,#FFD700,TWh
Gas,Mob public,14.17,GAS,#FFD700,TWh
Gas,Elec,1.63,GAS,#FFD700,TWh
Gas,CHP,70.40,GAS,#FFD700,TWh
Gas,HPs,13.85,GAS,#FFD700,TWh
Gas,Boilers,6.41,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,39.57,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Coal,Boilers,33.35,Coal,#A0522D,TWh
Solar,Elec,33.12,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,H2 prod,38.06,Wood,#CD853F,TWh
Wood prod.,Wood,57.18,Wood,#CD853F,TWh
Wood be.,Wood,23.40,Wood,#CD853F,TWh
Wood,Adlibio to fuel,18.69,Wood,#CD853F,TWh
H2,Adlibio to fuel,7.66,H2,#FF00FF,TWh
Adlibio to fuel,Gasoline,11.18,GASOLINE,#8080800,TWh
Adlibio to fuel,Heat HT,14.29,HEAT_HIGH_T,#DC143C,TWh
Wood,CHP,23.82,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,13.88,GAS,#FFD700,TWh
Biomethanation,Elec,0.73,Electricity,#00BFFF,TWh
Elec,Mob priv,8.55,Electricity,#00BFFF,TWh
Gasoline,Mob priv,11.18,GASOLINE,#8080800,TWh
Elec,Mob public,1.42,Electricity,#00BFFF,TWh
Elec,Freight,1.45,Electricity,#00BFFF,TWh
Elec,Exp & Loss,6.66,Electricity,#00BFFF,TWh
Elec,Curt.,0.15,Electricity,#00BFFF,TWh
Elec,Elec demand,96.51,Electricity,#00BFFF,TWh
Solar,Curt.,0.18,Solar,#FFFF00,TWh
Wind,Curt.,3.39,Wind,#27AE34,TWh
Elec,Storage,1.03,Electricity,#00BFFF,TWh
Storage,Elec demand,0.77,Electricity,#00BFFF,TWh
Elec,HPs,22.96,Electricity,#00BFFF,TWh
Elec,Heat HT,0.78,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,16.46,H2,#FF00FF,TWh
CHP,Elec,39.49,Electricity,#00BFFF,TWh
CHP,DHN,28.16,Heat LT,#FA8072,TWh
CHP,Heat HT,12.63,Heat HT,#DC143C,TWh
HPs,Dec. sto,13.68,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,62.81,Heat LT,#FA8072,TWh
HPs,DHN,17.58,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,12.64,Heat LT,#FA8072,TWh
Boilers,Heat HT,47.89,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,38.56,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.89,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,5.76,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
