source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,0.57,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,9.81,Ammonia,#000ECD,TWh
H2,Haber-Bosch,10.44,H2,#FF00FF,TWh
Elec,Haber-Bosch,1.13,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,1.24,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,9.24,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,1.48,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.48,Methanol,#CC0066,TWh
Oil,NSC,72.37,Naphtha,#8B008B,TWh
Elec,NSC,0.84,Electricity,#00BFFF,TWh
Heat HT,NSC,0.69,Heat HT,#DC143C,TWh
NSC,HVC,39.80,HVC,#00FFFF,TWh
HVC,Non-energy demand,39.80,HVC,#00FFFF,TWh
Imp. Gasoline,Gasoline,21.06,Gasoline,#808080,TWh
Gasoline,Mob priv,-21.06,Gasoline,#808080,TWh
Imp. Diesel,Diesel,64.28,Diesel,#D3D3D3,TWh
Diesel,Mob priv,32.99,Diesel,#D3D3D3,TWh
Diesel,Mob public,4.05,Diesel,#D3D3D3,TWh
Diesel,Freight,27.25,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,131.93,Gas,#FFD700,TWh
Gas Prod,Gas,1.97,GAS,#FFD700,TWh
Gas,Mob priv,0.41,GAS,#FFD700,TWh
Gas,Mob public,0.87,GAS,#FFD700,TWh
Gas,Freight,1.93,GAS,#FFD700,TWh
Gas,H2 prod,14.24,GAS,#FFD700,TWh
Gas,Elec,18.04,GAS,#FFD700,TWh
Gas,CHP,18.86,GAS,#FFD700,TWh
Gas,Boilers,79.54,GAS,#FFD700,TWh
Electricity,Elec,13.85,Electricity,#00BFFF,TWh
Uranium,Elec,110.17,Nuclear,#FFC0CB,TWh
Wind,Elec,4.87,Wind,#27AE34,TWh
Hydro River,Elec,0.40,Hydro River,#0000FF,TWh
Coal,Elec,5.20,Coal,#A0522D,TWh
Coal,Boilers,23.14,Coal,#A0522D,TWh
Solar,Elec,4.00,Solar,#FFFF00,TWh
Solar,Dec. sto,0.00,Solar,#FFFF00,TWh
Solar,Heat LT Dec,0.26,Solar,#FFFF00,TWh
Geothermal,DHN,0.03,Geothermal,#FF0000,TWh
Waste,CHP,8.94,Waste,#808000,TWh
Imp. Oil,Oil,153.04,Oil,#8B008B,TWh
Oil,Boilers,80.68,Oil,#8B008B,TWh
Wood be.,Wood,19.57,Wood,#CD853F,TWh
Wood,CHP,0.42,Wood,#CD853F,TWh
Wood,Boilers,19.15,Wood,#CD853F,TWh
Wet biomass,Biomethanation,6.61,Wood,#CD853F,TWh
Biomethanation,Gas Prod,1.97,GAS,#FFD700,TWh
Gasoline,Mob priv,21.06,GASOLINE,#8080800,TWh
Elec,Mob public,0.91,Electricity,#00BFFF,TWh
Elec,Freight,0.51,Electricity,#00BFFF,TWh
Elec,Exp & Loss,4.30,Electricity,#00BFFF,TWh
Elec,Curt.,1.32,Electricity,#00BFFF,TWh
Elec,Elec demand,80.92,Electricity,#00BFFF,TWh
Wind,Curt.,0.37,Wind,#27AE34,TWh
Elec,Storage,0.93,Electricity,#00BFFF,TWh
Storage,Elec demand,0.56,Electricity,#00BFFF,TWh
Elec,HPs,0.58,Electricity,#00BFFF,TWh
H2 prod,H2,10.44,H2,#FF00FF,TWh
CHP,Elec,10.46,Electricity,#00BFFF,TWh
CHP,Dec. sto,0.00,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,0.93,Heat LT,#FA8072,TWh
CHP,DHN,2.71,Heat LT,#FA8072,TWh
CHP,Heat HT,8.98,Heat HT,#DC143C,TWh
HPs,Heat LT Dec,1.59,Heat LT,#FA8072,TWh
HPs,DHN,0.15,Heat LT,#FA8072,TWh
Boilers,Dec. sto,0.00,Heat LT,#FA8072,TWh
Boilers,Heat LT Dec,129.40,Heat LT,#FA8072,TWh
Boilers,DHN,0.49,Heat LT,#FA8072,TWh
Boilers,Heat HT,54.27,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,2.80,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.23,Heat LT,#FA8072,TWh
DHN,DHN Sto,1.59,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,1.36,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,62.56,Heat HT,#DC143C,TWh
