TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	27272.553026	579.312255	60.000000	0.000000	5.628162	Infinity	0.000000	0.616145	1.000000	0.849000	0.849000	0.025393	3984.063255
CCGT	0.001261	0.000032	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.005352	0.961540	0.048263	0.000281
CCGT_AMMONIA	0.000478	0.000012	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000368	0.630000	0.048263	0.000106
COAL_US	1090.937440	12.737238	35.000000	0.000000	0.419790	Infinity	0.000000	0.041338	1.000000	0.763673	0.868000	0.036934	139.202336
COAL_IGCC	0.007960	0.000119	35.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.017089	0.856000	0.036934	0.000788
PV	6714.675005	76.682259	25.000000	5.500000	5.500000	5.920000	0.000000	0.084188	1.000000	0.118708	1.000000	0.048263	11447.865009
WIND_ONSHORE	9359.680358	108.860357	30.000000	0.000000	8.196154	10.000000	0.000000	0.251455	1.000000	0.237926	1.000000	0.041639	5104.974702
WIND_OFFSHORE	0.001743	0.000012	30.000000	0.000000	0.000000	6.000000	0.000000	0.000000	1.000000	0.005334	1.000000	0.041639	0.000203
HYDRO_RIVER	575.120898	5.750707	40.000000	0.114000	0.114000	0.116000	0.000000	0.006874	1.000000	0.467604	1.000000	0.033427	143.961485
GEOTHERMAL	0.001407	0.000026	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.004659	0.950000	0.041639	0.004003
IND_COGEN_GAS	1340.065734	86.137871	25.000000	0.000000	0.876949	Infinity	0.086000	0.086000	1.000000	0.672858	0.850000	0.048263	898.276377
IND_COGEN_WOOD	0.000002	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	1438.773982	53.040708	25.000000	0.000000	0.452031	Infinity	0.056000	0.056000	1.000000	0.850000	0.850000	0.048263	292.834721
IND_BOILER_GAS	422.905781	8.472854	17.000000	0.000000	5.984233	Infinity	0.358000	0.358000	1.000000	0.410463	0.950000	0.067080	73.725757
IND_BOILER_WOOD	0.000002	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_OIL	234.008198	5.033017	17.000000	0.000000	3.554735	Infinity	0.200000	0.200000	1.000000	0.386031	0.950000	0.067080	43.794334
IND_BOILER_COAL	394.536529	7.890456	17.000000	0.000000	2.854410	Infinity	0.300000	0.300000	1.000000	0.721114	0.900000	0.067080	137.525466
IND_BOILER_WASTE	0.000002	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	0.000003	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.950000	0.074944	0.000000
DHN_HP_ELEC	33.590929	1.139026	25.000000	0.000000	0.084883	Infinity	0.044000	0.053000	1.000000	0.444978	0.950000	0.048263	14.836779
DHN_COGEN_GAS	828.599806	24.226528	25.000000	0.000000	0.608611	Infinity	0.594000	0.594000	1.000000	0.695556	0.850000	0.048263	298.755066
