Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000373	0.000000	0.072112
CCGT_AMMONIA	0.000002	0.000000	0.000030
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1093.467677	0.000000	0.000000
WIND_ONSHORE	133.608564	0.000000	2.127413
WIND_OFFSHORE	118.263242	0.000000	3.022607
HYDRO_RIVER	3.051276	0.000000	0.009654
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	53.085215	0.000000	11178.400869
IND_COGEN_WOOD	0.000013	0.000000	0.013116
IND_COGEN_WASTE	0.000038	0.000000	0.009142
IND_BOILER_GAS	5.026097	0.000000	3132.789830
IND_BOILER_WOOD	0.000143	0.000000	0.014747
IND_BOILER_OIL	0.000090	0.000000	0.019460
IND_BOILER_COAL	0.000450	0.000000	0.030647
IND_BOILER_WASTE	11.813898	0.000000	4849.524861
IND_DIRECT_ELEC	0.202320	0.000000	0.000000
DHN_HP_ELEC	29.902270	0.000000	437.856638
DHN_COGEN_GAS	13.320154	0.000000	5459.901364
DHN_COGEN_WOOD	0.000000	0.000000	0.009257
DHN_COGEN_WASTE	0.000031	0.000000	0.005715
DHN_COGEN_WET_BIOMASS	0.000550	0.000000	0.037422
DHN_COGEN_BIO_HYDROLYSIS	0.000003	0.000000	0.003985
DHN_BOILER_GAS	0.000018	0.000000	0.003622
DHN_BOILER_WOOD	0.000032	0.000000	0.008263
DHN_BOILER_OIL	0.000007	0.000000	0.006207
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000567	0.000000	0.000000
DEC_HP_ELEC	132.964186	0.000000	1351.956968
DEC_THHP_GAS	0.013796	0.000000	0.463666
DEC_COGEN_GAS	0.000312	0.000000	0.018978
DEC_COGEN_OIL	0.000617	0.000000	0.053336
DEC_ADVCOGEN_GAS	0.000213	0.000000	0.014156
DEC_ADVCOGEN_H2	0.000020	0.000000	0.000025
DEC_BOILER_GAS	0.000261	0.000000	0.011613
DEC_BOILER_WOOD	0.000143	0.000000	0.014018
DEC_BOILER_OIL	0.000171	0.000000	0.010940
DEC_SOLAR	0.004621	0.000000	0.000000
DEC_DIRECT_ELEC	0.000052	0.000000	0.000000
TRAMWAY_TROLLEY	6.777597	0.000000	0.000000
BUS_COACH_DIESEL	0.000036	0.000000	0.000855
BUS_COACH_HYDIESEL	0.000080	0.000000	0.001159
BUS_COACH_CNG_STOICH	70.531344	0.000000	1113.852978
BUS_COACH_FC_HYBRIDH2	0.000034	0.000000	0.000128
BUS_COACH_ELECTRIC	0.000056	0.000000	0.000137
TRAIN_PUB	20.546133	0.000000	4.412879
CAR_GASOLINE	807.192497	0.000000	3184.408869
CAR_DIESEL	0.000042	0.000000	0.000420
CAR_NG	0.000061	0.000000	0.000395
CAR_METHANOL	0.000060	0.000000	0.000534
CAR_HEV	0.000041	0.000000	0.000346
CAR_PHEV	0.025276	0.000000	0.013658
CAR_BEV	2866.894334	0.000000	455.301636
CAR_FUEL_CELL	0.000084	0.000000	0.000039
TRAIN_FREIGHT	28.944180	0.000000	48.205819
BOAT_FREIGHT_DIESEL	0.000005	0.000000	0.000188
BOAT_FREIGHT_NG	0.000006	0.000000	0.000512
BOAT_FREIGHT_METHANOL	19.784975	0.000000	857.364442
TRUCK_DIESEL	337.456043	0.000000	3930.808445
TRUCK_METHANOL	0.000143	0.000000	0.002150
TRUCK_FUEL_CELL	0.000370	0.000000	0.000020
TRUCK_ELEC	188.026463	0.000000	3.600500
TRUCK_NG	0.000013	0.000000	0.000432
HABER_BOSCH	0.008389	0.000000	0.000217
SYN_METHANOLATION	0.000060	0.000000	0.000044
METHANE_TO_METHANOL	0.000040	0.000000	0.000177
BIOMASS_TO_METHANOL	0.000270	0.000000	0.004742
OIL_TO_HVC	0.000490	0.000000	0.006791
GAS_TO_HVC	0.000845	0.000000	0.006427
METHANOL_TO_HVC	199.453029	0.000000	0.000000
ADLIBIO_TO_HVC	0.001022	0.000000	0.003743
PHS	546.191452	0.000000	0.000000
BATT_LI	0.002181	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.020732	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.001054	0.000000	0.000000
TS_DEC_HP_ELEC	17.224603	0.000000	0.000000
TS_DEC_THHP_GAS	0.001136	0.000000	0.000000
TS_DEC_COGEN_GAS	0.001062	0.000000	0.000000
TS_DEC_COGEN_OIL	0.001038	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.001051	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.001048	0.000000	0.000000
TS_DEC_BOILER_GAS	0.001067	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000968	0.000000	0.000000
TS_DEC_BOILER_OIL	0.001061	0.000000	0.000000
TS_DHN_DAILY	0.003730	0.000000	0.000000
TS_DHN_SEASONAL	165.394790	0.000000	0.000000
TS_HIGH_TEMP	9.485310	0.000000	0.000000
GAS_STORAGE	267.126086	0.000000	0.000000
H2_STORAGE	2.191951	0.000000	0.000000
DIESEL_STORAGE	0.044719	0.000000	0.000000
GASOLINE_STORAGE	0.618125	0.000000	0.000000
LFO_STORAGE	0.042963	0.000000	0.000000
AMMONIA_STORAGE	0.199664	0.000000	0.000000
METHANOL_STORAGE	0.194805	0.000000	0.000000
CO2_STORAGE	0.013343	0.000000	0.000000
ADLIBIO_TO_FUEL	60.569556	0.000000	347.646262
AMMONIA_TO_H2	0.000028	0.000000	0.000000
ATM_CCS	0.000027	0.000000	-0.000411
BIO_HYDROLYSIS	14.829597	0.000000	10122.429247
BIOMETHANATION	0.052824	0.000000	2.070224
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.005902
GRID	23.065132	0.000000	0.000000
H2_BIOMASS	1.460260	0.000000	0.941977
H2_ELECTROLYSIS	0.000429	0.000000	0.000010
INDUSTRY_CCS	0.000000	0.000000	0.001394
REDIFUEL	0.000019	0.000000	0.002663
SMR	0.000000	0.000000	0.443026
SYN_METHANATION	0.000012	0.000000	0.000001
AMMONIA	0.000000	-0.337391	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	773.329574	0.000000
BIODIESEL	0.000000	-0.001052	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-0.000565	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.003488	0.000000
DIESEL	0.000000	521.323617	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	1100.911926	0.000000
GAS	0.000000	5733.976280	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	-0.000005	0.000000
GASOLINE	0.000000	0.005829	0.000000
H2	0.000000	0.000102	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	352.874864	0.000000
LFO	0.000000	0.003462	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	4217.348444	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-0.000434	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	-16198.326927	0.000000
WOOD	0.000000	-7496.771545	0.000000
WOOD_PRODUCTION	0.000000	-741.402714	0.000000
