Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000005	0.000000	0.000008
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1039.036380	0.000000	0.000000
WIND_ONSHORE	99.655601	0.000000	3.699242
WIND_OFFSHORE	94.362612	0.000000	5.227693
HYDRO_RIVER	1.293595	0.000000	0.016777
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	12.062267	0.000000	15.860795
IND_COGEN_WOOD	0.000010	0.000000	0.000193
IND_COGEN_WASTE	0.000001	0.000000	0.000033
IND_BOILER_GAS	1.211442	0.000000	0.000000
IND_BOILER_WOOD	0.000012	0.000000	0.000167
IND_BOILER_OIL	0.000001	0.000000	0.000000
IND_BOILER_COAL	4.244126	0.000000	3.908459
IND_BOILER_WASTE	7.169863	0.000000	331.095532
IND_DIRECT_ELEC	0.028962	0.000000	0.000000
DHN_HP_ELEC	6.302168	0.000000	1.375489
DHN_COGEN_GAS	8.493925	0.000000	18.771344
DHN_COGEN_WOOD	0.000000	0.000000	0.000018
DHN_COGEN_WASTE	0.000001	0.000000	0.000027
DHN_COGEN_WET_BIOMASS	0.000018	0.000000	0.000021
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000023
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000002	0.000000	0.000019
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000019	0.000000	0.000000
DEC_HP_ELEC	29.571950	0.000000	4.715843
DEC_THHP_GAS	16.822511	0.000000	0.000000
DEC_COGEN_GAS	0.000006	0.000000	0.000002
DEC_COGEN_OIL	0.000008	0.000000	0.000008
DEC_ADVCOGEN_GAS	0.000008	0.000000	0.000005
DEC_ADVCOGEN_H2	0.000004	0.000000	0.000002
DEC_BOILER_GAS	0.000006	0.000000	0.000000
DEC_BOILER_WOOD	0.000005	0.000000	0.000031
DEC_BOILER_OIL	0.000004	0.000000	0.000000
DEC_SOLAR	0.000102	0.000000	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000	0.000000
TRAMWAY_TROLLEY	4.234415	0.000000	0.000000
BUS_COACH_DIESEL	0.000007	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000007	0.000000	0.000000
BUS_COACH_CNG_STOICH	319.313448	0.000000	0.910241
BUS_COACH_FC_HYBRIDH2	0.000004	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000011	0.000000	0.000000
TRAIN_PUB	0.000026	0.000000	0.000000
