Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000150	0.000000	-0.009965
CCGT_AMMONIA	0.000013	0.000000	0.000003
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	14040.494909	0.000000	0.000000
WIND_ONSHORE	3393.021208	0.000000	94.622828
WIND_OFFSHORE	1109.373934	0.000000	133.881716
HYDRO_RIVER	38.381233	0.000000	-7.518878
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	603.691639	0.000000	971.260947
IND_COGEN_WOOD	0.000163	0.000000	0.000031
IND_COGEN_WASTE	0.000026	0.000000	0.000011
IND_BOILER_GAS	33.087820	0.000000	0.000000
IND_BOILER_WOOD	0.000263	0.000000	0.000003
IND_BOILER_OIL	0.000068	0.000000	0.000000
IND_BOILER_COAL	0.000987	0.000000	0.000035
IND_BOILER_WASTE	194.727406	0.000000	125.080984
IND_DIRECT_ELEC	3.884694	0.000000	0.000000
DHN_HP_ELEC	196.162961	0.000000	12.667973
DHN_COGEN_GAS	9.731373	0.000000	15.765254
DHN_COGEN_WOOD	0.000001	0.000000	0.000003
DHN_COGEN_WASTE	0.000020	0.000000	0.000009
DHN_COGEN_WET_BIOMASS	0.000823	0.000000	0.000167
DHN_COGEN_BIO_HYDROLYSIS	0.000032	0.000000	0.000296
DHN_BOILER_GAS	0.000009	0.000000	0.000000
DHN_BOILER_WOOD	0.000065	0.000000	0.000000
DHN_BOILER_OIL	0.000004	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000223	0.000000	0.000000
DEC_HP_ELEC	650.843407	0.000000	27.950061
DEC_THHP_GAS	0.001128	0.000000	0.000000
DEC_COGEN_GAS	0.000102	0.000000	0.000040
DEC_COGEN_OIL	0.000166	0.000000	0.000013
DEC_ADVCOGEN_GAS	0.000202	0.000000	0.000168
DEC_ADVCOGEN_H2	89.681760	0.000000	85.796328
DEC_BOILER_GAS	0.000095	0.000000	0.000000
DEC_BOILER_WOOD	0.000623	0.000000	0.000001
DEC_BOILER_OIL	0.000079	0.000000	0.000000
DEC_SOLAR	0.014502	0.000000	0.000000
DEC_DIRECT_ELEC	0.000023	0.000000	0.000000
TRAMWAY_TROLLEY	83.217800	0.000000	0.000000
BUS_COACH_DIESEL	0.000031	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000033	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000135	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	2005.315813	0.000000	1.432292
BUS_COACH_ELECTRIC	0.000243	0.000000	0.000000
TRAIN_PUB	435.789727	0.000000	0.000000
CAR_GASOLINE	3225.876881	0.000000	667.941278
CAR_DIESEL	0.000017	0.000000	0.000008
CAR_NG	0.000024	0.000000	0.000009
CAR_METHANOL	0.000014	0.000000	0.000004
CAR_HEV	0.000016	0.000000	0.000008
CAR_PHEV	0.009339	0.000000	0.000911
CAR_BEV	36993.088983	0.000000	4546.463492
CAR_FUEL_CELL	0.000077	0.000000	0.000012
TRAIN_FREIGHT	257.701505	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000000
BOAT_FREIGHT_NG	0.000006	0.000000	0.000000
BOAT_FREIGHT_METHANOL	217.836637	0.000000	4.921668
TRUCK_DIESEL	4484.326689	0.000000	0.288343
TRUCK_METHANOL	0.000005	0.000000	0.000000
TRUCK_FUEL_CELL	6587.187291	0.000000	0.317717
TRUCK_ELEC	0.000029	0.000000	0.000000
TRUCK_NG	0.000005	0.000000	0.000000
HABER_BOSCH	0.062946	0.000000	0.001303
SYN_METHANOLATION	0.001281	0.000000	0.000042
METHANE_TO_METHANOL	0.000028	0.000000	0.000018
BIOMASS_TO_METHANOL	0.000482	0.000000	0.000279
OIL_TO_HVC	0.000895	0.000000	0.000000
GAS_TO_HVC	0.001829	0.000000	0.000000
METHANOL_TO_HVC	7084.454059	0.000000	0.000000
ADLIBIO_TO_HVC	0.000864	0.000000	0.000523
PHS	6302.670819	0.000000	0.000000
BATT_LI	32.659738	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.010246	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.001009	0.000000	0.000000
TS_DEC_HP_ELEC	455.692320	0.000000	0.000000
TS_DEC_THHP_GAS	0.001072	0.000000	0.000000
TS_DEC_COGEN_GAS	0.001025	0.000000	0.000000
TS_DEC_COGEN_OIL	0.001006	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.001056	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	2.550817	0.000000	0.000000
TS_DEC_BOILER_GAS	0.001021	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000958	0.000000	0.000000
TS_DEC_BOILER_OIL	0.001018	0.000000	0.000000
TS_DHN_DAILY	0.004959	0.000000	0.000000
TS_DHN_SEASONAL	5870.347900	0.000000	0.000000
TS_HIGH_TEMP	312.680558	0.000000	0.000000
GAS_STORAGE	0.133871	0.000000	0.000000
H2_STORAGE	5.831418	0.000000	0.000000
DIESEL_STORAGE	0.027383	0.000000	0.000000
GASOLINE_STORAGE	13.307228	0.000000	0.000000
LFO_STORAGE	0.024718	0.000000	0.000000
AMMONIA_STORAGE	0.029903	0.000000	0.000000
METHANOL_STORAGE	0.312480	0.000000	0.000000
CO2_STORAGE	0.002109	0.000000	0.000000
ADLIBIO_TO_FUEL	1176.356783	0.000000	531.962076
AMMONIA_TO_H2	0.000050	0.000000	0.000000
ATM_CCS	0.000028	0.000000	0.000054
BIO_HYDROLYSIS	1935.307147	0.000000	12288.793554
BIOMETHANATION	0.003972	0.000000	0.001360
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000001	0.000000	0.000244
GRID	908.671295	0.000000	0.000000
H2_BIOMASS	832.576017	0.000000	67.110575
H2_ELECTROLYSIS	97.717251	0.000000	1.879486
INDUSTRY_CCS	0.000000	0.000000	0.000008
REDIFUEL	0.000113	0.000000	0.000032
SMR	0.000000	0.000000	0.000005
SYN_METHANATION	0.000074	0.000000	0.000000
AMMONIA	0.000000	0.000208	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	39890.517227	0.000000
BIODIESEL	0.000000	0.238333	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.026801	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.002115	0.000000
DIESEL	0.000000	5832.935578	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	46359.532373	0.000000
GAS	0.000000	8195.014713	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000017	0.000000
GASOLINE	0.000000	0.000552	0.000000
H2	0.000000	0.000001	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000135	0.000000
LFO	0.000000	0.001238	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	17509.922976	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.001923	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	90511.492857	0.000000
WOOD	0.000000	95439.895090	0.000000
WOOD_PRODUCTION	0.000000	155564.839885	0.000000
