Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000279	0.000000	-0.003826
CCGT_AMMONIA	0.000015	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	11414.746546	0.000000	0.000000
WIND_ONSHORE	3393.021398	0.000000	94.778250
WIND_OFFSHORE	1109.373938	0.000000	134.614667
HYDRO_RIVER	38.381240	0.000000	-7.408076
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	260.862738	0.000000	439.982638
IND_COGEN_WOOD	151.105539	0.000000	42.961241
IND_COGEN_WASTE	0.000024	0.000000	0.000008
IND_BOILER_GAS	20.084072	0.000000	0.000000
IND_BOILER_WOOD	0.000182	0.000000	0.000006
IND_BOILER_OIL	0.000013	0.000000	0.000000
IND_BOILER_COAL	417.458631	0.000000	226.385858
IND_BOILER_WASTE	174.778285	0.000000	171.066933
IND_DIRECT_ELEC	2.170548	0.000000	0.000000
DHN_HP_ELEC	140.971493	0.000000	8.725451
DHN_COGEN_GAS	216.706714	0.000000	354.856599
DHN_COGEN_WOOD	0.000005	0.000000	0.000004
DHN_COGEN_WASTE	0.000018	0.000000	0.000006
DHN_COGEN_WET_BIOMASS	0.000899	0.000000	0.000272
DHN_COGEN_BIO_HYDROLYSIS	0.000018	0.000000	0.000183
DHN_BOILER_GAS	0.000004	0.000000	0.000000
DHN_BOILER_WOOD	0.000031	0.000000	0.000001
DHN_BOILER_OIL	0.000007	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000264	0.000000	0.000000
DEC_HP_ELEC	653.320691	0.000000	28.044664
DEC_THHP_GAS	0.013018	0.000000	0.000000
DEC_COGEN_GAS	0.000075	0.000000	0.000029
DEC_COGEN_OIL	0.000064	0.000000	0.000005
DEC_ADVCOGEN_GAS	0.000139	0.000000	0.000113
DEC_ADVCOGEN_H2	0.000073	0.000000	0.000074
DEC_BOILER_GAS	0.000056	0.000000	0.000000
DEC_BOILER_WOOD	0.000476	0.000000	0.000001
DEC_BOILER_OIL	0.000042	0.000000	0.000000
DEC_SOLAR	0.001369	0.000000	0.000000
DEC_DIRECT_ELEC	0.000010	0.000000	0.000000
TRAMWAY_TROLLEY	83.217807	0.000000	0.000000
BUS_COACH_DIESEL	0.000074	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000026	0.000000	0.000000
BUS_COACH_CNG_STOICH	5774.610698	0.000000	5.013024
BUS_COACH_FC_HYBRIDH2	0.000104	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000534	0.000000	0.000000
TRAIN_PUB	0.000032	0.000000	0.000000
CAR_GASOLINE	3225.876881	0.000000	667.941282
CAR_DIESEL	0.000008	0.000000	0.000003
CAR_NG	0.000011	0.000000	0.000004
CAR_METHANOL	0.000009	0.000000	0.000004
CAR_HEV	0.000008	0.000000	0.000003
CAR_PHEV	0.006506	0.000000	0.000615
CAR_BEV	36993.092419	0.000000	4546.463911
CAR_FUEL_CELL	0.000032	0.000000	0.000005
TRAIN_FREIGHT	257.701506	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000003	0.000000	0.000000
BOAT_FREIGHT_NG	0.000004	0.000000	0.000000
BOAT_FREIGHT_METHANOL	217.836632	0.000000	4.921668
TRUCK_DIESEL	4484.326689	0.000000	0.288343
TRUCK_METHANOL	0.000078	0.000000	0.000000
TRUCK_FUEL_CELL	6587.171913	0.000000	0.317717
TRUCK_ELEC	0.000034	0.000000	0.000000
TRUCK_NG	0.000011	0.000000	0.000000
HABER_BOSCH	0.003396	0.000000	0.000052
SYN_METHANOLATION	0.000575	0.000000	0.000029
METHANE_TO_METHANOL	0.000004	0.000000	0.000003
BIOMASS_TO_METHANOL	0.000463	0.000000	0.000167
OIL_TO_HVC	0.001105	0.000000	0.000000
GAS_TO_HVC	0.000670	0.000000	0.000000
METHANOL_TO_HVC	7084.454055	0.000000	0.000000
ADLIBIO_TO_HVC	0.000709	0.000000	0.000240
PHS	8192.938150	0.000000	0.000000
BATT_LI	0.000597	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.007137	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000493	0.000000	0.000000
TS_DEC_HP_ELEC	450.064627	0.000000	0.000000
TS_DEC_THHP_GAS	0.001887	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000488	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000459	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000579	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000482	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000489	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000441	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000500	0.000000	0.000000
TS_DHN_DAILY	0.004908	0.000000	0.000000
TS_DHN_SEASONAL	3910.441734	0.000000	0.000000
TS_HIGH_TEMP	14.049302	0.000000	0.000000
GAS_STORAGE	4569.009729	0.000000	0.000000
H2_STORAGE	0.004510	0.000000	0.000000
DIESEL_STORAGE	0.028763	0.000000	0.000000
GASOLINE_STORAGE	2.056999	0.000000	0.000000
LFO_STORAGE	0.021387	0.000000	0.000000
AMMONIA_STORAGE	0.035797	0.000000	0.000000
METHANOL_STORAGE	0.344710	0.000000	0.000000
CO2_STORAGE	0.001433	0.000000	0.000000
ADLIBIO_TO_FUEL	939.440649	0.000000	531.961959
AMMONIA_TO_H2	0.000072	0.000000	0.000000
ATM_CCS	0.000020	0.000000	0.000015
BIO_HYDROLYSIS	1574.770407	0.000000	12288.785397
BIOMETHANATION	0.007640	0.000000	0.003228
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000022	0.000000	0.000204
GRID	872.612293	0.000000	0.000000
H2_BIOMASS	0.001133	0.000000	0.000094
H2_ELECTROLYSIS	0.000137	0.000000	0.000005
INDUSTRY_CCS	0.000000	0.000000	0.000007
REDIFUEL	0.000123	0.000000	0.000049
SMR	0.000000	0.000000	0.000008
SYN_METHANATION	0.000069	0.000000	0.000000
AMMONIA	0.000000	0.000172	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	39890.947113	0.000000
BIODIESEL	0.000000	0.040537	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.017762	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	13833.158239	0.000000
DIESEL	0.000000	5832.939221	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	46359.532332	0.000000
GAS	0.000000	7873.763589	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000007	0.000000
GASOLINE	0.000000	0.000447	0.000000
H2	0.000000	0.000002	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	45452.925727	0.000000
LFO	0.000000	0.001056	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	17509.924424	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.001112	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	90511.491628	0.000000
WOOD	0.000000	95439.898349	0.000000
WOOD_PRODUCTION	0.000000	0.006454	0.000000
