source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.47,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.47,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,57.43,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.58,Methanol,#CC0066,TWh
Methanol,MTO,52.73,Methanol,#CC0066,TWh
Heat HT,MTO,14.02,Heat HT,#DC143C,TWh
MTO,HVC,42.48,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.48,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,9.29,Diesel,#D3D3D3,TWh
Diesel,Freight,9.29,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,84.50,Gas,#FFD700,TWh
Gas Prod,Gas sto.,4.37,GAS,#FFD700,TWh
Gas sto.,Gas,4.28,GAS,#FFD700,TWh
Gas Prod,Gas,12.08,GAS,#FFD700,TWh
Gas,Mob public,13.95,GAS,#FFD700,TWh
Gas,CHP,76.60,GAS,#FFD700,TWh
Gas,Boilers,10.35,GAS,#FFD700,TWh
Electricity,Elec,29.18,Electricity,#00BFFF,TWh
Wind,Elec,38.67,Wind,#27AE34,TWh
Hydro River,Elec,0.46,Hydro River,#0000FF,TWh
Coal,Boilers,20.48,Coal,#A0522D,TWh
Solar,Elec,50.03,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood be.,Wood,23.40,Wood,#CD853F,TWh
Wood,Adlibio to fuel,5.99,Wood,#CD853F,TWh
H2,Adlibio to fuel,2.10,H2,#FF00FF,TWh
Adlibio to fuel,Gasoline,5.40,GASOLINE,#8080800,TWh
Adlibio to fuel,Heat HT,2.02,HEAT_HIGH_T,#DC143C,TWh
Wood,CHP,17.41,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,9.85,Electricity,#00BFFF,TWh
Gasoline,Mob priv,5.40,GASOLINE,#8080800,TWh
Elec,Mob public,1.39,Electricity,#00BFFF,TWh
Elec,Freight,1.43,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.40,Electricity,#00BFFF,TWh
Elec,Curt.,1.45,Electricity,#00BFFF,TWh
Elec,Elec demand,98.22,Electricity,#00BFFF,TWh
Solar,Curt.,1.56,Solar,#FFFF00,TWh
Wind,Curt.,4.30,Wind,#27AE34,TWh
Elec,Storage,1.33,Electricity,#00BFFF,TWh
Storage,Elec demand,0.99,Electricity,#00BFFF,TWh
Elec,HPs,32.33,Electricity,#00BFFF,TWh
Elec,HT sto,0.33,Electricity,#00BFFF,TWh
HT sto,Heat HT,0.33,Heat HT,#DC143C,TWh
Elec,Heat HT,2.24,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,10.64,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
H2,Freight,8.53,H2,#FF00FF,TWh
CHP,Elec,39.05,Electricity,#00BFFF,TWh
CHP,DHN,14.74,Heat LT,#FA8072,TWh
CHP,Heat HT,27.51,Heat HT,#DC143C,TWh
HPs,Dec. sto,16.63,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,58.80,Heat LT,#FA8072,TWh
HPs,DHN,31.26,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,15.33,Heat LT,#FA8072,TWh
Boilers,Heat HT,40.98,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,34.62,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.30,Heat LT,#FA8072,TWh
DHN,DHN Sto,9.09,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,8.92,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,59.06,Heat HT,#DC143C,TWh
