Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000001	0.000000	0.000187
CCGT_AMMONIA	0.000000	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.158035	0.000000	0.000000
WIND_ONSHORE	102.107231	0.000000	0.587978
WIND_OFFSHORE	96.182601	0.000000	0.833639
HYDRO_RIVER	2.193013	0.000000	0.002723
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	33.040686	0.000000	7297.739263
IND_COGEN_WOOD	0.000000	0.000000	0.000057
IND_COGEN_WASTE	0.000001	0.000000	0.000037
IND_BOILER_GAS	0.000001	0.000000	0.000720
IND_BOILER_WOOD	0.000002	0.000000	0.000042
IND_BOILER_OIL	0.000001	0.000000	0.000102
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000003	0.000000	0.000325
IND_DIRECT_ELEC	0.670342	0.000000	0.000000
DHN_HP_ELEC	35.547229	0.000000	586.699740
DHN_COGEN_GAS	0.000002	0.000000	0.000684
DHN_COGEN_WOOD	0.000000	0.000000	0.000028
DHN_COGEN_WASTE	0.000000	0.000000	0.000030
DHN_COGEN_WET_BIOMASS	0.000004	0.000000	0.000122
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000049
DHN_BOILER_GAS	0.000000	0.000000	0.000023
DHN_BOILER_WOOD	0.000000	0.000000	0.000028
DHN_BOILER_OIL	0.000000	0.000000	0.000026
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	104.964088	0.000000	1147.399603
DEC_THHP_GAS	0.000009	0.000000	0.000231
DEC_COGEN_GAS	0.000002	0.000000	0.000084
DEC_COGEN_OIL	0.000004	0.000000	0.000123
DEC_ADVCOGEN_GAS	0.000002	0.000000	0.000105
DEC_ADVCOGEN_H2	92.046665	0.000000	39.004643
DEC_BOILER_GAS	0.000001	0.000000	0.000035
DEC_BOILER_WOOD	0.000002	0.000000	0.000067
DEC_BOILER_OIL	0.000001	0.000000	0.000040
DEC_SOLAR	0.000030	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000006
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000004
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000007
BUS_COACH_FC_HYBRIDH2	0.000003	0.000000	0.000003
BUS_COACH_ELECTRIC	272.265302	0.000000	168.011879
TRAIN_PUB	0.000022	0.000000	0.000006
CAR_GASOLINE	0.000000	0.000000	0.000003
CAR_DIESEL	0.000000	0.000000	0.000002
CAR_NG	0.000000	0.000000	0.000002
CAR_METHANOL	0.000000	0.000000	0.000003
CAR_HEV	0.000000	0.000000	0.000002
CAR_PHEV	0.000171	0.000000	0.000109
CAR_BEV	3497.091841	0.000000	553.863709
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	27.392424	0.000000	52.795724
BOAT_FREIGHT_DIESEL	0.000005	0.000000	0.000199
BOAT_FREIGHT_NG	0.000000	0.000000	0.000011
BOAT_FREIGHT_METHANOL	18.323899	0.000000	862.730147
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000005
TRUCK_FUEL_CELL	550.535032	0.000000	14.249589
TRUCK_ELEC	0.000004	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	98.074478	0.000000	4.429253
SYN_METHANOLATION	0.000021	0.000000	0.000002
METHANE_TO_METHANOL	5.688193	0.000000	18.216771
BIOMASS_TO_METHANOL	0.000003	0.000000	0.000029
OIL_TO_HVC	0.000020	0.000000	0.000100
