Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000010	0.000005	0.000000
CCGT_AMMONIA	0.000008	0.000004	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834731	431.792281	0.000000
WIND_ONSHORE	407.572700	113.844999	0.000000
WIND_OFFSHORE	1162.532815	194.247598	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	63.061125	83.986836	0.000000
IND_COGEN_WOOD	0.000009	0.000007	0.000000
IND_COGEN_WASTE	0.000008	0.000006	0.000000
IND_BOILER_GAS	24.156730	7.215182	0.000000
IND_BOILER_WOOD	0.000009	0.000003	0.000000
IND_BOILER_OIL	0.000011	0.000003	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	23.200497	6.917267	0.000000
IND_DIRECT_ELEC	480.172708	29.065025	0.000000
DHN_HP_ELEC	107.532049	75.549992	0.000000
DHN_COGEN_GAS	0.000012	0.000007	0.000000
DHN_COGEN_WOOD	0.000009	0.000006	0.000000
DHN_COGEN_WASTE	0.000007	0.000006	0.000000
DHN_COGEN_WET_BIOMASS	0.000001	0.000002	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000010	0.000006	0.000000
DHN_BOILER_GAS	2.404723	0.718248	0.000000
DHN_BOILER_WOOD	0.000006	0.000002	0.000000
DHN_BOILER_OIL	0.000159	0.000051	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	371.683685	242.882753	0.000000
DEC_THHP_GAS	0.000012	0.000006	0.000000
DEC_COGEN_GAS	0.000014	0.000015	0.000000
DEC_COGEN_OIL	0.000026	0.000027	0.000000
DEC_ADVCOGEN_GAS	0.000019	0.000006	0.000000
DEC_ADVCOGEN_H2	1892.514260	605.529414	0.000000
DEC_BOILER_GAS	0.000019	0.000008	0.000000
DEC_BOILER_WOOD	0.000007	0.000004	0.000000
DEC_BOILER_OIL	0.000015	0.000013	0.000000
DEC_SOLAR	0.000008	0.000002	0.000000
DEC_DIRECT_ELEC	0.000033	0.000002	0.000000
TRAMWAY_TROLLEY	207.241630	99.541628	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000001	0.000000
BUS_COACH_CNG_STOICH	0.000001	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000065	0.000034	0.000000
BUS_COACH_ELECTRIC	324.863601	191.430903	0.000000
TRAIN_PUB	831.863837	898.139725	0.000000
CAR_GASOLINE	0.000002	0.000001	0.000000
CAR_DIESEL	0.000002	0.000001	0.000000
CAR_NG	0.000004	0.000002	0.000000
CAR_METHANOL	0.000002	0.000001	0.000000
CAR_HEV	0.000002	0.000001	0.000000
CAR_PHEV	0.000708	0.000481	0.000000
CAR_BEV	7957.107503	1769.646077	0.000000
CAR_FUEL_CELL	0.000002	0.000000	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	73.488385	106.290042	0.000000
BOAT_FREIGHT_NG	0.000006	0.000009	0.000000
BOAT_FREIGHT_METHANOL	0.000003	0.000004	0.000000
TRUCK_DIESEL	0.000002	0.000001	0.000000
TRUCK_METHANOL	0.000002	0.000001	0.000000
TRUCK_FUEL_CELL	1847.525312	621.044333	0.000000
TRUCK_ELEC	0.000007	0.000005	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000003	0.000001	0.000000
SYN_METHANOLATION	0.000004	0.000002	0.000000
METHANE_TO_METHANOL	52.208392	47.300372	0.000000
BIOMASS_TO_METHANOL	0.000003	0.000001	0.000000
OIL_TO_HVC	0.000002	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	183.787271	283.982487	0.000000
ADLIBIO_TO_HVC	0.000004	0.000001	0.000000
PHS	8.400075	0.000000	0.000000
BATT_LI	0.000090	0.000002	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000037	0.000005	0.000000
TS_DEC_HP_ELEC	42.076029	5.057098	0.000000
TS_DEC_THHP_GAS	0.000037	0.000004	0.000000
TS_DEC_COGEN_GAS	0.000037	0.000004	0.000000
TS_DEC_COGEN_OIL	0.000036	0.000004	0.000000
TS_DEC_ADVCOGEN_GAS	0.000040	0.000005	0.000000
TS_DEC_ADVCOGEN_H2	15.033176	1.806830	0.000000
TS_DEC_BOILER_GAS	0.000037	0.000004	0.000000
TS_DEC_BOILER_WOOD	0.000036	0.000004	0.000000
TS_DEC_BOILER_OIL	0.000038	0.000005	0.000000
TS_DHN_DAILY	6.678999	0.572783	0.000000
TS_DHN_SEASONAL	0.002325	0.000262	0.000000
TS_HIGH_TEMP	105.054115	23.296615	0.000000
GAS_STORAGE	0.000002	0.000002	0.000000
H2_STORAGE	0.000257	0.000278	0.000000
DIESEL_STORAGE	0.000121	0.000083	0.000000
GASOLINE_STORAGE	0.000122	0.000084	0.000000
LFO_STORAGE	0.000153	0.000105	0.000000
AMMONIA_STORAGE	0.000000	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	8.822315	2.118753	0.000000
ADLIBIO_TO_FUEL	0.000003	0.000001	0.000000
AMMONIA_TO_H2	0.000003	0.000006	0.000000
ATM_CCS	166.165168	123.395649	0.000000
BIO_HYDROLYSIS	0.000006	0.000006	0.000000
BIOMETHANATION	0.000002	0.000000	0.000000
DHN	191.014598	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000009	0.000013	0.000000
GRID	2210.177557	0.000000	0.000000
H2_BIOMASS	0.000007	0.000011	0.000000
H2_ELECTROLYSIS	29.940671	10.986417	0.000000
INDUSTRY_CCS	0.000010	0.000008	0.000000
REDIFUEL	0.000008	0.000004	0.000000
SMR	0.000008	0.000015	0.000000
SYN_METHANATION	28.857821	220.576006	0.000000
AMMONIA	0.000000	0.000000	0.000009
AMMONIA_RE_BE	0.000000	0.000000	1823.780105
AMMONIA_RE_IMPORT	0.000000	0.000000	0.000005
BIODIESEL	0.000000	0.000000	0.000001
BIODIESEL_BE	0.000000	0.000000	297.481232
BIOETHANOL	0.000000	0.000000	0.000001
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000027
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	1657.061189
GAS	0.000000	0.000000	747.733120
GAS_RE_BE	0.000000	0.000000	0.000042
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	0.000033
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	20414.200533
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000050
LFO_RE_BE	0.000000	0.000000	0.000213
METHANOL	0.000000	0.000000	2099.973529
METHANOL_RE_BE	0.000000	0.000000	0.000077
METHANOL_RE_IMPORT	0.000000	0.000000	0.000008
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	444.535058
WET_BIOMASS	0.000000	0.000000	0.000002
WOOD	0.000000	0.000000	0.000015
WOOD_PRODUCTION	0.000000	0.000000	0.000003
