Name	C_inv	C_maint	C_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	1196.354566	178.935336	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	262.588045	219.654724	0.000000
CCGT	0.000070	0.000037	0.000000
CCGT_AMMONIA	0.000056	0.000029	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	0.000067	0.000016	0.000000
WIND_ONSHORE	234.014919	65.365805	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	640.820808	191.690234	0.000000
GEOTHERMAL	0.000147	0.000065	0.000000
IND_COGEN_GAS	0.000054	0.000072	0.000000
IND_COGEN_WOOD	0.000120	0.000091	0.000000
IND_COGEN_WASTE	0.000065	0.000050	0.000000
IND_BOILER_GAS	0.000065	0.000019	0.000000
IND_BOILER_WOOD	8.771276	2.615167	0.000000
IND_BOILER_OIL	0.000055	0.000018	0.000000
IND_BOILER_COAL	0.000052	0.000015	0.000000
IND_BOILER_WASTE	0.000058	0.000017	0.000000
IND_DIRECT_ELEC	38.595259	2.336188	0.000000
DHN_HP_ELEC	87.300026	61.336370	0.000000
DHN_COGEN_GAS	0.000067	0.000041	0.000000
DHN_COGEN_WOOD	0.000095	0.000072	0.000000
DHN_COGEN_WASTE	0.000065	0.000050	0.000000
DHN_COGEN_WET_BIOMASS	0.000037	0.000062	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000080	0.000052	0.000000
DHN_BOILER_GAS	0.004847	0.001448	0.000000
DHN_BOILER_WOOD	1.845001	0.550089	0.000000
DHN_BOILER_OIL	0.000108	0.000035	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000017	0.000000	0.000000
DEC_HP_ELEC	384.521159	251.268335	0.000000
DEC_THHP_GAS	0.000104	0.000052	0.000000
DEC_COGEN_GAS	0.000062	0.000068	0.000000
DEC_COGEN_OIL	0.000047	0.000049	0.000000
DEC_ADVCOGEN_GAS	0.000124	0.000040	0.000000
DEC_ADVCOGEN_H2	0.000106	0.000034	0.000000
DEC_BOILER_GAS	0.000060	0.000027	0.000000
DEC_BOILER_WOOD	0.000094	0.000049	0.000000
