TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
HYDRO_DAM	35789.958036	178.935336	40.000000	8.080000	8.520000	8.520000	0.000000	0.494649	1.000000	1.000000	1.000000	0.033427	14423.337600
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
NUCLEAR	10345.633550	219.757655	60.000000	2.134000	2.135000	2.135000	0.000000	0.105360	1.000000	0.850000	0.850000	0.025393	1511.323800
CCGT	0.001397	0.000035	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000050	0.955769	0.048263	0.000330
CCGT_AMMONIA	0.001104	0.000028	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000055	0.590000	0.048263	0.000260
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850864	0.036934	0.000000
PV	23675.499860	270.374998	25.000000	0.000000	25.000000	25.000000	0.000000	0.164012	1.000000	0.113000	1.000000	0.048263	52035.749693
WIND_ONSHORE	5620.067000	65.365835	30.000000	0.000000	5.300000	5.300000	0.000000	0.070772	1.000000	0.230000	1.000000	0.041639	3301.105000
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_RIVER	23458.878037	234.568312	40.000000	3.800000	4.650000	4.650000	0.000000	0.130664	1.000000	0.484000	1.000000	0.033427	5872.113009
GEOTHERMAL	5360.725964	99.590399	30.000000	0.000000	0.700000	0.700000	0.000000	0.034544	1.000000	0.850000	0.850000	0.041639	17450.362881
IND_COGEN_GAS	0.001057	0.000068	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000069	0.844900	0.048263	0.000752
IND_COGEN_WOOD	0.001375	0.000050	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000027	0.844900	0.048263	0.000206
IND_COGEN_WASTE	0.001099	0.000041	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000012	0.844900	0.048263	0.000236
IND_BOILER_GAS	0.001113	0.000022	17.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.000142	0.944300	0.067080	0.000233
IND_BOILER_WOOD	0.000243	0.000005	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000039	0.894600	0.067080	0.000061
IND_BOILER_OIL	0.001037	0.000022	17.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.000067	0.944300	0.067080	0.000233
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.894600	0.067080	0.000000
IND_BOILER_WASTE	0.000228	0.000005	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000085	0.894600	0.067080	0.000057
IND_DIRECT_ELEC	1079.295567	4.896131	15.000000	0.000000	3.247564	Infinity	0.000000	1.000000	1.000000	0.891990	0.944300	0.074944	4.773920
DHN_HP_ELEC	1623.681793	55.058328	25.000000	0.000000	4.589913	Infinity	0.000000	0.999553	1.000000	0.306588	0.944300	0.048263	802.270928
DHN_COGEN_GAS	0.001853	0.000054	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000069	0.844900	0.048263	0.000709
DHN_COGEN_WOOD	0.002433	0.000089	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000021	0.844900	0.048263	0.000364
DHN_COGEN_WASTE	0.001096	0.000040	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000011	0.844900	0.048263	0.000235
DHN_COGEN_WET_BIOMASS	0.000066	0.000005	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000025	0.745500	0.048263	0.000048
DHN_COGEN_BIO_HYDROLYSIS	0.001417	0.000069	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000006	0.844900	0.074944	0.000198
DHN_BOILER_GAS	17.687252	0.354371	17.000000	0.000000	0.300344	Infinity	0.000000	0.000447	1.000000	0.002094	0.944300	0.067080	3.700237
DHN_BOILER_WOOD	0.000261	0.000005	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000032	0.894600	0.067080	0.000065
DHN_BOILER_OIL	0.001051	0.000023	17.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.000052	0.944300	0.067080	0.000236
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.041639	0.000000
DHN_SOLAR	0.000031	0.000000	30.000000	0.000000	0.000000	30.000000	0.000000	0.000000	1.000000	0.000044	1.000000	0.041639	0.000019
DEC_HP_ELEC	7791.630712	324.867236	18.000000	0.000000	15.432639	Infinity	0.000000	1.000000	1.000000	0.316561	1.000000	0.063806	2544.687823
DEC_THHP_GAS	0.000223	0.000007	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000207	1.000000	0.058246	0.000263
DEC_COGEN_GAS	0.000557	0.000036	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000063	1.000000	0.058246	0.000396
DEC_COGEN_OIL	0.000516	0.000032	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000038	1.000000	0.058246	0.000395
DEC_ADVCOGEN_GAS	0.001146	0.000021	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000027	1.000000	0.058246	0.000323
DEC_ADVCOGEN_H2	0.001163	0.000022	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000053	1.000000	0.058246	0.000328
DEC_BOILER_GAS	0.000822	0.000025	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.000102	1.000000	0.067080	0.000109
DEC_BOILER_WOOD	0.000189	0.000007	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000044	1.000000	0.067080	0.000009
DEC_BOILER_OIL	0.000735	0.000044	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.000066	1.000000	0.067080	0.000109
DEC_SOLAR	0.000601	0.000007	20.000000	0.000000	0.000001	30.000000	0.000000	0.000000	1.000000	0.000673	1.000000	0.058246	0.000182
DEC_DIRECT_ELEC	0.004973	0.000022	15.000000	0.000000	0.000122	Infinity	0.000000	0.000000	1.000000	0.000231	1.000000	0.074944	0.000180
