TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000558	0.000014	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002420	0.961540	0.048263	0.000128
CCGT_AMMONIA	0.000023	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000163	0.630000	0.048263	0.000005
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	12844.216708	146.682541	25.000000	0.000000	11.849674	59.200000	0.000000	0.222105	1.000000	0.118707	1.000000	0.048263	24664.266127
WIND_ONSHORE	11011.799598	128.075289	30.000000	0.000000	10.000000	10.000000	0.000000	0.384088	1.000000	0.243252	1.000000	0.041639	6228.499773
WIND_OFFSHORE	31317.239918	217.889556	30.000000	0.000000	6.000000	6.000000	0.000000	0.385022	1.000000	0.406406	1.000000	0.041639	3737.099990
HYDRO_RIVER	580.165800	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.008786	1.000000	0.483833	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	7684.942409	493.979187	25.000000	0.000000	5.176998	Infinity	0.000000	0.622278	1.000000	0.850000	0.850000	0.048263	5302.902245
IND_COGEN_WOOD	0.000005	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000409	0.850000	0.048263	0.000001
IND_COGEN_WASTE	0.000193	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000202	0.850000	0.048263	0.000040
IND_BOILER_GAS	480.399040	9.624847	17.000000	0.000000	7.415854	Infinity	0.000000	0.139482	1.000000	0.133006	0.950000	0.067080	91.363325
IND_BOILER_WOOD	0.000202	0.000004	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000648	0.900000	0.067080	0.000046
IND_BOILER_OIL	0.000312	0.000007	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.005296	0.950000	0.067080	0.000064
IND_BOILER_COAL	3.071513	0.061429	17.000000	0.000000	0.024242	Infinity	0.000000	0.002614	1.000000	0.762595	0.900000	0.067080	1.167999
IND_BOILER_WASTE	413.078495	8.261391	17.000000	0.000000	3.260288	Infinity	0.000000	0.235625	1.000000	0.511067	0.900000	0.067080	94.124516
IND_DIRECT_ELEC	0.000429	0.000002	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001555	0.950000	0.074944	0.000002
DHN_HP_ELEC	3169.290565	107.467848	25.000000	0.000000	8.457305	Infinity	0.000000	1.000000	1.000000	0.675008	0.950000	0.048263	1478.252383
DHN_COGEN_GAS	0.000976	0.000029	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005172	0.850000	0.048263	0.000362
DHN_COGEN_WOOD	0.000079	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000150	0.850000	0.048263	0.000011
DHN_COGEN_WASTE	0.000120	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000139	0.850000	0.048263	0.000025
DHN_COGEN_WET_BIOMASS	0.000270	0.000022	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000990	0.750000	0.048263	0.000191
DHN_COGEN_BIO_HYDROLYSIS	0.000064	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000100	0.850000	0.074944	0.000009
DHN_BOILER_GAS	0.000073	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000561	0.950000	0.067080	0.000014
DHN_BOILER_WOOD	0.000151	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000236	0.900000	0.067080	0.000034
DHN_BOILER_OIL	0.000077	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000316	0.950000	0.067080	0.000016
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000084	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000195	1.000000	0.041639	0.000050
DEC_HP_ELEC	5057.652090	210.875885	18.000000	0.000000	9.456560	Infinity	0.000000	0.437632	1.000000	0.441017	1.000000	0.063806	1559.292211
DEC_THHP_GAS	4169.240598	121.852428	20.000000	0.000000	12.150261	Infinity	0.000000	0.562367	1.000000	0.441076	1.000000	0.058246	4640.549227
DEC_COGEN_GAS	0.000476	0.000031	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001265	1.000000	0.058246	0.000328
DEC_COGEN_OIL	0.000497	0.000030	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000745	1.000000	0.058246	0.000370
DEC_ADVCOGEN_GAS	0.000769	0.000014	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000348	1.000000	0.058246	0.000199
DEC_ADVCOGEN_H2	0.000515	0.000010	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000161	1.000000	0.058246	0.000133
DEC_BOILER_GAS	0.000592	0.000018	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001118	1.000000	0.067080	0.000072
DEC_BOILER_WOOD	0.000152	0.000005	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000586	1.000000	0.067080	0.000006
DEC_BOILER_OIL	0.000364	0.000022	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001029	1.000000	0.067080	0.000049
DEC_SOLAR	0.000383	0.000004	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000394	1.000000	0.058246	0.000114
DEC_DIRECT_ELEC	0.000678	0.000003	15.000000	0.000000	0.000016	Infinity	0.000000	0.000000	1.000000	0.001904	1.000000	0.074944	0.000024
TRAMWAY_TROLLEY	4438.600737	88.772015	30.000000	0.000000	7.101761	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000014	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000057	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000013	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000055	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	1424.293382	73.030064	15.000000	0.000000	19.120599	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000003	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000059	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000016	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000798	0.296800	0.074944	0.000000
TRAIN_PUB	0.000058	0.000002	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.500000	0.003180	0.275070	0.033427	0.000000
CAR_GASOLINE	60942.000003	3600.000000	10.000000	150.000000	150.000000	Infinity	0.000000	0.950459	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000058	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000125	0.051370	0.108434	0.000000
CAR_NG	0.000178	0.000010	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000272	0.051370	0.108434	0.000000
CAR_METHANOL	0.000143	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000234	0.051370	0.108434	0.000000
CAR_HEV	0.000035	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000097	0.051370	0.108434	0.000000
CAR_PHEV	0.016025	0.001172	10.000000	0.000000	0.000034	Infinity	0.000000	0.000000	1.000000	0.010331	0.051370	0.108434	0.000000
CAR_BEV	4140.328047	78.184305	10.000000	0.000000	7.818430	Infinity	0.000000	0.049541	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000036	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000130	0.051370	0.108434	0.000000
