Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000001	0.000000	0.000022
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.158037	0.000000	0.000000
WIND_ONSHORE	102.107231	0.000000	0.615167
WIND_OFFSHORE	96.182601	0.000000	0.868574
HYDRO_RIVER	2.193013	0.000000	0.002724
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	11.667241	0.000000	2068.815170
IND_COGEN_WOOD	0.000001	0.000000	0.000015
IND_COGEN_WASTE	0.000001	0.000000	0.000033
IND_BOILER_GAS	2.586514	0.000000	6467.756550
IND_BOILER_WOOD	0.000003	0.000000	0.000016
IND_BOILER_OIL	0.000001	0.000000	0.000038
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	8.518106	0.000000	4904.501382
IND_DIRECT_ELEC	1.069682	0.000000	0.000000
DHN_HP_ELEC	32.125372	0.000000	450.684490
DHN_COGEN_GAS	0.000001	0.000000	0.000031
DHN_COGEN_WOOD	0.000000	0.000000	0.000012
DHN_COGEN_WASTE	0.000001	0.000000	0.000026
DHN_COGEN_WET_BIOMASS	0.000003	0.000000	0.000023
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000025
DHN_BOILER_GAS	0.257479	0.000000	4.943262
DHN_BOILER_WOOD	0.000002	0.000000	0.000024
DHN_BOILER_OIL	0.000018	0.000000	0.000495
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000002	0.000000	0.000000
DEC_HP_ELEC	81.739156	0.000000	892.931889
DEC_THHP_GAS	0.000008	0.000000	0.000038
DEC_COGEN_GAS	0.000004	0.000000	0.000032
DEC_COGEN_OIL	0.000008	0.000000	0.000023
DEC_ADVCOGEN_GAS	0.000002	0.000000	0.000044
DEC_ADVCOGEN_H2	250.801369	0.000000	106.049663
DEC_BOILER_GAS	0.000002	0.000000	0.000024
DEC_BOILER_WOOD	0.000002	0.000000	0.000015
DEC_BOILER_OIL	0.000002	0.000000	0.000022
DEC_SOLAR	0.000017	0.000000	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000001
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000002
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000001
BUS_COACH_FC_HYBRIDH2	0.000014	0.000000	0.000009
BUS_COACH_ELECTRIC	77.790145	0.000000	48.003430
TRAIN_PUB	17.641455	0.000000	4.648254
CAR_GASOLINE	0.000000	0.000000	0.000002
CAR_DIESEL	0.000001	0.000000	0.000002
CAR_NG	0.000001	0.000000	0.000003
CAR_METHANOL	0.000001	0.000000	0.000002
CAR_HEV	0.000001	0.000000	0.000002
CAR_PHEV	0.000221	0.000000	0.000134
CAR_BEV	3497.091817	0.000000	553.863705
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	27.392424	0.000000	52.795724
BOAT_FREIGHT_DIESEL	18.323902	0.000000	750.860664
BOAT_FREIGHT_NG	0.000002	0.000000	0.000062
BOAT_FREIGHT_METHANOL	0.000001	0.000000	0.000034
TRUCK_DIESEL	0.000001	0.000000	0.000007
TRUCK_METHANOL	0.000001	0.000000	0.000009
TRUCK_FUEL_CELL	550.534858	0.000000	14.249584
TRUCK_ELEC	0.000002	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000005	0.000000	0.000000
SYN_METHANOLATION	0.000005	0.000000	0.000001
METHANE_TO_METHANOL	4.972131	0.000000	14.432390
BIOMASS_TO_METHANOL	0.000002	0.000000	0.000008
OIL_TO_HVC	0.000003	0.000000	0.000023
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	159.055050	0.000000	0.000000
ADLIBIO_TO_HVC	0.000002	0.000000	0.000015
PHS	404.931414	0.000000	0.000000
BATT_LI	0.000035	0.000000	0.000000
