Name	Crit_2_tech	Crit_2_res	Crit_2_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	203.730597	0.000000	124.219549
CCGT	0.000014	0.000000	0.000001
CCGT_AMMONIA	0.000014	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	0.000038	0.000000	0.000000
WIND_ONSHORE	0.000234	0.000000	0.000004
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	1125.446714	0.000000	-263.914730
GEOTHERMAL	0.000164	0.000000	0.000000
IND_COGEN_GAS	0.000008	0.000000	0.000005
IND_COGEN_WOOD	0.000013	0.000000	0.000001
IND_COGEN_WASTE	0.000015	0.000000	0.000009
IND_BOILER_GAS	0.000008	0.000000	0.000000
IND_BOILER_WOOD	0.000074	0.000000	0.000001
IND_BOILER_OIL	0.000006	0.000000	0.000000
IND_BOILER_COAL	0.000001	0.000000	0.000000
IND_BOILER_WASTE	216.473421	0.000000	244.223551
IND_DIRECT_ELEC	0.099916	0.000000	0.000000
DHN_HP_ELEC	91.831766	0.000000	4.727798
DHN_COGEN_GAS	0.000009	0.000000	0.000003
DHN_COGEN_WOOD	0.000006	0.000000	0.000001
DHN_COGEN_WASTE	0.000013	0.000000	0.000006
DHN_COGEN_WET_BIOMASS	0.000357	0.000000	0.000096
DHN_COGEN_BIO_HYDROLYSIS	0.000029	0.000000	0.000456
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000026	0.000000	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000152	0.000000	0.000000
DEC_HP_ELEC	384.732482	0.000000	14.331662
DEC_THHP_GAS	0.000315	0.000000	0.000000
DEC_COGEN_GAS	0.000014	0.000000	0.000004
DEC_COGEN_OIL	0.000012	0.000000	0.000001
DEC_ADVCOGEN_GAS	0.000028	0.000000	0.000022
DEC_ADVCOGEN_H2	0.000024	0.000000	0.000015
DEC_BOILER_GAS	0.000013	0.000000	0.000000
