Name	Crit_2_tech	Crit_2_res	Crit_2_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	203.730598	0.000000	0.000051
CCGT	0.000245	0.000000	0.000003
CCGT_AMMONIA	0.000221	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	0.000237	0.000000	0.000000
WIND_ONSHORE	0.005260	0.000000	0.000109
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	1377.191371	0.000000	-322.948278
GEOTHERMAL	0.000384	0.000000	0.000000
IND_COGEN_GAS	0.000264	0.000000	0.000011
IND_COGEN_WOOD	0.001040	0.000000	0.000266
IND_COGEN_WASTE	0.000242	0.000000	0.000014
IND_BOILER_GAS	0.000178	0.000000	0.000000
IND_BOILER_WOOD	234.170421	0.000000	21.042939
IND_BOILER_OIL	0.000176	0.000000	0.000000
IND_BOILER_COAL	0.000157	0.000000	0.000002
IND_BOILER_WASTE	0.000165	0.000000	0.000005
IND_DIRECT_ELEC	0.000250	0.000000	0.000000
DHN_HP_ELEC	129.897571	0.000000	3.718099
DHN_COGEN_GAS	0.000274	0.000000	0.000010
DHN_COGEN_WOOD	0.000356	0.000000	0.000019
DHN_COGEN_WASTE	0.000246	0.000000	0.000013
DHN_COGEN_WET_BIOMASS	0.000267	0.000000	0.000053
DHN_COGEN_BIO_HYDROLYSIS	0.000198	0.000000	0.000172
DHN_BOILER_GAS	1.781088	0.000000	0.000000
DHN_BOILER_WOOD	0.000294	0.000000	0.000003
DHN_BOILER_OIL	0.000228	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000099	0.000000	0.000000
DEC_HP_ELEC	514.168080	0.000000	14.076577
DEC_THHP_GAS	0.000216	0.000000	0.000000
DEC_COGEN_GAS	0.000256	0.000000	0.000013
DEC_COGEN_OIL	0.000236	0.000000	0.000001
DEC_ADVCOGEN_GAS	0.000232	0.000000	0.000063
DEC_ADVCOGEN_H2	0.000239	0.000000	0.000074
DEC_BOILER_GAS	0.000193	0.000000	0.000000
