TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
PT_POWER_BLOCK	8993.672382	539.411983	25.000000	0.000000	8.609928	10.000000	0.000000	0.094970	1.000000	0.999999	1.000000	0.048263	0.000000
ST_POWER_BLOCK	478.309639	47.830964	25.000000	0.000000	9.566193	10.000000	0.000000	0.105518	1.000000	0.999998	1.000000	0.048263	0.000000
HYDRO_DAM	4557.758737	22.786953	40.000000	0.000000	1.085000	1.085000	0.000000	0.011968	1.000000	0.999997	1.000000	0.033427	1836.774799
TIDAL	200.689997	12.460000	40.000000	0.000000	0.070000	0.070000	0.000000	0.000772	1.000000	0.999960	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.001773	0.000045	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000587	0.961540	0.048263	0.000418
CCGT_AMMONIA	0.001558	0.000039	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000145	0.630000	0.048263	0.000368
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	44036.428946	502.897488	25.000000	0.000000	46.499999	1217.000000	0.100000	0.100000	1.000000	0.194966	1.000000	0.048263	96786.492682
WIND_ONSHORE	219438.129757	2552.239439	30.000000	0.000000	206.940965	704.000000	0.140000	0.571779	1.000000	0.250492	1.000000	0.041639	128893.179980
WIND_OFFSHORE	91472.035749	636.416389	30.000000	0.000000	17.999999	18.000000	0.000000	0.088343	1.000000	0.444948	1.000000	0.041639	11211.299479
HYDRO_RIVER	15134.759992	151.334395	40.000000	0.000000	3.000000	3.000000	0.000000	0.026650	1.000000	0.805341	1.000000	0.033427	3788.459998
GEOTHERMAL	0.002454	0.000046	30.000000	0.000000	0.000000	3.200000	0.000000	0.000000	1.000000	0.002320	0.950000	0.041639	0.007987
IND_COGEN_GAS	0.001501	0.000096	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000603	0.850000	0.048263	0.001067
IND_COGEN_WOOD	0.001880	0.000069	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001841	0.850000	0.048263	0.000281
IND_COGEN_WASTE	0.001617	0.000060	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000199	0.850000	0.048263	0.000347
IND_BOILER_GAS	0.001475	0.000030	17.000000	0.000000	0.000025	Infinity	0.000000	0.000000	1.000000	0.001473	0.950000	0.067080	0.000308
