Name	C_inv	C_maint	C_op
PT_POWER_BLOCK	0.000019	0.000024	0.000000
ST_POWER_BLOCK	23.084836	47.830883	0.000000
HYDRO_DAM	152.352665	22.786953	0.000000
TIDAL	0.000146	0.000271	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000018	0.000009	0.000000
CCGT_AMMONIA	0.000015	0.000008	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	6038.922344	1428.921660	0.000000
WIND_ONSHORE	4925.099848	1375.694836	0.000000
WIND_OFFSHORE	0.000052	0.000009	0.000000
HYDRO_RIVER	0.000457	0.000137	0.000000
GEOTHERMAL	0.000048	0.000022	0.000000
IND_COGEN_GAS	0.000016	0.000022	0.000000
IND_COGEN_WOOD	0.000019	0.000014	0.000000
IND_COGEN_WASTE	0.000020	0.000015	0.000000
IND_BOILER_GAS	6.058949	1.809693	0.000000
IND_BOILER_WOOD	0.000152	0.000045	0.000000
IND_BOILER_OIL	0.000016	0.000005	0.000000
IND_BOILER_COAL	41.479785	12.367249	0.000000
IND_BOILER_WASTE	74.159918	22.110871	0.000000
IND_DIRECT_ELEC	391.880492	23.720694	0.000000
DHN_HP_ELEC	261.364250	183.632641	0.000000
DHN_COGEN_GAS	0.000016	0.000010	0.000000
DHN_COGEN_WOOD	0.000014	0.000011	0.000000
DHN_COGEN_WASTE	0.000017	0.000013	0.000000
DHN_COGEN_WET_BIOMASS	0.000014	0.000023	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000026	0.000017	0.000000
DHN_BOILER_GAS	0.000004	0.000001	0.000000
DHN_BOILER_WOOD	0.000007	0.000002	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000013	0.000000	0.000000
DEC_HP_ELEC	2374.756153	1551.802834	0.000000
DEC_THHP_GAS	0.001117	0.000561	0.000000
DEC_COGEN_GAS	0.000028	0.000031	0.000000
DEC_COGEN_OIL	0.000025	0.000026	0.000000
DEC_ADVCOGEN_GAS	0.000049	0.000016	0.000000
DEC_ADVCOGEN_H2	0.000045	0.000014	0.000000
DEC_BOILER_GAS	0.000041	0.000018	0.000000
DEC_BOILER_WOOD	0.000041	0.000022	0.000000
DEC_BOILER_OIL	0.000023	0.000021	0.000000
DEC_SOLAR	0.000344	0.000065	0.000000
DEC_DIRECT_ELEC	0.000047	0.000003	0.000000
DEC_THHP_GAS_COLD	0.000000	0.000000	0.000000
DEC_ELEC_COLD	0.000077	0.000050	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
IND_ELEC_COLD	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000004	0.000002	0.000000
CAR_DIESEL	0.000004	0.000002	0.000000
CAR_NG	0.000010	0.000005	0.000000
CAR_METHANOL	0.000018	0.000010	0.000000
CAR_HEV	0.000004	0.000003	0.000000
CAR_PHEV	0.001239	0.000846	0.000000
CAR_BEV	70951.816541	14688.547970	0.000000
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	87.500741	52.350959	0.000000
BOAT_FREIGHT_DIESEL	0.000011	0.000017	0.000000
BOAT_FREIGHT_NG	0.000128	0.000193	0.000000
BOAT_FREIGHT_METHANOL	38.084448	57.446888	0.000000
TRUCK_DIESEL	0.000043	0.000029	0.000000
TRUCK_METHANOL	1536.877012	1034.013783	0.000000
TRUCK_FUEL_CELL	6189.151225	2460.384661	0.000000
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000013	0.000009	0.000000
HABER_BOSCH	54.392591	18.257967	0.000000
OIL_TO_HVC	0.000022	0.000002	0.000000
GAS_TO_HVC	0.000019	0.000008	0.000000
METHANOL_TO_HVC	181.275530	280.103261	0.000000
ADLIBIO_TO_HVC	0.000018	0.000005	0.000000
SYN_METHANOLATION	0.000024	0.000011	0.000000
METHANE_TO_METHANOL	0.000017	0.000015	0.000000
BIOMASS_TO_METHANOL	0.000027	0.000007	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	16.800166	0.000000	0.000000
BATT_LI	0.000094	0.000002	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000077	0.000009	0.000000
TS_DEC_HP_ELEC	172.582567	20.743038	0.000000
TS_DEC_THHP_GAS	0.000142	0.000017	0.000000
TS_DEC_COGEN_GAS	0.000077	0.000009	0.000000
TS_DEC_COGEN_OIL	0.000077	0.000009	0.000000
TS_DEC_ADVCOGEN_GAS	0.000076	0.000009	0.000000
TS_DEC_ADVCOGEN_H2	0.000076	0.000009	0.000000
TS_DEC_BOILER_GAS	0.000077	0.000009	0.000000
TS_DEC_BOILER_WOOD	0.000077	0.000009	0.000000
TS_DEC_BOILER_OIL	0.000077	0.000009	0.000000
TS_DHN_DAILY	0.000074	0.000006	0.000000
TS_DHN_SEASONAL	180.147413	20.359551	0.000000
TS_HIGH_TEMP	0.000082	0.000018	0.000000
GAS_STORAGE	0.000339	0.000310	0.000000
H2_STORAGE	0.000572	0.000619	0.000000
DIESEL_STORAGE	0.005821	0.003967	0.000000
GASOLINE_STORAGE	0.005821	0.003967	0.000000
LFO_STORAGE	0.005821	0.003967	0.000000
AMMONIA_STORAGE	0.000030	0.000020	0.000000
METHANOL_STORAGE	0.000001	0.000001	0.000000
CO2_STORAGE	0.001001	0.000240	0.000000
PT_STORAGE	0.000000	0.000000	0.000000
ST_STORAGE	0.000000	0.000000	0.000000
TS_COLD	0.000763	0.000157	0.000000
CAES	0.000309	0.000884	0.000000
ADLIBIO_TO_FUEL	0.000018	0.000005	0.000000
AMMONIA_TO_H2	0.000009	0.000017	0.000000
ATM_CCS	0.000016	0.000012	0.000000
BIO_HYDROLYSIS	0.000060	0.000054	0.000000
BIOMETHANATION	97.369682	23.157015	0.000000
DHN	328.518539	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000014	0.000021	0.000000
GRID	3545.566690	0.000000	0.000000
H2_BIOMASS	0.000022	0.000033	0.000000
H2_ELECTROLYSIS	635.646550	233.244578	0.000000
INDUSTRY_CCS	0.000015	0.000011	0.000000
REDIFUEL	0.000025	0.000011	0.000000
SMR	0.000028	0.000054	0.000000
SYN_METHANATION	0.000004	0.000028	0.000000
PT_COLLECTOR	0.000034	0.000042	0.000000
ST_COLLECTOR	48.263454	100.000000	0.000000
AMMONIA	0.000000	0.000000	0.000037
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	0.000056
BIODIESEL	0.000000	0.000000	0.000051
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000027
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	618.026218
DIESEL	0.000000	0.000000	0.000046
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	0.000039
GAS	0.000000	0.000000	0.000029
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	0.000020
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000234
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	2490.950688
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.000029
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	857.686235
WET_BIOMASS	0.000000	0.000000	230.791487
WOOD	0.000000	0.000000	0.002951
WOOD_PRODUCTION	0.000000	0.000000	0.000000
PT_HEAT	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000
