source,target,realValue,layerID,layerColor,layerUnit
Ammonia,Non-energy demand,9.42,Ammonia,#000ECD,TWh
H2,Haber-Bosch,10.65,H2,#FF00FF,TWh
Elec,Haber-Bosch,1.15,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,1.26,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,9.42,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,78.12,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.42,Methanol,#CC0066,TWh
Methanol,Freight,54.89,Methanol,#CC0066,TWh
Methanol,MTO,47.35,Methanol,#CC0066,TWh
Heat HT,MTO,12.59,Heat HT,#DC143C,TWh
MTO,HVC,38.15,HVC,#00FFFF,TWh
HVC,Non-energy demand,38.15,HVC,#00FFFF,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,12.32,GAS,#FFD700,TWh
Gas,Boilers,12.32,GAS,#FFD700,TWh
Wind,Elec,245.18,Wind,#27AE34,TWh
Coal,Boilers,35.00,Coal,#A0522D,TWh
Solar,Elec,225.65,Solar,#FFFF00,TWh
Waste,Boilers,38.20,Waste,#808000,TWh
Wet biomass,Biomethanation,41.21,Wood,#CD853F,TWh
Biomethanation,Gas Prod,12.32,GAS,#FFD700,TWh
Elec,Mob priv,113.91,Electricity,#00BFFF,TWh
Elec,Freight,5.34,Electricity,#00BFFF,TWh
Elec,Exp & Loss,26.51,Electricity,#00BFFF,TWh
Elec,Elec demand,31.72,Electricity,#00BFFF,TWh
Elec,Storage,99.16,Electricity,#00BFFF,TWh
Storage,Elec demand,98.16,Electricity,#00BFFF,TWh
Elec,HPs,84.04,Electricity,#00BFFF,TWh
Elec,Heat HT,93.47,Electricity,#00BFFF,TWh
Elec,Electrolyser,94.73,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,16.72,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,88.04,Electricity,#00BFFF,TWh
Electrolyser,DHN,1.67,Heat LT,#FA8072,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,88.04,H2,#FF00FF,TWh
H2,Freight,77.40,H2,#FF00FF,TWh
HPs,Dec. sto,47.00,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,139.13,Heat LT,#FA8072,TWh
HPs,DHN,81.50,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,43.74,Heat LT,#FA8072,TWh
Boilers,Heat HT,71.45,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,51.75,Heat LT,#FA8072,TWh
DHN,Loss DHN,4.22,Heat LT,#FA8072,TWh
DHN,DHN Sto,28.47,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,26.62,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,135.61,Heat HT,#DC143C,TWh
