Name	Crit_1_tech	Crit_1_res	Crit_1_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	0.000000
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	28.944070	0.000000	0.000000
WIND_ONSHORE	12.606605	0.000000	0.158196
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	0.000002	0.000000	0.000000
GEOTHERMAL	0.000001	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000	0.000001
IND_COGEN_WOOD	0.000000	0.000000	0.000002
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.003393	0.000000	0.617957
IND_BOILER_WOOD	0.000005	0.000000	0.000185
IND_BOILER_OIL	0.000000	0.000000	0.000001
IND_BOILER_COAL	0.522755	0.000000	101.219053
IND_BOILER_WASTE	0.158474	0.000000	0.805658
IND_DIRECT_ELEC	0.009385	0.000000	0.000000
DHN_HP_ELEC	0.934571	0.000000	0.035075
DHN_COGEN_GAS	0.000000	0.000000	0.000002
DHN_COGEN_WOOD	0.000000	0.000000	0.000001
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000001	0.000000	0.000001
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000001
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000002
DHN_BOILER_OIL	0.000000	0.000000	0.000001
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000003	0.000000	0.000000
DEC_HP_ELEC	5.378774	0.000000	0.108697
DEC_THHP_GAS	0.000056	0.000000	0.000013
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000003
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	0.000001
