source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,0.37,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.47,Ammonia,#000ECD,TWh
H2,Haber-Bosch,11.41,H2,#FF00FF,TWh
Elec,Haber-Bosch,1.24,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,1.35,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,10.10,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,56.80,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.58,Methanol,#CC0066,TWh
Methanol,MTO,52.10,Methanol,#CC0066,TWh
Heat HT,MTO,13.85,Heat HT,#DC143C,TWh
MTO,HVC,41.97,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.48,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,9.29,Diesel,#D3D3D3,TWh
Diesel,Freight,9.29,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,77.41,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,16.45,GAS,#FFD700,TWh
Gas,CHP,80.52,GAS,#FFD700,TWh
Gas,Boilers,13.33,GAS,#FFD700,TWh
Electricity,Elec,29.18,Electricity,#00BFFF,TWh
Wind,Elec,38.64,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,16.02,Waste,#808000,TWh
Wood,H2 prod,82.03,Wood,#CD853F,TWh
Wood prod.,Wood,65.64,Wood,#CD853F,TWh
Wood be.,Wood,23.40,Wood,#CD853F,TWh
Wood,Adlibio to fuel,5.99,Wood,#CD853F,TWh
H2,Adlibio to fuel,2.10,H2,#FF00FF,TWh
Adlibio to fuel,Gasoline,5.40,GASOLINE,#8080800,TWh
Adlibio to fuel,Heat HT,2.02,HEAT_HIGH_T,#DC143C,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,9.85,Electricity,#00BFFF,TWh
Gasoline,Mob priv,5.40,GASOLINE,#8080800,TWh
Elec,Mob public,3.80,Electricity,#00BFFF,TWh
Elec,Freight,1.43,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.03,Electricity,#00BFFF,TWh
Elec,Curt.,2.47,Electricity,#00BFFF,TWh
Elec,Elec demand,98.37,Electricity,#00BFFF,TWh
Solar,Curt.,1.72,Solar,#FFFF00,TWh
Wind,Curt.,4.32,Wind,#27AE34,TWh
Elec,Storage,1.13,Electricity,#00BFFF,TWh
Storage,Elec demand,0.84,Electricity,#00BFFF,TWh
Elec,HPs,34.99,Electricity,#00BFFF,TWh
Elec,HT sto,8.68,Electricity,#00BFFF,TWh
HT sto,Heat HT,8.58,Heat HT,#DC143C,TWh
Elec,Heat HT,-0.56,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,35.68,H2,#FF00FF,TWh
H2,CHP,10.00,H2,#FF00FF,TWh
H2,Mob public,3.28,H2,#FF00FF,TWh
H2,Freight,8.53,H2,#FF00FF,TWh
CHP,Elec,41.22,Electricity,#00BFFF,TWh
CHP,Dec. sto,0.47,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,1.73,Heat LT,#FA8072,TWh
CHP,Heat HT,37.04,Heat HT,#DC143C,TWh
HPs,Dec. sto,18.18,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,55.32,Heat LT,#FA8072,TWh
HPs,DHN,44.70,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,17.08,Heat LT,#FA8072,TWh
Boilers,Heat HT,25.49,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,29.91,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.30,Heat LT,#FA8072,TWh
DHN,DHN Sto,13.84,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,13.62,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,59.06,Heat HT,#DC143C,TWh
