TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
HYDRO_DAM	4.200698	0.021002	40.000000	0.000000	0.001000	0.001000	0.000000	0.000083	1.000000	0.999973	1.000000	0.033427	1.692880
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.001025	0.000026	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002577	0.961540	0.048263	0.000242
CCGT_AMMONIA	0.000834	0.000021	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000490	0.630000	0.048263	0.000197
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	56039.903842	639.977572	25.000000	0.000000	59.174995	59.200000	0.000000	0.586067	1.000000	0.118708	1.000000	0.048263	123168.610013
WIND_ONSHORE	10603.899999	123.331765	30.000000	0.000000	10.000000	10.000000	0.000000	0.202952	1.000000	0.243255	1.000000	0.041639	6228.500000
WIND_OFFSHORE	30490.679896	212.138805	30.000000	0.000000	6.000000	6.000000	0.000000	0.206254	1.000000	0.412023	1.000000	0.041639	3737.099987
HYDRO_RIVER	580.165794	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004644	1.000000	0.484000	1.000000	0.033427	145.224298
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	8774.859678	564.037805	25.000000	0.000000	6.090354	Infinity	0.000000	0.723845	1.000000	0.850000	0.850000	0.048263	6238.471012
IND_COGEN_WOOD	0.000896	0.000033	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001222	0.850000	0.048263	0.000134
IND_COGEN_WASTE	0.000835	0.000031	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000374	0.850000	0.048263	0.000179
IND_BOILER_GAS	7.537358	0.151014	17.000000	0.000000	0.127990	Infinity	0.000000	0.017001	1.000000	0.949999	0.950000	0.067080	1.576842
IND_BOILER_WOOD	0.000664	0.000013	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.002819	0.900000	0.067080	0.000166
IND_BOILER_OIL	0.000573	0.000012	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.001712	0.950000	0.067080	0.000129
IND_BOILER_COAL	23.957142	0.479140	17.000000	0.000000	0.207997	Infinity	0.000000	0.026174	1.000000	0.899982	0.900000	0.067080	10.021315
IND_BOILER_WASTE	213.239798	4.264771	17.000000	0.000000	1.851361	Infinity	0.000000	0.232979	1.000000	0.900000	0.900000	0.067080	53.448802
IND_DIRECT_ELEC	0.000770	0.000003	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001632	0.950000	0.074944	0.000003
DHN_HP_ELEC	2954.430644	100.183429	25.000000	0.000000	8.351747	Infinity	0.000000	1.000000	1.000000	0.638343	0.950000	0.048263	1459.801929
DHN_COGEN_GAS	0.001168	0.000034	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003236	0.850000	0.048263	0.000447
DHN_COGEN_WOOD	0.000664	0.000024	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000464	0.850000	0.048263	0.000099
DHN_COGEN_WASTE	0.000736	0.000027	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000267	0.850000	0.048263	0.000158
DHN_COGEN_WET_BIOMASS	0.000469	0.000038	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000953	0.750000	0.048263	0.000342
DHN_COGEN_BIO_HYDROLYSIS	0.000526	0.000026	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000202	0.850000	0.074944	0.000073
DHN_BOILER_GAS	0.000141	0.000003	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001290	0.950000	0.067080	0.000030
DHN_BOILER_WOOD	0.000224	0.000004	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000703	0.900000	0.067080	0.000056
DHN_BOILER_OIL	0.000123	0.000003	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000850	0.950000	0.067080	0.000028
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000184	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000234	1.000000	0.041639	0.000111
DEC_HP_ELEC	10100.792547	421.146315	18.000000	0.000000	20.006323	Infinity	0.000000	0.999999	1.000000	0.433204	1.000000	0.063806	3298.842662
DEC_THHP_GAS	0.004795	0.000140	20.000000	0.000000	0.000015	Infinity	0.000000	0.000001	1.000000	0.060128	1.000000	0.058246	0.005654
DEC_COGEN_GAS	0.001312	0.000084	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002257	1.000000	0.058246	0.000933
DEC_COGEN_OIL	0.000958	0.000059	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000583	1.000000	0.058246	0.000734
DEC_ADVCOGEN_GAS	0.001762	0.000033	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000664	1.000000	0.058246	0.000497
DEC_ADVCOGEN_H2	0.001266	0.000024	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000202	1.000000	0.058246	0.000357
DEC_BOILER_GAS	0.000983	0.000030	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.002063	1.000000	0.067080	0.000131
DEC_BOILER_WOOD	0.001138	0.000040	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001125	1.000000	0.067080	0.000052
DEC_BOILER_OIL	0.000745	0.000045	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001069	1.000000	0.067080	0.000110
DEC_SOLAR	0.003958	0.000044	20.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.002434	1.000000	0.058246	0.001201
DEC_DIRECT_ELEC	0.001178	0.000005	15.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.001002	1.000000	0.074944	0.000043
