Name	LCA_tech	LCA_res	LCA_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000007	0.000000	0.000823
CCGT_AMMONIA	0.000007	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1594.355861	0.000000	0.000000
WIND_ONSHORE	153.098083	0.000000	2.524774
WIND_OFFSHORE	130.784832	0.000000	3.709513
HYDRO_RIVER	3.374216	0.000000	0.010971
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	91.963771	0.000000	17999.585790
IND_COGEN_WOOD	0.000006	0.000000	0.000634
IND_COGEN_WASTE	0.000008	0.000000	0.000451
IND_BOILER_GAS	0.073931	0.000000	216.235525
IND_BOILER_WOOD	0.000024	0.000000	0.001074
IND_BOILER_OIL	0.000006	0.000000	0.000422
IND_BOILER_COAL	1.135213	0.000000	665.981422
IND_BOILER_WASTE	8.228958	0.000000	4904.494463
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	43.149668	0.000000	618.722222
DHN_COGEN_GAS	0.000006	0.000000	0.001125
DHN_COGEN_WOOD	0.000003	0.000000	0.000265
DHN_COGEN_WASTE	0.000007	0.000000	0.000322
DHN_COGEN_WET_BIOMASS	0.000058	0.000000	0.001863
DHN_COGEN_BIO_HYDROLYSIS	0.000002	0.000000	0.000507
DHN_BOILER_GAS	0.000001	0.000000	0.000229
DHN_BOILER_WOOD	0.000008	0.000000	0.000268
DHN_BOILER_OIL	0.000001	0.000000	0.000209
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000032	0.000000	0.000000
DEC_HP_ELEC	143.560479	0.000000	1339.748018
DEC_THHP_GAS	0.000245	0.000000	0.006615
DEC_COGEN_GAS	0.000027	0.000000	0.000785
DEC_COGEN_OIL	0.000021	0.000000	0.000306
DEC_ADVCOGEN_GAS	0.000015	0.000000	0.000542
DEC_ADVCOGEN_H2	0.000011	0.000000	0.000001
DEC_BOILER_GAS	0.000013	0.000000	0.000376
