Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																	0.051191																																																																														-0.051191																																																															0.000000	
 1 	 2																																	0.050296																																																																														-0.050296																																																															0.000000	
 1 	 3																																	0.050861																																																																														-0.050861																																																															0.000000	
 1 	 4																																	0.050249																																																																														-0.050249																																																															0.000000	
 1 	 5																																	0.049289																																																																														-0.049289																																																															0.000000	
 1 	 6																																	0.048897																																																																														-0.048897																																																															0.000000	
 1 	 7																																	0.047021																																																																														-0.047021																																																															0.000000	
 1 	 8																																	0.050172																																																																														-0.050172																																																															0.000000	
 1 	 9																																	0.049786																																																																														-0.049786																																																															0.000000	
 1 	 10																																	0.049909																																																																														-0.049909																																																															0.000000	
 1 	 11																																	0.049882																																																																														-0.049882																																																															0.000000	
 1 	 12																																	0.049967																																																																														-0.049967																																																															0.000000	
 1 	 13																																	0.050135																																																																														-0.050135																																																															0.000000	
 1 	 14																																	0.049687																																																																														-0.049687																																																															0.000000	
 1 	 15																																	0.049506																																																																														-0.049506																																																															0.000000	
 1 	 16																																	0.050088																																																																														-0.050088																																																															0.000000	
 1 	 17																																	0.050917																																																																														-0.050917																																																															0.000000	
 1 	 18																																	0.051571																																																																														-0.051571																																																															0.000000	
 1 	 19																																	0.051275																																																																														-0.051275																																																															0.000000	
 1 	 20																																	0.051902																																																																														-0.051902																																																															0.000000	
 1 	 21																																	0.052151																																																																														-0.052151																																																															0.000000	
 1 	 22																																	0.051948																																																																														-0.051948																																																															0.000000	
 1 	 23																																	0.051153																																																																														-0.051153																																																															0.000000	
 1 	 24																																	0.051443																																																																														-0.051443																																																															0.000000	
 2 	 1																																	0.274836																																																																														-0.274836																																																															0.000000	
 2 	 2																																	0.257378																																																																														-0.257378																																																															0.000000	
 2 	 3																																	0.248263																																																																														-0.248263																																																															0.000000	
 2 	 4																																	0.283045																																																																														-0.283045																																																															0.000000	
 2 	 5																																	0.293017																																																																														-0.293017																																																															0.000000	
 2 	 6																																	0.292824																																																																														-0.292824																																																															0.000000	
 2 	 7																																	0.288678																																																																														-0.288678																																																															0.000000	
 2 	 8																																	0.284686																																																																														-0.284686																																																															0.000000	
 2 	 9																																	0.279360																																																																														-0.279360																																																															0.000000	
 2 	 10																																	0.280089																																																																														-0.280089																																																															0.000000	
 2 	 11																																	0.279750																																																																														-0.279750																																																															0.000000	
 2 	 12																																	0.279198																																																																														-0.279198																																																															0.000000	
 2 	 13																																	0.280060																																																																														-0.280060																																																															0.000000	
 2 	 14																																	0.280546																																																																														-0.280546																																																															0.000000	
 2 	 15																																	0.282415																																																																														-0.282415																																																															0.000000	
 2 	 16																																	0.281631																																																																														-0.281631																																																															0.000000	
 2 	 17																																	0.280045																																																																														-0.280045																																																															0.000000	
 2 	 18																																	0.278232																																																																														-0.278232																																																															0.000000	
 2 	 19																																	0.277891																																																																														-0.277891																																																															0.000000	
 2 	 20																																	0.278764																																																																														-0.278764																																																															0.000000	
 2 	 21																																	0.279343																																																																														-0.279343																																																															0.000000	
 2 	 22																																	0.281183																																																																														-0.281183																																																															0.000000	
 2 	 23																																	0.266185																																																																														-0.266185																																																															0.000000	
 2 	 24																																	0.269239																																																																														-0.269239																																																															0.000000	
 3 	 1																																	0.098106																																																																														-0.098106																																																															0.000000	
 3 	 2																																	0.096350																																																																														-0.096350																																																															0.000000	
 3 	 3																																	0.098494																																																																														-0.098494																																																															0.000000	
 3 	 4																																	0.107474																																																																														-0.107474																																																															0.000000	
 3 	 5																																	0.104968																																																																														-0.104968																																																															0.000000	
 3 	 6																																	0.102854																																																																														-0.102854																																																															0.000000	
 3 	 7																																	0.101158																																																																														-0.101158																																																															0.000000	
 3 	 8																																	0.102939																																																																														-0.102939																																																															0.000000	
 3 	 9																																	0.101992																																																																														-0.101992																																																															0.000000	
 3 	 10																																	0.102315																																																																														-0.102315																																																															0.000000	
 3 	 11																																	0.102797																																																																														-0.102797																																																															0.000000	
 3 	 12																																	0.102514																																																																														-0.102514																																																															0.000000	
 3 	 13																																	0.100470																																																																														-0.100470																																																															0.000000	
 3 	 14																																	0.100034																																																																														-0.100034																																																															0.000000	
 3 	 15																																	0.100070																																																																														-0.100070																																																															0.000000	
 3 	 16																																	0.100168																																																																														-0.100168																																																															0.000000	
 3 	 17																																	0.099435																																																																														-0.099435																																																															0.000000	
 3 	 18																																	0.098731																																																																														-0.098731																																																															0.000000	
 3 	 19																																	0.098150																																																																														-0.098150																																																															0.000000	
