Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1			0.568687		0.000000	0.000000																																																																								-0.006639	-0.003356						-0.000252								-0.061326			-0.784302																									0.000000																																									-3529.426669	3529.713857											0.000000	
 1 	 2			0.600222		0.000000	0.000000																																																																								-0.002658	-0.001344						-0.000101								-0.061326			-0.784302																									0.000000																																									-3443.808038	3444.057546											0.000000	
 1 	 3			0.556368		0.000000	0.000000																																																																								-0.001323	-0.000669						-0.000050								-0.061326			-0.784302																									0.000000																																									-3289.422295	3289.713597											0.000000	
 1 	 4			0.591692		0.000000	0.000000																																																																								-0.015947	-0.008061						-0.000605								-0.061326			-0.784302																									0.000000																																									-3533.948540	3534.227089											0.000000	
 1 	 5			0.575208		0.000000	0.000000																																																																								-0.042525	-0.021496						-0.001613								-0.061326			-0.784302																									0.000000																																									-3538.473454	3538.809509											0.000000	
 1 	 6			0.590481		0.000000	0.000000																																																																								-0.106312	-0.053740						-0.004034								-0.061326			-0.784302																									0.000000																																									-3542.400750	3542.819984											0.000000	
 1 	 7			0.585380		0.000000	0.000000																																																																								-0.205952	-0.104107						-0.007814								-0.061326			-0.784302																									0.000000																																									-3542.745411	3543.323532											0.000000	
 1 	 8			0.569122		0.000000	0.000000																																																																								-0.179377	-0.090674						-0.006806								-0.061326			-0.784302																									0.000000																																									-3542.731488	3543.284851											0.000000	
 1 	 9			0.556838		0.000000	0.000000																																																																								-0.166090	-0.083957						-0.006302								-0.061326			-0.784302																									0.000000																																									-3542.833835	3543.378975											0.000000	
 1 	 10			0.544083		0.000000	0.000000																																																																								-0.186022	-0.094033						-0.007058								-0.061326			-0.784302																									0.000000																																									-3542.981965	3543.570622											0.000000	
 1 	 11			0.534431		0.000000	0.000000																																																																								-0.212595	-0.107465						-0.008066								-0.061326			-0.784302																									0.000000																																									-3543.052885	3543.692208											0.000000	
 1 	 12			0.523990		0.000000	0.000000																																																																								-0.233855	-0.118212						-0.008873								-0.061326			-0.784302																									0.000000																																									-3542.825470	3543.508049											0.000000	
 1 	 13			0.510356		0.000000	0.000000																																																																								-0.212595	-0.107465						-0.008066								-0.061326			-0.784302																									0.000000																																									-3542.250139	3542.913538											0.000000	
 1 	 14			0.486487		0.000000	0.000000																																																																								-0.215253	-0.108809						-0.008167								-0.061326			-0.784302																									0.000000																																									-3541.235769	3541.927139											0.000000	
 1 	 15			0.466462		0.000000	0.000000																																																																								-0.241828	-0.122242						-0.009175								-0.061326			-0.784302																									0.000000																																									-3540.370192	3541.122603											0.000000	
 1 	 16			0.488395		0.000000	0.000000																																																																								-0.252458	-0.127616						-0.009579								-0.061326			-0.784302																									0.000000																																									-3541.132583	3541.879468											0.000000	
 1 	 17			0.570476		0.000000	0.000000																																																																								-0.252458	-0.127616						-0.009579								-0.061326			-0.784302																									0.000000																																									-3544.944994	3545.609798											0.000000	
 1 	 18			0.642342		0.000000	0.000000																																																																								-0.186022	-0.094033						-0.007058								-0.061326			-0.784302																									0.000000																																									-3549.256499	3549.746897											0.000000	
 1 	 19			0.665650		0.000000	0.000000																																																																								-0.132872	-0.067166						-0.005041								-0.061326			-0.784302																									0.000000																																									-3543.696167	3544.081225											0.000000	
 1 	 20			0.662471		0.000000	0.000000																																																																								-0.099639	-0.050367						-0.003781								-0.061326			-0.784302																									0.000000																																									-3531.372334	3531.709278											0.000000	
 1 	 21			0.617205		0.000000	0.000000																																																																								-0.066389	-0.033559						-0.002519								-0.061326			-0.784302																									0.000000																																									-3536.351359	3536.682249											0.000000	
 1 	 22			0.598526		0.000000	0.000000																																																																								-0.042525	-0.021496						-0.001613								-0.061326			-0.784302																									0.000000																																									-3550.329251	3550.641988											0.000000	
 1 	 23			0.552367		0.000000	0.000000																																																																								-0.026578	-0.013435						-0.001008								-0.061326			-0.784302																									0.000000																																									-3560.646522	3560.980805											0.000000	
 1 	 24			0.552533		0.000000	0.000000																																																																								-0.010631	-0.005374						-0.000403								-0.061326			-0.784302																									0.000000																																									-3529.292094	3529.601599											0.000000	
 2 	 1			9.314507		0.000000	0.000000																																																																								-0.006639	-0.003356						-0.000252								-0.061326			-0.784302																									0.000000																																									-3529.857302	3521.398670											0.000000	
 2 	 2			9.280741		0.000000	0.000000																																																																								-0.002658	-0.001344						-0.000101								-0.061326			-0.784302																									0.000000																																									-3498.907191	3490.476180											0.000000	
